bid,mutK,new_mutK
5,src.java.org.apache.commons.codec.binary.Base64-6,src.java.org.apache.commons.codec.binary.Base64-6
5,src.java.org.apache.commons.codec.binary.Base64-161,src.java.org.apache.commons.codec.binary.Base64-161
7,src.java.org.apache.commons.codec.binary.Base64-6,src.java.org.apache.commons.codec.binary.Base64-6
7,src.java.org.apache.commons.codec.binary.Base64-165,src.java.org.apache.commons.codec.binary.Base64-165
9,src.java.org.apache.commons.codec.binary.Base64-6,src.java.org.apache.commons.codec.binary.Base64-6
9,src.java.org.apache.commons.codec.binary.Base64-13,src.java.org.apache.commons.codec.binary.Base64-13
8,src.java.org.apache.commons.codec.binary.Base64-6,src.java.org.apache.commons.codec.binary.Base64-6
8,src.java.org.apache.commons.codec.binary.Base64-13,src.java.org.apache.commons.codec.binary.Base64-13
8,src.java.org.apache.commons.codec.binary.Base64-181,src.java.org.apache.commons.codec.binary.Base64-181
8,src.java.org.apache.commons.codec.binary.Base64-208,src.java.org.apache.commons.codec.binary.Base64-208
8,src.java.org.apache.commons.codec.binary.Base64-231,src.java.org.apache.commons.codec.binary.Base64-231
8,src.java.org.apache.commons.codec.binary.Base64-261,src.java.org.apache.commons.codec.binary.Base64-222
8,src.java.org.apache.commons.codec.binary.Base64-262,src.java.org.apache.commons.codec.binary.Base64-223
2,src.java.org.apache.commons.codec.binary.Base64-39,src.java.org.apache.commons.codec.binary.Base64-39
2,src.java.org.apache.commons.codec.binary.Base64-5,src.java.org.apache.commons.codec.binary.Base64-5
2,src.java.org.apache.commons.codec.binary.Base64-5,src.java.org.apache.commons.codec.binary.Base64-5
2,src.java.org.apache.commons.codec.binary.Base64-5,src.java.org.apache.commons.codec.binary.Base64-5
2,src.java.org.apache.commons.codec.binary.Base64-185,src.java.org.apache.commons.codec.binary.Base64-185
2,src.java.org.apache.commons.codec.binary.Base64-186,src.java.org.apache.commons.codec.binary.Base64-186
4,src.java.org.apache.commons.codec.binary.Base64-6,src.java.org.apache.commons.codec.binary.Base64-6
4,src.java.org.apache.commons.codec.binary.Base64-139,src.java.org.apache.commons.codec.binary.Base64-139
