bid,mutK,new_mutK
27,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-40,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-40
27,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-42,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-42
27,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-45,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-45
27,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-47,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-47
27,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-55,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-39
27,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-56,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-43
27,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-57,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-44
27,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-113,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-113
27,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-1,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-1
27,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-214,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-214
27,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-228,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-228
27,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-229,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-229
27,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-234,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-226
32,src.main.java.org.apache.commons.compress.archivers.tar.TarArchiveInputStream-67,src.main.java.org.apache.commons.compress.archivers.tar.TarArchiveInputStream-67
32,src.main.java.org.apache.commons.compress.archivers.tar.TarArchiveInputStream-99,src.main.java.org.apache.commons.compress.archivers.tar.TarArchiveInputStream-98
7,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-4,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-4
7,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-5,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-5
7,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-29,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-29
7,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-3,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-3
29,src.main.java.org.apache.commons.compress.archivers.tar.TarArchiveOutputStream-124,src.main.java.org.apache.commons.compress.archivers.tar.TarArchiveOutputStream-124
29,src.main.java.org.apache.commons.compress.archivers.tar.TarArchiveOutputStream-125,src.main.java.org.apache.commons.compress.archivers.tar.TarArchiveOutputStream-125
29,src.main.java.org.apache.commons.compress.archivers.tar.TarArchiveInputStream-142,src.main.java.org.apache.commons.compress.archivers.tar.TarArchiveInputStream-142
29,src.main.java.org.apache.commons.compress.archivers.tar.TarArchiveInputStream-200,src.main.java.org.apache.commons.compress.archivers.tar.TarArchiveInputStream-197
29,src.main.java.org.apache.commons.compress.archivers.zip.ZipArchiveInputStream-62,src.main.java.org.apache.commons.compress.archivers.zip.ZipArchiveInputStream-62
29,src.main.java.org.apache.commons.compress.archivers.zip.ZipArchiveInputStream-313,src.main.java.org.apache.commons.compress.archivers.zip.ZipArchiveInputStream-313
35,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-34,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-34
35,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-36,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-36
35,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-39,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-39
35,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-41,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-41
35,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-49,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-33
35,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-50,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-37
35,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-51,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-38
35,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-107,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-107
24,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-40,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-40
24,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-42,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-42
24,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-45,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-45
24,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-47,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-47
24,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-55,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-39
24,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-56,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-43
24,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-57,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-44
24,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-113,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-113
24,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-1,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-1
24,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-215,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-215
24,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-230,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-230
24,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-235,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-227
18,src.main.java.org.apache.commons.compress.archivers.tar.TarArchiveOutputStream-192,src.main.java.org.apache.commons.compress.archivers.tar.TarArchiveOutputStream-192
18,src.main.java.org.apache.commons.compress.archivers.tar.TarArchiveOutputStream-194,src.main.java.org.apache.commons.compress.archivers.tar.TarArchiveOutputStream-194
18,src.main.java.org.apache.commons.compress.archivers.tar.TarArchiveOutputStream-125,src.main.java.org.apache.commons.compress.archivers.tar.TarArchiveOutputStream-125
