bid,mutK,new_mutK
3,src.main.java.com.fasterxml.jackson.core.json.UTF8StreamJsonParser-1094,src.main.java.com.fasterxml.jackson.core.json.UTF8StreamJsonParser-1094
3,src.main.java.com.fasterxml.jackson.core.json.UTF8StreamJsonParser-438,src.main.java.com.fasterxml.jackson.core.json.UTF8StreamJsonParser-438
3,src.main.java.com.fasterxml.jackson.core.json.UTF8StreamJsonParser-570,src.main.java.com.fasterxml.jackson.core.json.UTF8StreamJsonParser-570
3,src.main.java.com.fasterxml.jackson.core.json.UTF8StreamJsonParser-916,src.main.java.com.fasterxml.jackson.core.json.UTF8StreamJsonParser-916
3,src.main.java.com.fasterxml.jackson.core.json.UTF8StreamJsonParser-1272,src.main.java.com.fasterxml.jackson.core.json.UTF8StreamJsonParser-1272
3,src.main.java.com.fasterxml.jackson.core.json.UTF8StreamJsonParser-1274,src.main.java.com.fasterxml.jackson.core.json.UTF8StreamJsonParser-1274
3,src.main.java.com.fasterxml.jackson.core.json.UTF8StreamJsonParser-614,src.main.java.com.fasterxml.jackson.core.json.UTF8StreamJsonParser-614
3,src.main.java.com.fasterxml.jackson.core.json.UTF8StreamJsonParser-619,src.main.java.com.fasterxml.jackson.core.json.UTF8StreamJsonParser-619
3,src.main.java.com.fasterxml.jackson.core.json.UTF8StreamJsonParser-569,src.main.java.com.fasterxml.jackson.core.json.UTF8StreamJsonParser-569
3,src.main.java.com.fasterxml.jackson.core.json.UTF8StreamJsonParser-648,src.main.java.com.fasterxml.jackson.core.json.UTF8StreamJsonParser-613
3,src.main.java.com.fasterxml.jackson.core.json.UTF8StreamJsonParser-1081,src.main.java.com.fasterxml.jackson.core.json.UTF8StreamJsonParser-1081
3,src.main.java.com.fasterxml.jackson.core.json.UTF8StreamJsonParser-1229,src.main.java.com.fasterxml.jackson.core.json.UTF8StreamJsonParser-1229
3,src.main.java.com.fasterxml.jackson.core.json.UTF8StreamJsonParser-1230,src.main.java.com.fasterxml.jackson.core.json.UTF8StreamJsonParser-1230
3,src.main.java.com.fasterxml.jackson.core.json.UTF8StreamJsonParser-1423,src.main.java.com.fasterxml.jackson.core.json.UTF8StreamJsonParser-1423
16,src.main.java.com.fasterxml.jackson.core.util.JsonParserSequence-3,src.main.java.com.fasterxml.jackson.core.util.JsonParserSequence-3
1,src.main.java.com.fasterxml.jackson.core.util.TextBuffer-199,src.main.java.com.fasterxml.jackson.core.util.TextBuffer-199
1,src.main.java.com.fasterxml.jackson.core.util.TextBuffer-200,src.main.java.com.fasterxml.jackson.core.util.TextBuffer-200
2,src.main.java.com.fasterxml.jackson.core.json.UTF8StreamJsonParser-1095,src.main.java.com.fasterxml.jackson.core.json.UTF8StreamJsonParser-1095
2,src.main.java.com.fasterxml.jackson.core.json.UTF8StreamJsonParser-1199,src.main.java.com.fasterxml.jackson.core.json.UTF8StreamJsonParser-1199
2,src.main.java.com.fasterxml.jackson.core.json.UTF8StreamJsonParser-1200,src.main.java.com.fasterxml.jackson.core.json.UTF8StreamJsonParser-1200
2,src.main.java.com.fasterxml.jackson.core.json.ReaderBasedJsonParser-421,src.main.java.com.fasterxml.jackson.core.json.ReaderBasedJsonParser-421
2,src.main.java.com.fasterxml.jackson.core.json.ReaderBasedJsonParser-430,src.main.java.com.fasterxml.jackson.core.json.ReaderBasedJsonParser-430
