bid,mutK,new_mutK
53,src.main.java.org.jsoup.parser.TokenQueue-4,src.main.java.org.jsoup.parser.TokenQueue-4
21,src.main.java.org.jsoup.select.QueryParser-10,src.main.java.org.jsoup.select.QueryParser-10
88,src.main.java.org.jsoup.nodes.Attribute-33,src.main.java.org.jsoup.nodes.Attribute-33
83,src.main.java.org.jsoup.parser.CharacterReader-135,src.main.java.org.jsoup.parser.CharacterReader-135
83,src.main.java.org.jsoup.parser.CharacterReader-116,src.main.java.org.jsoup.parser.CharacterReader-116
85,src.main.java.org.jsoup.nodes.Attribute-33,src.main.java.org.jsoup.nodes.Attribute-33
23,src.main.java.org.jsoup.parser.Tokeniser-173,src.main.java.org.jsoup.parser.Tokeniser-173
23,src.main.java.org.jsoup.parser.CharacterReader-8,src.main.java.org.jsoup.parser.CharacterReader-8
23,src.main.java.org.jsoup.parser.CharacterReader-9,src.main.java.org.jsoup.parser.CharacterReader-9
23,src.main.java.org.jsoup.parser.CharacterReader-28,src.main.java.org.jsoup.parser.CharacterReader-28
23,src.main.java.org.jsoup.parser.CharacterReader-29,src.main.java.org.jsoup.parser.CharacterReader-29
23,src.main.java.org.jsoup.parser.CharacterReader-31,src.main.java.org.jsoup.parser.CharacterReader-31
23,src.main.java.org.jsoup.parser.CharacterReader-39,src.main.java.org.jsoup.parser.CharacterReader-39
23,src.main.java.org.jsoup.parser.CharacterReader-40,src.main.java.org.jsoup.parser.CharacterReader-40
23,src.main.java.org.jsoup.parser.CharacterReader-41,src.main.java.org.jsoup.parser.CharacterReader-41
23,src.main.java.org.jsoup.parser.CharacterReader-42,src.main.java.org.jsoup.parser.CharacterReader-42
23,src.main.java.org.jsoup.parser.CharacterReader-43,src.main.java.org.jsoup.parser.CharacterReader-43
23,src.main.java.org.jsoup.parser.CharacterReader-44,src.main.java.org.jsoup.parser.CharacterReader-44
23,src.main.java.org.jsoup.parser.CharacterReader-133,src.main.java.org.jsoup.parser.CharacterReader-133
23,src.main.java.org.jsoup.parser.Tokeniser-191,src.main.java.org.jsoup.parser.Tokeniser-191
23,src.main.java.org.jsoup.parser.Tokeniser-32,src.main.java.org.jsoup.parser.Tokeniser-32
