bid,mutK,new_mutK
20,src.main.java.org.apache.commons.lang3.StringUtils-590,src.main.java.org.apache.commons.lang3.StringUtils-590
20,src.main.java.org.apache.commons.lang3.StringUtils-819,src.main.java.org.apache.commons.lang3.StringUtils-809
20,src.main.java.org.apache.commons.lang3.StringUtils-1025,src.main.java.org.apache.commons.lang3.StringUtils-1025
20,src.main.java.org.apache.commons.lang3.StringUtils-692,src.main.java.org.apache.commons.lang3.StringUtils-692
30,src.main.java.org.apache.commons.lang3.StringUtils-689,src.main.java.org.apache.commons.lang3.StringUtils-689
30,src.main.java.org.apache.commons.lang3.StringUtils-297,src.main.java.org.apache.commons.lang3.StringUtils-297
30,src.main.java.org.apache.commons.lang3.StringUtils-126,src.main.java.org.apache.commons.lang3.StringUtils-126
30,src.main.java.org.apache.commons.lang3.StringUtils-626,src.main.java.org.apache.commons.lang3.StringUtils-626
30,src.main.java.org.apache.commons.lang3.StringUtils-528,src.main.java.org.apache.commons.lang3.StringUtils-528
30,src.main.java.org.apache.commons.lang3.StringUtils-632,src.main.java.org.apache.commons.lang3.StringUtils-632
30,src.main.java.org.apache.commons.lang3.StringUtils-393,src.main.java.org.apache.commons.lang3.StringUtils-393
30,src.main.java.org.apache.commons.lang3.StringUtils-67,src.main.java.org.apache.commons.lang3.StringUtils-67
30,src.main.java.org.apache.commons.lang3.StringUtils-587,src.main.java.org.apache.commons.lang3.StringUtils-587
30,src.main.java.org.apache.commons.lang3.StringUtils-735,src.main.java.org.apache.commons.lang3.StringUtils-735
30,src.main.java.org.apache.commons.lang3.StringUtils-331,src.main.java.org.apache.commons.lang3.StringUtils-328
30,src.main.java.org.apache.commons.lang3.StringUtils-23,src.main.java.org.apache.commons.lang3.StringUtils-13
30,src.main.java.org.apache.commons.lang3.StringUtils-61,src.main.java.org.apache.commons.lang3.StringUtils-61
30,src.main.java.org.apache.commons.lang3.StringUtils-727,src.main.java.org.apache.commons.lang3.StringUtils-727
30,src.main.java.org.apache.commons.lang3.StringUtils-292,src.main.java.org.apache.commons.lang3.StringUtils-292
30,src.main.java.org.apache.commons.lang3.StringUtils-1242,src.main.java.org.apache.commons.lang3.StringUtils-1242
30,src.main.java.org.apache.commons.lang3.StringUtils-6,src.main.java.org.apache.commons.lang3.StringUtils-6
30,src.main.java.org.apache.commons.lang3.StringUtils-811,src.main.java.org.apache.commons.lang3.StringUtils-811
7,src.main.java.org.apache.commons.lang3.math.NumberUtils-4,src.main.java.org.apache.commons.lang3.math.NumberUtils-4
7,src.main.java.org.apache.commons.lang3.math.NumberUtils-50,src.main.java.org.apache.commons.lang3.math.NumberUtils-26
7,src.main.java.org.apache.commons.lang3.math.NumberUtils-32,src.main.java.org.apache.commons.lang3.math.NumberUtils-32
7,src.main.java.org.apache.commons.lang3.math.NumberUtils-51,src.main.java.org.apache.commons.lang3.math.NumberUtils-27
31,src.main.java.org.apache.commons.lang3.StringUtils-323,src.main.java.org.apache.commons.lang3.StringUtils-323
31,src.main.java.org.apache.commons.lang3.StringUtils-105,src.main.java.org.apache.commons.lang3.StringUtils-105
31,src.main.java.org.apache.commons.lang3.StringUtils-105,src.main.java.org.apache.commons.lang3.StringUtils-105
31,src.main.java.org.apache.commons.lang3.StringUtils-105,src.main.java.org.apache.commons.lang3.StringUtils-105
31,src.main.java.org.apache.commons.lang3.StringUtils-106,src.main.java.org.apache.commons.lang3.StringUtils-106
31,src.main.java.org.apache.commons.lang3.StringUtils-106,src.main.java.org.apache.commons.lang3.StringUtils-106
31,src.main.java.org.apache.commons.lang3.StringUtils-106,src.main.java.org.apache.commons.lang3.StringUtils-106
31,src.main.java.org.apache.commons.lang3.StringUtils-277,src.main.java.org.apache.commons.lang3.StringUtils-277
31,src.main.java.org.apache.commons.lang3.StringUtils-458,src.main.java.org.apache.commons.lang3.StringUtils-458
31,src.main.java.org.apache.commons.lang3.StringUtils-1148,src.main.java.org.apache.commons.lang3.StringUtils-1145
31,src.main.java.org.apache.commons.lang3.StringUtils-61,src.main.java.org.apache.commons.lang3.StringUtils-61
31,src.main.java.org.apache.commons.lang3.StringUtils-259,src.main.java.org.apache.commons.lang3.StringUtils-259
31,src.main.java.org.apache.commons.lang3.StringUtils-544,src.main.java.org.apache.commons.lang3.StringUtils-544
31,src.main.java.org.apache.commons.lang3.StringUtils-886,src.main.java.org.apache.commons.lang3.StringUtils-886
31,src.main.java.org.apache.commons.lang3.StringUtils-325,src.main.java.org.apache.commons.lang3.StringUtils-325
31,src.main.java.org.apache.commons.lang3.StringUtils-486,src.main.java.org.apache.commons.lang3.StringUtils-486
31,src.main.java.org.apache.commons.lang3.StringUtils-1131,src.main.java.org.apache.commons.lang3.StringUtils-1131
