bid,mutK,final_chg_state,sc_cnt,rc_cnt,nc_cnt
7,src.java.org.apache.commons.cli2.builder.PatternBuilder-20,nc,0,0,0
7,src.java.org.apache.commons.cli2.builder.PatternBuilder-21,nc,0,0,0
7,src.java.org.apache.commons.cli2.builder.PatternBuilder-24,nc,0,0,0
7,src.java.org.apache.commons.cli2.builder.PatternBuilder-25,nc,0,0,0
11,src.java.org.apache.commons.cli.HelpFormatter-7,nc,0,0,0
11,src.java.org.apache.commons.cli.HelpFormatter-16,nc,0,0,0
11,src.java.org.apache.commons.cli.HelpFormatter-17,nc,0,0,0
11,src.java.org.apache.commons.cli.HelpFormatter-18,nc,0,0,0
11,src.java.org.apache.commons.cli.HelpFormatter-19,nc,0,0,0
11,src.java.org.apache.commons.cli.HelpFormatter-20,nc,0,0,0
11,src.java.org.apache.commons.cli.HelpFormatter-103,nc,0,0,0
11,src.java.org.apache.commons.cli.HelpFormatter-104,nc,0,0,0
11,src.java.org.apache.commons.cli.HelpFormatter-130,nc,0,0,0
11,src.java.org.apache.commons.cli.HelpFormatter-131,nc,0,0,0
11,src.java.org.apache.commons.cli.HelpFormatter-134,nc,0,0,0
11,src.java.org.apache.commons.cli.HelpFormatter-152,nc,0,0,0
11,src.java.org.apache.commons.cli.HelpFormatter-153,nc,0,0,0
13,src.java.org.apache.commons.cli2.option.ArgumentImpl-0,nc,0,0,0
13,src.java.org.apache.commons.cli2.option.ArgumentImpl-21,nc,0,0,0
13,src.java.org.apache.commons.cli2.option.ArgumentImpl-44,nc,0,0,0
13,src.java.org.apache.commons.cli2.option.ArgumentImpl-45,nc,0,0,0
13,src.java.org.apache.commons.cli2.option.ArgumentImpl-49,nc,0,0,0
13,src.java.org.apache.commons.cli2.option.ArgumentImpl-50,nc,0,0,0
13,src.java.org.apache.commons.cli2.option.ArgumentImpl-51,nc,0,0,0
13,src.java.org.apache.commons.cli2.option.ArgumentImpl-52,nc,0,0,0
13,src.java.org.apache.commons.cli2.option.ArgumentImpl-53,nc,0,0,0
13,src.java.org.apache.commons.cli2.commandline.WriteableCommandLineImpl-11,nc,0,0,0
14,src.java.org.apache.commons.cli2.option.GroupImpl-47,nc,0,0,1
14,src.java.org.apache.commons.cli2.option.GroupImpl-67,nc,0,0,1
14,src.java.org.apache.commons.cli2.option.GroupImpl-72,nc,0,0,1
14,src.java.org.apache.commons.cli2.option.GroupImpl-80,nc,0,0,1
14,src.java.org.apache.commons.cli2.option.GroupImpl-83,nc,0,0,1
14,src.java.org.apache.commons.cli2.option.GroupImpl-84,nc,0,0,1
15,src.java.org.apache.commons.cli2.commandline.WriteableCommandLineImpl-2,nc,0,0,1
15,src.java.org.apache.commons.cli2.commandline.WriteableCommandLineImpl-6,nc,0,0,1
15,src.java.org.apache.commons.cli2.commandline.WriteableCommandLineImpl-7,nc,0,0,1
15,src.java.org.apache.commons.cli2.commandline.WriteableCommandLineImpl-20,nc,0,0,1
16,src.java.org.apache.commons.cli2.option.GroupImpl-47,nc,0,0,0
16,src.java.org.apache.commons.cli2.option.GroupImpl-67,nc,0,0,0
16,src.java.org.apache.commons.cli2.option.GroupImpl-72,nc,0,0,0
16,src.java.org.apache.commons.cli2.option.GroupImpl-80,nc,0,0,0
16,src.java.org.apache.commons.cli2.option.GroupImpl-83,nc,0,0,0
16,src.java.org.apache.commons.cli2.option.GroupImpl-84,nc,0,0,0
16,src.java.org.apache.commons.cli2.option.OptionImpl-0,nc,0,0,0
16,src.java.org.apache.commons.cli2.option.OptionImpl-8,nc,0,0,0
16,src.java.org.apache.commons.cli2.option.OptionImpl-34,nc,0,0,0
16,src.java.org.apache.commons.cli2.option.OptionImpl-46,nc,0,0,0
16,src.java.org.apache.commons.cli2.option.OptionImpl-47,nc,0,0,0
16,src.java.org.apache.commons.cli2.option.OptionImpl-48,nc,0,0,0
16,src.java.org.apache.commons.cli2.option.OptionImpl-49,nc,0,0,0
16,src.java.org.apache.commons.cli2.option.OptionImpl-50,nc,0,0,0
16,src.java.org.apache.commons.cli2.option.OptionImpl-51,nc,0,0,0
16,src.java.org.apache.commons.cli2.option.OptionImpl-52,nc,0,0,0
16,src.java.org.apache.commons.cli2.option.OptionImpl-53,nc,0,0,0
16,src.java.org.apache.commons.cli2.option.OptionImpl-54,nc,0,0,0
16,src.java.org.apache.commons.cli2.option.OptionImpl-55,nc,0,0,0
