bid,mutK,status,mutOp,lno
7,src.java.org.apache.commons.cli2.builder.PatternBuilder-20,non-latent,VOID_METHOD_CALLS,96
7,src.java.org.apache.commons.cli2.builder.PatternBuilder-25,non-latent,VOID_METHOD_CALLS,191
7,src.java.org.apache.commons.cli2.builder.PatternBuilder-24,non-latent,VOID_METHOD_CALLS,190
7,src.java.org.apache.commons.cli2.builder.PatternBuilder-21,non-latent,NULL_RETURNS,97
11,src.java.org.apache.commons.cli.HelpFormatter-17,non-latent,CONDITIONALS_BOUNDARY,882
11,src.java.org.apache.commons.cli.HelpFormatter-18,non-latent,CONDITIONALS_BOUNDARY,893
11,src.java.org.apache.commons.cli.HelpFormatter-20,non-latent,CONDITIONALS_BOUNDARY,909
11,src.java.org.apache.commons.cli.HelpFormatter-152,non-latent,NULL_RETURNS,835
11,src.java.org.apache.commons.cli.HelpFormatter-7,non-latent,VOID_METHOD_CALLS,587
11,src.java.org.apache.commons.cli.HelpFormatter-16,non-latent,CONDITIONALS_BOUNDARY,877
11,src.java.org.apache.commons.cli.HelpFormatter-131,non-latent,CONDITIONALS_BOUNDARY,790
11,src.java.org.apache.commons.cli.HelpFormatter-134,non-latent,NULL_RETURNS,812
11,src.java.org.apache.commons.cli.HelpFormatter-153,non-latent,NULL_RETURNS,852
11,src.java.org.apache.commons.cli.HelpFormatter-103,non-latent,MATH,654
11,src.java.org.apache.commons.cli.HelpFormatter-19,non-latent,CONDITIONALS_BOUNDARY,900
11,src.java.org.apache.commons.cli.HelpFormatter-130,non-latent,CONDITIONALS_BOUNDARY,780
11,src.java.org.apache.commons.cli.HelpFormatter-104,non-latent,MATH,656
13,src.java.org.apache.commons.cli2.option.ArgumentImpl-49,non-latent,CONDITIONALS_BOUNDARY,152
13,src.java.org.apache.commons.cli2.option.ArgumentImpl-50,non-latent,CONDITIONALS_BOUNDARY,170
13,src.java.org.apache.commons.cli2.option.ArgumentImpl-44,non-latent,EMPTY_RETURNS,197
13,src.java.org.apache.commons.cli2.option.ArgumentImpl-45,non-latent,EMPTY_RETURNS,215
13,src.java.org.apache.commons.cli2.option.ArgumentImpl-53,non-latent,NEGATE_CONDITIONALS,152
13,src.java.org.apache.commons.cli2.option.ArgumentImpl-0,non-latent,CONDITIONALS_BOUNDARY,124
13,src.java.org.apache.commons.cli2.option.ArgumentImpl-51,non-latent,INCREMENTS,153
13,src.java.org.apache.commons.cli2.option.ArgumentImpl-52,non-latent,INCREMENTS,171
13,src.java.org.apache.commons.cli2.commandline.WriteableCommandLineImpl-11,non-latent,CONDITIONALS_BOUNDARY,195
13,src.java.org.apache.commons.cli2.option.ArgumentImpl-21,non-latent,CONDITIONALS_BOUNDARY,313
14,src.java.org.apache.commons.cli2.option.GroupImpl-47,non-latent,TRUE_RETURNS,137
14,src.java.org.apache.commons.cli2.option.GroupImpl-72,non-latent,PRIMITIVE_RETURNS,465
14,src.java.org.apache.commons.cli2.option.GroupImpl-83,non-latent,NEGATE_CONDITIONALS,473
