bid,mutK,status,mutOp,lno,debt_time,debt_nc
7,src.java.org.apache.commons.cli2.builder.PatternBuilder-20,non-latent,VOID_METHOD_CALLS,96,4050.244560185185,532.0
7,src.java.org.apache.commons.cli2.builder.PatternBuilder-25,non-latent,VOID_METHOD_CALLS,191,4050.244560185185,532.0
7,src.java.org.apache.commons.cli2.builder.PatternBuilder-24,non-latent,VOID_METHOD_CALLS,190,4050.244560185185,532.0
7,src.java.org.apache.commons.cli2.builder.PatternBuilder-21,non-latent,NULL_RETURNS,97,4050.244560185185,532.0
11,src.java.org.apache.commons.cli.HelpFormatter-17,non-latent,CONDITIONALS_BOUNDARY,882,3951.1477314814815,483.0
11,src.java.org.apache.commons.cli.HelpFormatter-18,non-latent,CONDITIONALS_BOUNDARY,893,3951.1477314814815,483.0
11,src.java.org.apache.commons.cli.HelpFormatter-20,non-latent,CONDITIONALS_BOUNDARY,909,3951.1477314814815,483.0
11,src.java.org.apache.commons.cli.HelpFormatter-152,non-latent,NULL_RETURNS,835,3951.1477314814815,483.0
11,src.java.org.apache.commons.cli.HelpFormatter-7,non-latent,VOID_METHOD_CALLS,587,3951.1477314814815,483.0
11,src.java.org.apache.commons.cli.HelpFormatter-16,non-latent,CONDITIONALS_BOUNDARY,877,3951.1477314814815,483.0
11,src.java.org.apache.commons.cli.HelpFormatter-131,non-latent,CONDITIONALS_BOUNDARY,790,3951.1477314814815,483.0
11,src.java.org.apache.commons.cli.HelpFormatter-134,non-latent,NULL_RETURNS,812,3951.1477314814815,483.0
11,src.java.org.apache.commons.cli.HelpFormatter-153,non-latent,NULL_RETURNS,852,3951.1477314814815,483.0
11,src.java.org.apache.commons.cli.HelpFormatter-103,non-latent,MATH,654,3951.1477314814815,483.0
11,src.java.org.apache.commons.cli.HelpFormatter-19,non-latent,CONDITIONALS_BOUNDARY,900,3951.1477314814815,483.0
11,src.java.org.apache.commons.cli.HelpFormatter-130,non-latent,CONDITIONALS_BOUNDARY,780,3951.1477314814815,483.0
11,src.java.org.apache.commons.cli.HelpFormatter-104,non-latent,MATH,656,3951.1477314814815,483.0
13,src.java.org.apache.commons.cli2.option.ArgumentImpl-49,non-latent,CONDITIONALS_BOUNDARY,152,3941.262662037037,467.0
13,src.java.org.apache.commons.cli2.option.ArgumentImpl-50,non-latent,CONDITIONALS_BOUNDARY,170,3941.262662037037,467.0
13,src.java.org.apache.commons.cli2.option.ArgumentImpl-44,non-latent,EMPTY_RETURNS,197,3941.262662037037,467.0
