bid,k,mutOp,status,sourceFile,mutatedClass,lineNumber,index,block,description,full_sourceFile
7,7-4ee0d6c4,NegateConditionalsMutator,KILLED,PatternBuilder.java,org.apache.commons.cli2.builder.PatternBuilder,76,7,1,negated conditional,src/java/org/apache/commons/cli2/builder/PatternBuilder.java
7,7-4ee0d6c4,NegateConditionalsMutator,KILLED,PatternBuilder.java,org.apache.commons.cli2.builder.PatternBuilder,81,33,9,negated conditional,src/java/org/apache/commons/cli2/builder/PatternBuilder.java
7,7-4ee0d6c4,NullReturnValsMutator,KILLED,PatternBuilder.java,org.apache.commons.cli2.builder.PatternBuilder,89,58,16,replaced return value with null for org/apache/commons/cli2/builder/PatternBuilder::create,src/java/org/apache/commons/cli2/builder/PatternBuilder.java
7,7-4ee0d6c4,NegateConditionalsMutator,KILLED,PatternBuilder.java,org.apache.commons.cli2.builder.PatternBuilder,105,5,0,negated conditional,src/java/org/apache/commons/cli2/builder/PatternBuilder.java
7,7-4ee0d6c4,NegateConditionalsMutator,KILLED,PatternBuilder.java,org.apache.commons.cli2.builder.PatternBuilder,108,23,4,negated conditional,src/java/org/apache/commons/cli2/builder/PatternBuilder.java
7,7-4ee0d6c4,NegateConditionalsMutator,KILLED,PatternBuilder.java,org.apache.commons.cli2.builder.PatternBuilder,111,35,7,negated conditional,src/java/org/apache/commons/cli2/builder/PatternBuilder.java
7,7-4ee0d6c4,VoidMethodCallMutator,SURVIVED,PatternBuilder.java,org.apache.commons.cli2.builder.PatternBuilder,96,5,0,removed call to java/util/Set::clear,src/java/org/apache/commons/cli2/builder/PatternBuilder.java
7,7-4ee0d6c4,NullReturnValsMutator,SURVIVED,PatternBuilder.java,org.apache.commons.cli2.builder.PatternBuilder,97,9,1,replaced return value with null for org/apache/commons/cli2/builder/PatternBuilder::reset,src/java/org/apache/commons/cli2/builder/PatternBuilder.java
7,7-4ee0d6c4,VoidMethodCallMutator,NO_COVERAGE,PatternBuilder.java,org.apache.commons.cli2.builder.PatternBuilder,178,15,2,removed call to org/apache/commons/cli2/validation/ClassValidator::setInstance,src/java/org/apache/commons/cli2/builder/PatternBuilder.java
7,7-4ee0d6c4,VoidMethodCallMutator,SURVIVED,PatternBuilder.java,org.apache.commons.cli2.builder.PatternBuilder,190,48,11,removed call to org/apache/commons/cli2/validation/FileValidator::setExisting,src/java/org/apache/commons/cli2/builder/PatternBuilder.java
7,7-4ee0d6c4,VoidMethodCallMutator,SURVIVED,PatternBuilder.java,org.apache.commons.cli2.builder.PatternBuilder,191,53,12,removed call to org/apache/commons/cli2/validation/FileValidator::setFile,src/java/org/apache/commons/cli2/builder/PatternBuilder.java
