bid,k,all,killed,timed_out,no_covg,non_viable,memory_error,run_error,survived,MathMutator,ConditionalsBoundaryMutator,IncrementsMutator,InvertNegsMutator,NegateConditionalsMutator,VoidMethodCallMutator,PrimitiveReturnsMutator,EmptyObjectReturnValsMutator,BooleanFalseReturnValsMutator,BooleanTrueReturnValsMutator,NullReturnValsMutator
38,38-ac2a1c85,155,144,0,1,0,0,0,10,5,8,1,0,80,44,0,1,4,8,4
15,15-a9313916,52,48,0,0,0,0,0,4,0,3,0,0,27,3,0,12,3,3,1
17,17-9c5ce350,34,31,0,3,0,0,0,0,3,1,0,0,21,8,0,0,0,0,1
27,27-4c971f08,13,12,0,0,0,0,0,1,0,0,0,0,6,0,0,4,1,1,1
24,24-02dd7c20,130,106,7,5,0,0,0,12,12,14,5,0,56,24,7,8,0,0,4
22,22-db4a638c,35,34,0,0,0,0,0,1,3,1,0,0,22,8,0,0,0,0,1
32,32-777cb810,128,106,5,5,0,0,0,12,11,12,3,0,57,25,7,9,0,0,4
35,35-085a1538,30,27,0,1,0,0,0,2,0,0,0,0,9,1,0,7,2,3,8
18,18-c8606251,33,31,0,2,0,0,0,0,3,1,0,0,21,7,0,0,0,0,1
14,14-c338c8ac,102,92,0,2,0,0,0,8,2,4,1,0,64,14,2,7,3,4,1
36,36-afc13c44,44,40,0,1,0,0,0,3,0,0,0,0,16,1,0,11,3,4,9
11,11-d36adebd,123,92,3,15,0,0,0,13,10,12,5,0,53,24,7,8,0,0,4
16,16-f104dd06,202,169,0,3,0,0,2,28,10,7,1,0,111,21,4,20,10,14,4
37,37-1bf9e6c5,151,144,0,1,0,0,0,6,5,7,1,0,77,44,0,1,4,8,4
28,28-3433f467,56,53,0,1,0,0,0,2,0,0,0,0,34,16,0,1,0,0,5
25,25-6a585453,129,105,6,5,0,0,0,13,11,14,5,0,56,24,7,8,0,0,4
20,20-99aa05af,37,34,0,2,0,0,0,1,3,1,0,0,24,8,0,0,0,0,1
21,21-9cd78b4c,171,159,0,2,0,0,0,10,2,7,1,0,98,21,2,19,8,10,3
12,12-aa050a69,17,17,0,0,0,0,0,0,1,2,3,0,10,0,0,0,0,0,1
31,31-4d2c8a22,261,199,7,11,0,0,0,44,15,21,5,0,105,38,11,20,6,15,25
19,19-b1331806,33,30,0,2,0,0,0,1,3,1,0,0,21,7,0,0,0,0,1
29,29-20002f7f,15,15,0,0,0,0,0,0,2,1,0,0,7,0,0,5,0,0,0
23,23-2ddaae14,128,101,6,6,0,0,0,15,11,13,5,0,55,24,7,8,0,0,5
40,40-b0024d48,27,25,0,2,0,0,0,0,0,0,0,0,10,0,0,0,0,0,17
30,30-324b7f90,215,202,0,3,0,0,0,10,5,9,1,0,117,62,0,2,3,7,9
7,7-4ee0d6c4,25,14,0,7,0,0,0,4,0,1,1,0,8,6,0,0,0,0,9
26,26-aa2434d3,29,13,0,0,0,0,0,16,0,0,0,0,2,9,0,0,0,0,18
33,33-483f811d,131,107,5,5,0,0,0,14,11,12,3,0,59,25,7,9,0,0,5
13,13-538fb688,128,115,0,0,0,1,0,12,1,19,5,0,59,13,4,17,4,4,2
34,34-62a3b36e,126,88,0,6,0,0,0,32,4,7,0,0,44,14,4,11,6,15,21
