bid,mutK,status,mutOp,lno
4,src.com.google.javascript.rhino.jstype.NamedType-1,non-latent,FALSE_RETURNS,126
4,src.com.google.javascript.rhino.jstype.NamedType-7,non-latent,VOID_METHOD_CALLS,351
7,src.com.google.javascript.jscomp.type.ChainableReverseAbstractInterpreter-4,non-latent,NULL_RETURNS,711
7,src.com.google.javascript.jscomp.type.ChainableReverseAbstractInterpreter-0,non-latent,VOID_METHOD_CALLS,82
8,src.com.google.javascript.jscomp.CollapseVariableDeclarations-21,non-latent,VOID_METHOD_CALLS,110
8,src.com.google.javascript.jscomp.CollapseVariableDeclarations-6,non-latent,VOID_METHOD_CALLS,224
8,src.com.google.javascript.jscomp.CollapseVariableDeclarations-0,non-latent,VOID_METHOD_CALLS,104
8,src.com.google.javascript.jscomp.CollapseVariableDeclarations-22,non-latent,VOID_METHOD_CALLS,111
8,src.com.google.javascript.jscomp.CollapseVariableDeclarations-7,non-latent,VOID_METHOD_CALLS,234
10,src.com.google.javascript.jscomp.NodeUtil-503,non-latent,NEGATE_CONDITIONALS,603
10,src.com.google.javascript.jscomp.NodeUtil-670,non-latent,VOID_METHOD_CALLS,2353
10,src.com.google.javascript.jscomp.NodeUtil-665,non-latent,VOID_METHOD_CALLS,1838
10,src.com.google.javascript.jscomp.NodeUtil-704,non-latent,TRUE_RETURNS,1093
10,src.com.google.javascript.jscomp.NodeUtil-775,non-latent,VOID_METHOD_CALLS,1797
10,src.com.google.javascript.jscomp.NodeUtil-369,non-latent,VOID_METHOD_CALLS,2769
10,src.com.google.javascript.jscomp.NodeUtil-321,non-latent,CONDITIONALS_BOUNDARY,354
10,src.com.google.javascript.jscomp.NodeUtil-806,non-latent,VOID_METHOD_CALLS,1849
10,src.com.google.javascript.jscomp.NodeUtil-685,non-latent,VOID_METHOD_CALLS,2389
10,src.com.google.javascript.jscomp.NodeUtil-203,non-latent,VOID_METHOD_CALLS,2264
10,src.com.google.javascript.jscomp.NodeUtil-474,non-latent,VOID_METHOD_CALLS,2028
10,src.com.google.javascript.jscomp.NodeUtil-724,non-latent,PRIMITIVE_RETURNS,1186
10,src.com.google.javascript.jscomp.NodeUtil-256,non-latent,VOID_METHOD_CALLS,1879
10,src.com.google.javascript.jscomp.NodeUtil-36,non-latent,VOID_METHOD_CALLS,1056
10,src.com.google.javascript.jscomp.NodeUtil-728,non-latent,PRIMITIVE_RETURNS,1201
10,src.com.google.javascript.jscomp.NodeUtil-0,non-latent,TRUE_RETURNS,1271
10,src.com.google.javascript.jscomp.NodeUtil-434,non-latent,TRUE_RETURNS,3121
10,src.com.google.javascript.jscomp.NodeUtil-797,non-latent,VOID_METHOD_CALLS,2346
10,src.com.google.javascript.jscomp.NodeUtil-726,non-latent,PRIMITIVE_RETURNS,1188
10,src.com.google.javascript.jscomp.NodeUtil-219,non-latent,VOID_METHOD_CALLS,2997
10,src.com.google.javascript.jscomp.NodeUtil-402,non-latent,TRUE_RETURNS,1679
10,src.com.google.javascript.jscomp.NodeUtil-700,non-latent,VOID_METHOD_CALLS,2553
