bid,mutK,status,mutOp,lno,debt_time,debt_nc
4,src.com.google.javascript.rhino.jstype.NamedType-1,non-latent,FALSE_RETURNS,126,364.1742476851852,707.0
4,src.com.google.javascript.rhino.jstype.NamedType-7,non-latent,VOID_METHOD_CALLS,351,364.1742476851852,707.0
7,src.com.google.javascript.jscomp.type.ChainableReverseAbstractInterpreter-4,non-latent,NULL_RETURNS,711,422.3593287037037,828.0
7,src.com.google.javascript.jscomp.type.ChainableReverseAbstractInterpreter-0,non-latent,VOID_METHOD_CALLS,82,422.3593287037037,828.0
8,src.com.google.javascript.jscomp.CollapseVariableDeclarations-21,non-latent,VOID_METHOD_CALLS,110,441.2772337962963,863.0
8,src.com.google.javascript.jscomp.CollapseVariableDeclarations-6,non-latent,VOID_METHOD_CALLS,224,441.2772337962963,863.0
8,src.com.google.javascript.jscomp.CollapseVariableDeclarations-0,non-latent,VOID_METHOD_CALLS,104,441.2772337962963,863.0
8,src.com.google.javascript.jscomp.CollapseVariableDeclarations-22,non-latent,VOID_METHOD_CALLS,111,441.2772337962963,863.0
8,src.com.google.javascript.jscomp.CollapseVariableDeclarations-7,non-latent,VOID_METHOD_CALLS,234,441.2772337962963,863.0
10,src.com.google.javascript.jscomp.NodeUtil-503,non-latent,NEGATE_CONDITIONALS,603,448.2782638888889,882.0
10,src.com.google.javascript.jscomp.NodeUtil-670,non-latent,VOID_METHOD_CALLS,2353,448.2782638888889,882.0
10,src.com.google.javascript.jscomp.NodeUtil-665,non-latent,VOID_METHOD_CALLS,1838,448.2782638888889,882.0
10,src.com.google.javascript.jscomp.NodeUtil-704,non-latent,TRUE_RETURNS,1093,448.2782638888889,882.0
10,src.com.google.javascript.jscomp.NodeUtil-775,non-latent,VOID_METHOD_CALLS,1797,448.2782638888889,882.0
10,src.com.google.javascript.jscomp.NodeUtil-369,non-latent,VOID_METHOD_CALLS,2769,448.2782638888889,882.0
10,src.com.google.javascript.jscomp.NodeUtil-321,non-latent,CONDITIONALS_BOUNDARY,354,448.2782638888889,882.0
10,src.com.google.javascript.jscomp.NodeUtil-806,non-latent,VOID_METHOD_CALLS,1849,448.2782638888889,882.0
10,src.com.google.javascript.jscomp.NodeUtil-685,non-latent,VOID_METHOD_CALLS,2389,448.2782638888889,882.0
10,src.com.google.javascript.jscomp.NodeUtil-203,non-latent,VOID_METHOD_CALLS,2264,448.2782638888889,882.0
10,src.com.google.javascript.jscomp.NodeUtil-474,non-latent,VOID_METHOD_CALLS,2028,448.2782638888889,882.0
10,src.com.google.javascript.jscomp.NodeUtil-724,non-latent,PRIMITIVE_RETURNS,1186,448.2782638888889,882.0
10,src.com.google.javascript.jscomp.NodeUtil-256,non-latent,VOID_METHOD_CALLS,1879,448.2782638888889,882.0
