bid,k,all,killed,timed_out,no_covg,non_viable,memory_error,run_error,survived,MathMutator,ConditionalsBoundaryMutator,IncrementsMutator,InvertNegsMutator,NegateConditionalsMutator,VoidMethodCallMutator,PrimitiveReturnsMutator,EmptyObjectReturnValsMutator,BooleanFalseReturnValsMutator,BooleanTrueReturnValsMutator,NullReturnValsMutator
120,120-0123fd53,28,21,5,1,0,0,0,1,0,0,0,0,11,9,0,0,3,2,3
174,174-d2b3ca66,1012,885,2,54,0,0,0,71,6,15,7,0,415,75,36,98,114,170,76
156,156-f39bbdd3,198,28,159,3,0,0,0,8,5,6,6,0,107,69,2,1,1,1,0
85,85-21a2103d,39,32,0,4,0,0,0,3,0,0,0,0,23,11,0,0,0,0,5
75,75-c6cc58a9,821,714,5,48,0,0,0,54,6,9,7,0,320,58,28,90,98,155,50
39,39-d577973f,159,145,0,4,0,0,0,10,1,2,2,0,79,9,2,7,16,24,17
122,122-a8a456b1,185,144,0,34,0,0,0,7,4,0,0,0,43,25,88,2,1,3,19
73,73-ee834409,524,453,0,16,0,0,0,55,19,21,6,1,195,258,3,7,2,7,5
133,133-4fbbc47c,572,467,9,34,0,0,0,62,9,14,2,0,285,151,0,22,4,6,79
62,62-b12d1d64,19,16,0,0,0,0,0,3,0,4,1,0,10,0,0,3,0,0,1
26,26-372eb11e,10,10,0,0,0,0,0,0,0,0,0,0,4,1,0,4,0,0,1
161,161-89441fcc,453,308,0,33,0,0,0,112,15,14,1,1,198,90,3,0,7,11,113
5,5-59eec92e,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
162,162-3395eb68,68,54,2,4,0,0,0,8,1,4,0,0,25,10,2,0,3,5,18
72,72-e323b879,76,68,0,1,0,0,0,7,0,2,1,0,36,27,0,1,0,1,8
71,71-db1fdf97,158,145,5,5,0,0,0,3,4,1,0,0,109,20,0,7,1,7,9
38,38-8cf08115,84,76,3,3,0,0,0,2,4,3,1,0,33,37,0,0,2,4,0
82,82-a857aec2,197,183,0,6,0,0,0,8,1,0,0,0,73,3,1,2,17,56,44
132,132-5b948590,510,35,468,5,0,0,0,2,11,11,6,0,238,114,0,1,12,26,91
6,6-9f7a3533,156,0,147,9,0,0,0,0,0,0,0,0,94,37,0,6,8,5,6
86,86-0907b661,666,577,1,41,0,0,0,47,5,5,4,0,252,50,28,67,81,131,43
44,44-64bb2291,83,76,2,3,0,0,0,2,4,3,1,0,32,37,0,0,2,4,0
36,36-be397ee0,4,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3
163,163-f5bcee99,37,33,0,1,0,0,0,3,0,1,0,0,19,14,0,1,0,0,2
127,127-211dc016,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
41,41-00b1517c,165,143,0,7,0,0,0,15,2,2,0,0,107,26,0,0,5,6,17
43,43-f636f23b,46,35,0,8,0,0,0,3,0,0,0,0,9,33,0,0,0,0,4
119,119-046e0b22,39,34,1,1,0,0,0,3,0,0,0,0,13,11,0,3,1,4,7
23,23-b59cdd9e,490,328,9,36,0,0,0,117,15,13,1,1,215,93,3,0,12,16,121
2,2-d1cfe679,435,0,423,12,0,0,0,0,10,4,1,0,250,150,1,0,5,9,5
154,154-09ed5563,524,409,3,24,0,0,0,88,10,5,1,0,291,170,1,6,13,16,11
165,165-61336bdc,418,360,2,27,0,0,0,29,4,4,3,0,126,120,0,8,24,33,96
170,170-49f54b28,22,0,20,2,0,0,0,0,0,1,0,0,10,7,0,0,2,2,0
25,25-2e904fcd,296,272,1,3,0,0,0,20,7,3,3,0,174,59,0,1,2,4,43
47,47-aedce359,127,14,83,26,0,0,0,4,11,16,8,0,56,21,4,5,0,0,6
1,1-1dfad504,128,0,123,5,0,0,0,0,0,3,3,0,78,37,0,0,2,4,1
125,125-8cef0018,469,62,359,32,0,0,0,16,11,9,1,0,274,151,1,0,6,10,6
160,160-29312d9f,362,216,0,89,0,0,0,57,1,6,0,0,113,142,3,13,10,11,63
45,45-6aa71f11,126,105,2,5,0,0,0,14,0,3,3,0,76,37,0,0,2,4,1
169,169-ac239c7c,879,745,7,59,0,0,0,68,6,5,3,0,441,49,8,16,78,149,124
55,55-f2c0cb1f,14,13,0,0,0,0,0,1,2,1,0,0,6,4,0,0,0,1,0
24,24-70ca6014,14,14,0,0,0,0,0,0,0,3,0,0,6,5,0,0,0,0,0
30,30-38e2b8f2,85,60,2,4,0,0,0,19,0,1,0,0,41,29,0,0,6,4,4
48,48-46da17d5,46,34,2,8,0,0,0,2,0,0,0,0,9,33,0,0,0,0,4
107,107-49e9565f,65,38,0,20,0,0,0,7,0,1,1,0,26,28,0,5,1,1,2
52,52-5909c3db,527,455,0,16,0,0,0,56,19,21,6,1,197,259,3,7,2,7,5
130,130-9fac3ccd,216,138,53,3,0,0,0,22,5,7,6,0,118,75,2,1,1,1,0
79,79-5d397618,58,51,0,3,0,0,0,4,0,0,0,0,28,26,0,0,0,0,4
113,113-0fb76a81,228,195,6,3,0,0,0,24,6,3,2,0,120,74,0,1,6,13,3
60,60-fbaadc73,842,731,6,51,0,0,0,54,6,9,7,0,337,59,28,90,98,156,52
13,13-d6d733f4,45,30,3,1,0,0,0,11,0,4,4,0,19,13,0,0,2,2,1
84,84-4839e1ea,207,104,0,99,0,0,0,4,3,0,0,0,16,19,153,0,1,1,14
110,110-13fb7fcb,593,492,5,57,0,0,0,39,20,10,8,0,251,84,22,35,19,90,54
157,157-41acde3e,767,583,3,119,0,0,0,62,22,21,6,1,228,291,156,9,3,8,22
68,68-9d5a6e30,528,421,4,31,0,0,0,72,7,13,1,0,255,144,0,20,4,6,78
34,34-87b154f8,544,472,0,10,0,0,0,62,19,21,6,1,203,269,3,8,2,7,5
61,61-34e4616a,839,730,6,50,0,0,0,53,6,9,7,0,336,59,28,90,98,156,50
76,76-78b01c3a,97,78,1,15,0,0,0,3,0,0,0,0,56,24,0,0,1,2,14
9,9-e9c15465,10,10,0,0,0,0,0,0,0,0,0,0,4,1,0,4,0,0,1
10,10-0884a4cb,919,798,17,45,0,0,0,59,6,10,8,0,373,55,33,97,107,160,70
12,12-d06ac163,44,30,0,0,0,0,0,14,0,0,0,0,18,19,0,1,1,2,3
155,155-ba011971,76,60,4,2,0,0,0,10,1,1,0,0,30,12,2,1,5,7,17
168,168-b675d1da,46,34,2,8,0,0,0,2,0,0,0,0,9,33,0,0,0,0,4
14,14-4b15b25f,251,231,0,2,0,0,0,18,5,2,1,0,107,86,0,0,10,15,25
17,17-33ab4df8,46,35,1,8,0,0,0,2,0,0,0,0,9,33,0,0,0,0,4
126,126-bd2803b6,60,51,1,3,0,0,0,5,0,0,0,0,30,26,0,0,0,4,0
4,4-efefb736,85,51,26,6,0,0,0,2,0,1,0,0,42,23,1,2,8,3,5
131,131-7f6700e2,62,3,32,27,0,0,0,0,0,1,1,0,54,0,0,0,2,4,0
20,20-ebf229b0,507,383,52,5,0,0,0,67,11,11,6,0,235,114,0,1,12,26,91
172,172-ce86cc8e,49,23,14,8,0,0,0,4,0,0,0,0,9,36,0,0,0,0,4
67,67-aa89d05b,13,11,0,0,0,0,0,2,0,0,0,0,5,5,0,1,0,0,2
66,66-59a30b48,393,306,1,13,0,0,0,73,10,6,1,0,216,136,1,0,6,10,7
40,40-6ebc0c3d,164,103,2,40,0,0,0,19,4,5,2,0,89,32,1,8,3,8,12
81,81-084b868b,207,104,0,99,0,0,0,4,3,0,0,0,16,19,153,0,1,1,14
74,74-03fee32a,584,405,0,40,0,0,0,139,27,23,1,1,257,114,3,0,6,10,142
69,69-63df133d,393,307,0,13,0,0,0,73,10,6,1,0,216,136,1,0,6,10,7
167,167-d58006a9,360,327,1,23,0,0,0,9,1,0,0,0,163,8,1,4,21,66,96
117,117-871bca1f,158,124,2,9,0,0,0,23,0,0,0,0,96,37,0,6,8,5,6
164,164-e414f154,73,55,2,7,0,0,0,9,2,0,1,0,50,1,1,1,3,12,2
89,89-4b065734,208,187,0,1,0,0,0,20,5,6,6,0,107,72,2,4,2,4,0
114,114-5f03c681,164,106,0,40,0,0,0,18,4,5,2,0,89,32,1,12,3,8,8
19,19-686146c4,38,34,1,1,0,0,0,2,0,0,0,0,19,3,0,0,0,0,16
59,59-49b4ef31,377,227,0,90,0,0,0,60,1,6,0,0,118,149,3,14,10,11,65
58,58-f640b5de,52,48,0,0,0,0,0,4,0,0,0,0,19,25,1,1,1,2,3
64,64-de726510,363,217,0,89,0,0,0,57,1,6,0,0,114,142,3,13,10,11,63
70,70-ec4a34c2,65,53,0,5,0,0,0,7,0,0,0,0,24,28,0,4,0,0,9
173,173-e96ce395,750,622,33,12,0,0,0,83,30,29,12,1,296,310,3,8,4,11,46
87,87-f64a3f51,296,238,10,7,0,0,0,41,6,6,3,0,138,65,0,0,8,14,56
123,123-8d11b8cc,554,488,2,10,0,0,0,54,19,21,6,1,209,273,3,7,2,8,5
108,108-aae547f4,18,17,1,0,0,0,0,0,0,3,0,0,9,6,0,0,0,0,0
159,159-a4f32ed8,123,102,0,1,0,0,0,20,0,0,0,0,62,43,0,1,6,9,2
27,27-7a898304,200,83,0,69,0,0,0,48,0,8,8,0,26,83,0,0,4,4,67
112,112-b168c882,330,306,0,4,0,0,0,20,3,1,1,0,203,69,0,2,3,6,42
