bid,mutK,final_chg_state,sc_cnt,rc_cnt,nc_cnt
1,src.java.org.apache.commons.codec.language.Metaphone-1,nc,0,0,8
1,src.java.org.apache.commons.codec.language.Metaphone-4,nc,0,0,8
1,src.java.org.apache.commons.codec.language.Metaphone-8,nc,0,0,24
1,src.java.org.apache.commons.codec.language.Metaphone-12,nc,0,0,24
1,src.java.org.apache.commons.codec.language.Metaphone-20,nc,0,0,24
1,src.java.org.apache.commons.codec.language.Metaphone-22,nc,0,0,24
1,src.java.org.apache.commons.codec.language.Metaphone-23,nc,0,0,24
1,src.java.org.apache.commons.codec.language.Metaphone-24,nc,0,0,24
1,src.java.org.apache.commons.codec.language.Metaphone-35,nc,0,0,48
1,src.java.org.apache.commons.codec.language.Metaphone-36,nc,0,0,48
1,src.java.org.apache.commons.codec.language.Metaphone-37,nc,0,0,24
1,src.java.org.apache.commons.codec.language.SoundexUtils-0,nc,0,0,6
1,src.java.org.apache.commons.codec.language.Caverphone-0,nc,0,0,5
1,src.java.org.apache.commons.codec.language.Caverphone-4,nc,0,0,5
1,src.java.org.apache.commons.codec.language.Caverphone-7,nc,0,0,5
2,src.java.org.apache.commons.codec.binary.Base64-5,sc,14,3,34
2,src.java.org.apache.commons.codec.binary.Base64-10,nc,0,0,114
2,src.java.org.apache.commons.codec.binary.Base64-37,sc,18,0,7
2,src.java.org.apache.commons.codec.binary.Base64-38,nc,0,0,114
2,src.java.org.apache.commons.codec.binary.Base64-39,nc,0,0,22
2,src.java.org.apache.commons.codec.binary.Base64-73,nc,0,0,16
2,src.java.org.apache.commons.codec.binary.Base64-74,nc,0,0,8
2,src.java.org.apache.commons.codec.binary.Base64-104,sc,18,0,7
2,src.java.org.apache.commons.codec.binary.Base64-105,sc,18,0,7
2,src.java.org.apache.commons.codec.binary.Base64-107,sc,36,0,14
2,src.java.org.apache.commons.codec.binary.Base64-108,sc,18,0,7
2,src.java.org.apache.commons.codec.binary.Base64-133,nc,0,0,5
2,src.java.org.apache.commons.codec.binary.Base64-134,nc,0,0,8
2,src.java.org.apache.commons.codec.binary.Base64-138,nc,0,0,8
2,src.java.org.apache.commons.codec.binary.Base64-177,sc,38,6,70
2,src.java.org.apache.commons.codec.binary.Base64-178,sc,38,6,70
2,src.java.org.apache.commons.codec.binary.Base64-185,nc,0,0,3
2,src.java.org.apache.commons.codec.binary.Base64-186,nc,0,0,3
2,src.java.org.apache.commons.codec.binary.Base64-200,nc,0,0,34
2,src.java.org.apache.commons.codec.binary.Base64-201,nc,0,0,34
2,src.java.org.apache.commons.codec.binary.Base64-213,sc,74,6,34
2,src.java.org.apache.commons.codec.binary.Base64-214,sc,74,6,34
2,src.java.org.apache.commons.codec.binary.Base64-215,sc,74,6,34
2,src.java.org.apache.commons.codec.binary.Base64-216,sc,74,6,34
2,src.java.org.apache.commons.codec.binary.Base64-217,sc,37,3,17
2,src.java.org.apache.commons.codec.binary.Base64-218,sc,37,3,17
3,src.java.org.apache.commons.codec.language.DoubleMetaphone-7,nc,0,0,21
3,src.java.org.apache.commons.codec.language.DoubleMetaphone-18,nc,0,0,42
3,src.java.org.apache.commons.codec.language.DoubleMetaphone-19,nc,0,0,42
3,src.java.org.apache.commons.codec.language.DoubleMetaphone-20,nc,0,0,21
3,src.java.org.apache.commons.codec.language.DoubleMetaphone-21,nc,0,0,21
3,src.java.org.apache.commons.codec.language.DoubleMetaphone-23,nc,0,0,21
3,src.java.org.apache.commons.codec.language.DoubleMetaphone-24,nc,0,0,21
3,src.java.org.apache.commons.codec.language.DoubleMetaphone-121,nc,0,0,42
3,src.java.org.apache.commons.codec.language.DoubleMetaphone-191,nc,0,0,42
3,src.java.org.apache.commons.codec.language.DoubleMetaphone-270,nc,0,0,2
3,src.java.org.apache.commons.codec.language.DoubleMetaphone-271,nc,0,0,2
3,src.java.org.apache.commons.codec.language.DoubleMetaphone-273,nc,0,0,1
3,src.java.org.apache.commons.codec.language.DoubleMetaphone-274,nc,0,0,1
3,src.java.org.apache.commons.codec.language.DoubleMetaphone-371,nc,0,0,21
3,src.java.org.apache.commons.codec.language.DoubleMetaphone-372,nc,0,0,42
3,src.java.org.apache.commons.codec.language.DoubleMetaphone-486,nc,0,0,21
3,src.java.org.apache.commons.codec.language.DoubleMetaphone-489,nc,0,0,21
3,src.java.org.apache.commons.codec.language.DoubleMetaphone-534,nc,0,0,42
3,src.java.org.apache.commons.codec.language.DoubleMetaphone-535,nc,0,0,21
3,src.java.org.apache.commons.codec.language.DoubleMetaphone-659,nc,0,0,42
3,src.java.org.apache.commons.codec.language.DoubleMetaphone-661,nc,0,0,21
3,src.java.org.apache.commons.codec.language.DoubleMetaphone-662,nc,0,0,21
3,src.java.org.apache.commons.codec.language.DoubleMetaphone-663,nc,0,0,21
3,src.java.org.apache.commons.codec.language.DoubleMetaphone-726,nc,0,0,42
3,src.java.org.apache.commons.codec.language.DoubleMetaphone-729,nc,0,0,42
3,src.java.org.apache.commons.codec.language.DoubleMetaphone-730,nc,0,0,42
3,src.java.org.apache.commons.codec.language.DoubleMetaphone-731,nc,0,0,42
3,src.java.org.apache.commons.codec.language.DoubleMetaphone-733,nc,0,0,21
3,src.java.org.apache.commons.codec.language.DoubleMetaphone-734,nc,0,0,21
3,src.java.org.apache.commons.codec.language.DoubleMetaphone-880,nc,0,0,42
3,src.java.org.apache.commons.codec.language.DoubleMetaphone-1047,nc,0,0,21
4,src.java.org.apache.commons.codec.binary.Base64-5,nc,0,0,11
4,src.java.org.apache.commons.codec.binary.Base64-6,sc,14,3,20
4,src.java.org.apache.commons.codec.binary.Base64-11,nc,0,0,86
4,src.java.org.apache.commons.codec.binary.Base64-51,nc,0,0,6
4,src.java.org.apache.commons.codec.binary.Base64-52,nc,0,0,3
4,src.java.org.apache.commons.codec.binary.Base64-70,nc,0,0,11
4,src.java.org.apache.commons.codec.binary.Base64-71,nc,0,0,43
4,src.java.org.apache.commons.codec.binary.Base64-104,nc,0,0,3
4,src.java.org.apache.commons.codec.binary.Base64-106,nc,0,0,3
4,src.java.org.apache.commons.codec.binary.Base64-118,nc,0,0,11
4,src.java.org.apache.commons.codec.binary.Base64-119,nc,0,0,11
4,src.java.org.apache.commons.codec.binary.Base64-139,nc,0,0,11
4,src.java.org.apache.commons.codec.binary.Base64-184,sc,38,6,42
4,src.java.org.apache.commons.codec.binary.Base64-185,sc,38,6,42
4,src.java.org.apache.commons.codec.binary.Base64-216,nc,0,0,6
4,src.java.org.apache.commons.codec.binary.Base64-217,nc,0,0,6
4,src.java.org.apache.commons.codec.binary.Base64-229,nc,0,0,86
4,src.java.org.apache.commons.codec.binary.Base64-230,nc,0,0,86
4,src.java.org.apache.commons.codec.binary.Base64-231,nc,0,0,86
4,src.java.org.apache.commons.codec.binary.Base64-232,nc,0,0,86
4,src.java.org.apache.commons.codec.binary.Base64-233,nc,0,0,86
4,src.java.org.apache.commons.codec.binary.Base64-234,nc,0,0,86
5,src.java.org.apache.commons.codec.binary.Base64-5,nc,0,0,9
