bid,mutK,status,mutOp,lno
1,src.java.org.apache.commons.codec.language.Metaphone-12,non-latent,CONDITIONALS_BOUNDARY,322
1,src.java.org.apache.commons.codec.language.Metaphone-35,non-latent,MATH,190
1,src.java.org.apache.commons.codec.language.Metaphone-37,non-latent,EMPTY_RETURNS,88
1,src.java.org.apache.commons.codec.language.Metaphone-8,non-latent,TRUE_RETURNS,390
1,src.java.org.apache.commons.codec.language.Metaphone-20,non-latent,CONDITIONALS_BOUNDARY,136
1,src.java.org.apache.commons.codec.language.Metaphone-24,non-latent,CONDITIONALS_BOUNDARY,308
1,src.java.org.apache.commons.codec.language.Metaphone-36,non-latent,MATH,203
1,src.java.org.apache.commons.codec.language.Metaphone-22,non-latent,CONDITIONALS_BOUNDARY,208
1,src.java.org.apache.commons.codec.language.Metaphone-23,non-latent,CONDITIONALS_BOUNDARY,247
1,src.java.org.apache.commons.codec.language.Caverphone-7,latent,EMPTY_RETURNS,168
1,src.java.org.apache.commons.codec.language.Caverphone-4,discard,NULL_RETURNS,158
1,src.java.org.apache.commons.codec.language.Metaphone-1,discard,NULL_RETURNS,368
1,src.java.org.apache.commons.codec.language.Metaphone-4,discard,EMPTY_RETURNS,378
1,src.java.org.apache.commons.codec.language.SoundexUtils-0,discard,EMPTY_RETURNS,42
1,src.java.org.apache.commons.codec.language.Caverphone-0,discard,EMPTY_RETURNS,55
2,src.java.org.apache.commons.codec.binary.Base64-10,non-latent,MATH,296
2,src.java.org.apache.commons.codec.binary.Base64-177,non-latent,CONDITIONALS_BOUNDARY,554
2,src.java.org.apache.commons.codec.binary.Base64-215,non-latent,MATH,879
2,src.java.org.apache.commons.codec.binary.Base64-178,non-latent,CONDITIONALS_BOUNDARY,554
2,src.java.org.apache.commons.codec.binary.Base64-213,non-latent,MATH,878
2,src.java.org.apache.commons.codec.binary.Base64-214,non-latent,MATH,879
2,src.java.org.apache.commons.codec.binary.Base64-216,non-latent,MATH,879
2,src.java.org.apache.commons.codec.binary.Base64-217,non-latent,NEGATE_CONDITIONALS,878
2,src.java.org.apache.commons.codec.binary.Base64-218,non-latent,NEGATE_CONDITIONALS,879
2,src.java.org.apache.commons.codec.binary.Base64-38,non-latent,CONDITIONALS_BOUNDARY,513
2,src.java.org.apache.commons.codec.binary.Base64-185,latent,NEGATE_CONDITIONALS,315
2,src.java.org.apache.commons.codec.binary.Base64-39,latent,CONDITIONALS_BOUNDARY,513
2,src.java.org.apache.commons.codec.binary.Base64-5,latent,CONDITIONALS_BOUNDARY,291
2,src.java.org.apache.commons.codec.binary.Base64-186,latent,TRUE_RETURNS,315
2,src.java.org.apache.commons.codec.binary.Base64-108,discard,NEGATE_CONDITIONALS,422
2,src.java.org.apache.commons.codec.binary.Base64-105,discard,CONDITIONALS_BOUNDARY,452
2,src.java.org.apache.commons.codec.binary.Base64-201,discard,NEGATE_CONDITIONALS,391
2,src.java.org.apache.commons.codec.binary.Base64-107,discard,MATH,422
2,src.java.org.apache.commons.codec.binary.Base64-74,discard,VOID_METHOD_CALLS,730
2,src.java.org.apache.commons.codec.binary.Base64-37,discard,CONDITIONALS_BOUNDARY,504
2,src.java.org.apache.commons.codec.binary.Base64-104,discard,CONDITIONALS_BOUNDARY,422
2,src.java.org.apache.commons.codec.binary.Base64-134,discard,CONDITIONALS_BOUNDARY,709
2,src.java.org.apache.commons.codec.binary.Base64-200,discard,NEGATE_CONDITIONALS,391
2,src.java.org.apache.commons.codec.binary.Base64-73,discard,MATH,728
2,src.java.org.apache.commons.codec.binary.Base64-138,discard,VOID_METHOD_CALLS,700
2,src.java.org.apache.commons.codec.binary.Base64-133,discard,CONDITIONALS_BOUNDARY,695
3,src.java.org.apache.commons.codec.language.DoubleMetaphone-726,non-latent,MATH,530
3,src.java.org.apache.commons.codec.language.DoubleMetaphone-121,non-latent,MATH,833
3,src.java.org.apache.commons.codec.language.DoubleMetaphone-1047,non-latent,CONDITIONALS_BOUNDARY,796
3,src.java.org.apache.commons.codec.language.DoubleMetaphone-372,non-latent,MATH,297
3,src.java.org.apache.commons.codec.language.DoubleMetaphone-19,non-latent,MATH,818
3,src.java.org.apache.commons.codec.language.DoubleMetaphone-729,non-latent,MATH,543
3,src.java.org.apache.commons.codec.language.DoubleMetaphone-880,non-latent,MATH,648
3,src.java.org.apache.commons.codec.language.DoubleMetaphone-659,non-latent,CONDITIONALS_BOUNDARY,487
3,src.java.org.apache.commons.codec.language.DoubleMetaphone-23,non-latent,NEGATE_CONDITIONALS,822
3,src.java.org.apache.commons.codec.language.DoubleMetaphone-24,non-latent,FALSE_RETURNS,813
3,src.java.org.apache.commons.codec.language.DoubleMetaphone-486,non-latent,CONDITIONALS_BOUNDARY,364
3,src.java.org.apache.commons.codec.language.DoubleMetaphone-734,non-latent,NEGATE_CONDITIONALS,549
3,src.java.org.apache.commons.codec.language.DoubleMetaphone-730,non-latent,MATH,545
3,src.java.org.apache.commons.codec.language.DoubleMetaphone-18,non-latent,MATH,816
3,src.java.org.apache.commons.codec.language.DoubleMetaphone-535,non-latent,NEGATE_CONDITIONALS,425
3,src.java.org.apache.commons.codec.language.DoubleMetaphone-534,non-latent,MATH,452
3,src.java.org.apache.commons.codec.language.DoubleMetaphone-7,non-latent,CONDITIONALS_BOUNDARY,814
3,src.java.org.apache.commons.codec.language.DoubleMetaphone-20,non-latent,MATH,822
3,src.java.org.apache.commons.codec.language.DoubleMetaphone-371,non-latent,MATH,292
3,src.java.org.apache.commons.codec.language.DoubleMetaphone-662,non-latent,CONDITIONALS_BOUNDARY,493
3,src.java.org.apache.commons.codec.language.DoubleMetaphone-489,non-latent,NEGATE_CONDITIONALS,364
3,src.java.org.apache.commons.codec.language.DoubleMetaphone-21,non-latent,NEGATE_CONDITIONALS,814
3,src.java.org.apache.commons.codec.language.DoubleMetaphone-191,non-latent,MATH,863
3,src.java.org.apache.commons.codec.language.DoubleMetaphone-663,non-latent,CONDITIONALS_BOUNDARY,497
3,src.java.org.apache.commons.codec.language.DoubleMetaphone-731,non-latent,MATH,549
3,src.java.org.apache.commons.codec.language.DoubleMetaphone-661,non-latent,CONDITIONALS_BOUNDARY,488
3,src.java.org.apache.commons.codec.language.DoubleMetaphone-733,non-latent,NEGATE_CONDITIONALS,541
3,src.java.org.apache.commons.codec.language.DoubleMetaphone-271,latent,MATH,160
3,src.java.org.apache.commons.codec.language.DoubleMetaphone-273,latent,NEGATE_CONDITIONALS,160
3,src.java.org.apache.commons.codec.language.DoubleMetaphone-270,latent,MATH,137
3,src.java.org.apache.commons.codec.language.DoubleMetaphone-274,latent,NEGATE_CONDITIONALS,173
4,src.java.org.apache.commons.codec.binary.Base64-185,non-latent,CONDITIONALS_BOUNDARY,597
4,src.java.org.apache.commons.codec.binary.Base64-230,non-latent,MATH,1025
4,src.java.org.apache.commons.codec.binary.Base64-231,non-latent,MATH,1025
4,src.java.org.apache.commons.codec.binary.Base64-184,non-latent,CONDITIONALS_BOUNDARY,597
4,src.java.org.apache.commons.codec.binary.Base64-11,non-latent,MATH,333
4,src.java.org.apache.commons.codec.binary.Base64-71,non-latent,CONDITIONALS_BOUNDARY,555
