bid,mutK,status,mutOp,lno,debt_time,debt_nc
1,src.java.org.apache.commons.codec.language.Metaphone-12,non-latent,CONDITIONALS_BOUNDARY,322,4013.775729166666,1381.0
1,src.java.org.apache.commons.codec.language.Metaphone-35,non-latent,MATH,190,4013.775729166666,1381.0
1,src.java.org.apache.commons.codec.language.Metaphone-37,non-latent,EMPTY_RETURNS,88,4013.775729166666,1381.0
1,src.java.org.apache.commons.codec.language.Metaphone-8,non-latent,TRUE_RETURNS,390,4013.775729166666,1381.0
1,src.java.org.apache.commons.codec.language.Metaphone-20,non-latent,CONDITIONALS_BOUNDARY,136,4013.775729166666,1381.0
1,src.java.org.apache.commons.codec.language.Metaphone-24,non-latent,CONDITIONALS_BOUNDARY,308,4013.775729166666,1381.0
1,src.java.org.apache.commons.codec.language.Metaphone-36,non-latent,MATH,203,4013.775729166666,1381.0
1,src.java.org.apache.commons.codec.language.Metaphone-22,non-latent,CONDITIONALS_BOUNDARY,208,4013.775729166666,1381.0
1,src.java.org.apache.commons.codec.language.Metaphone-23,non-latent,CONDITIONALS_BOUNDARY,247,4013.775729166666,1381.0
1,src.java.org.apache.commons.codec.language.Caverphone-7,latent,EMPTY_RETURNS,168,1038.7224305555555,323.0
1,src.java.org.apache.commons.codec.language.Caverphone-4,discard,NULL_RETURNS,158,1044.0293518518515,326.0
1,src.java.org.apache.commons.codec.language.Metaphone-1,discard,NULL_RETURNS,368,1431.659398148148,591.0
1,src.java.org.apache.commons.codec.language.Metaphone-4,discard,EMPTY_RETURNS,378,1431.659398148148,591.0
1,src.java.org.apache.commons.codec.language.SoundexUtils-0,discard,EMPTY_RETURNS,42,1201.8734490740742,465.0
1,src.java.org.apache.commons.codec.language.Caverphone-0,discard,EMPTY_RETURNS,55,1044.0293518518515,326.0
2,src.java.org.apache.commons.codec.binary.Base64-10,non-latent,MATH,296,3570.860775462963,1333.0
2,src.java.org.apache.commons.codec.binary.Base64-177,non-latent,CONDITIONALS_BOUNDARY,554,3570.860775462963,1333.0
2,src.java.org.apache.commons.codec.binary.Base64-215,non-latent,MATH,879,3570.860775462963,1333.0
2,src.java.org.apache.commons.codec.binary.Base64-178,non-latent,CONDITIONALS_BOUNDARY,554,3570.860775462963,1333.0
2,src.java.org.apache.commons.codec.binary.Base64-213,non-latent,MATH,878,3570.860775462963,1333.0
2,src.java.org.apache.commons.codec.binary.Base64-214,non-latent,MATH,879,3570.860775462963,1333.0
2,src.java.org.apache.commons.codec.binary.Base64-216,non-latent,MATH,879,3570.860775462963,1333.0
