bid,k,mutOp,status,sourceFile,mutatedClass,lineNumber,index,block,description,full_sourceFile
1,1-52d82d1d,NegateConditionalsMutator,KILLED,Metaphone.java,org.apache.commons.codec.language.Metaphone,365,5,0,negated conditional,src/java/org/apache/commons/codec/language/Metaphone.java
1,1-52d82d1d,NullReturnValsMutator,SURVIVED,Metaphone.java,org.apache.commons.codec.language.Metaphone,368,19,4,replaced return value with null for org/apache/commons/codec/language/Metaphone::encode,src/java/org/apache/commons/codec/language/Metaphone.java
1,1-52d82d1d,EmptyObjectReturnValsMutator,SURVIVED,Metaphone.java,org.apache.commons.codec.language.Metaphone,378,6,1,"replaced return value with """" for org/apache/commons/codec/language/Metaphone::encode",src/java/org/apache/commons/codec/language/Metaphone.java
1,1-52d82d1d,PrimitiveReturnsMutator,KILLED,Metaphone.java,org.apache.commons.codec.language.Metaphone,397,5,0,replaced int return with 0 for org/apache/commons/codec/language/Metaphone::getMaxCodeLen,src/java/org/apache/commons/codec/language/Metaphone.java
1,1-52d82d1d,MathMutator,KILLED,Metaphone.java,org.apache.commons.codec.language.Metaphone,348,5,0,Replaced integer addition with subtraction,src/java/org/apache/commons/codec/language/Metaphone.java
1,1-52d82d1d,NegateConditionalsMutator,KILLED,Metaphone.java,org.apache.commons.codec.language.Metaphone,348,7,0,negated conditional,src/java/org/apache/commons/codec/language/Metaphone.java
1,1-52d82d1d,BooleanTrueReturnValsMutator,KILLED,Metaphone.java,org.apache.commons.codec.language.Metaphone,348,13,3,replaced boolean return with true for org/apache/commons/codec/language/Metaphone::isLastChar,src/java/org/apache/commons/codec/language/Metaphone.java
1,1-52d82d1d,BooleanFalseReturnValsMutator,KILLED,Metaphone.java,org.apache.commons.codec.language.Metaphone,390,10,3,replaced boolean return with false for org/apache/commons/codec/language/Metaphone::isMetaphoneEqual,src/java/org/apache/commons/codec/language/Metaphone.java
1,1-52d82d1d,BooleanTrueReturnValsMutator,SURVIVED,Metaphone.java,org.apache.commons.codec.language.Metaphone,390,10,3,replaced boolean return with true for org/apache/commons/codec/language/Metaphone::isMetaphoneEqual,src/java/org/apache/commons/codec/language/Metaphone.java
1,1-52d82d1d,ConditionalsBoundaryMutator,KILLED,Metaphone.java,org.apache.commons.codec.language.Metaphone,330,8,0,changed conditional boundary,src/java/org/apache/commons/codec/language/Metaphone.java
1,1-52d82d1d,ConditionalsBoundaryMutator,KILLED,Metaphone.java,org.apache.commons.codec.language.Metaphone,331,16,2,changed conditional boundary,src/java/org/apache/commons/codec/language/Metaphone.java
1,1-52d82d1d,MathMutator,KILLED,Metaphone.java,org.apache.commons.codec.language.Metaphone,331,15,2,Replaced integer subtraction with addition,src/java/org/apache/commons/codec/language/Metaphone.java
1,1-52d82d1d,MathMutator,KILLED,Metaphone.java,org.apache.commons.codec.language.Metaphone,332,22,3,Replaced integer addition with subtraction,src/java/org/apache/commons/codec/language/Metaphone.java
1,1-52d82d1d,NegateConditionalsMutator,KILLED,Metaphone.java,org.apache.commons.codec.language.Metaphone,330,8,0,negated conditional,src/java/org/apache/commons/codec/language/Metaphone.java
1,1-52d82d1d,NegateConditionalsMutator,KILLED,Metaphone.java,org.apache.commons.codec.language.Metaphone,331,16,2,negated conditional,src/java/org/apache/commons/codec/language/Metaphone.java
1,1-52d82d1d,NegateConditionalsMutator,KILLED,Metaphone.java,org.apache.commons.codec.language.Metaphone,332,25,4,negated conditional,src/java/org/apache/commons/codec/language/Metaphone.java
1,1-52d82d1d,BooleanFalseReturnValsMutator,KILLED,Metaphone.java,org.apache.commons.codec.language.Metaphone,334,35,8,replaced boolean return with false for org/apache/commons/codec/language/Metaphone::isNextChar,src/java/org/apache/commons/codec/language/Metaphone.java
1,1-52d82d1d,BooleanTrueReturnValsMutator,KILLED,Metaphone.java,org.apache.commons.codec.language.Metaphone,334,35,8,replaced boolean return with true for org/apache/commons/codec/language/Metaphone::isNextChar,src/java/org/apache/commons/codec/language/Metaphone.java
1,1-52d82d1d,ConditionalsBoundaryMutator,KILLED,Metaphone.java,org.apache.commons.codec.language.Metaphone,321,8,0,changed conditional boundary,src/java/org/apache/commons/codec/language/Metaphone.java
1,1-52d82d1d,ConditionalsBoundaryMutator,SURVIVED,Metaphone.java,org.apache.commons.codec.language.Metaphone,322,14,2,changed conditional boundary,src/java/org/apache/commons/codec/language/Metaphone.java
1,1-52d82d1d,MathMutator,KILLED,Metaphone.java,org.apache.commons.codec.language.Metaphone,323,20,3,Replaced integer subtraction with addition,src/java/org/apache/commons/codec/language/Metaphone.java
1,1-52d82d1d,NegateConditionalsMutator,KILLED,Metaphone.java,org.apache.commons.codec.language.Metaphone,321,8,0,negated conditional,src/java/org/apache/commons/codec/language/Metaphone.java
1,1-52d82d1d,NegateConditionalsMutator,KILLED,Metaphone.java,org.apache.commons.codec.language.Metaphone,322,14,2,negated conditional,src/java/org/apache/commons/codec/language/Metaphone.java
1,1-52d82d1d,NegateConditionalsMutator,KILLED,Metaphone.java,org.apache.commons.codec.language.Metaphone,323,23,4,negated conditional,src/java/org/apache/commons/codec/language/Metaphone.java
1,1-52d82d1d,BooleanFalseReturnValsMutator,KILLED,Metaphone.java,org.apache.commons.codec.language.Metaphone,325,33,8,replaced boolean return with false for org/apache/commons/codec/language/Metaphone::isPreviousChar,src/java/org/apache/commons/codec/language/Metaphone.java
1,1-52d82d1d,BooleanTrueReturnValsMutator,KILLED,Metaphone.java,org.apache.commons.codec.language.Metaphone,325,33,8,replaced boolean return with true for org/apache/commons/codec/language/Metaphone::isPreviousChar,src/java/org/apache/commons/codec/language/Metaphone.java
1,1-52d82d1d,ConditionalsBoundaryMutator,KILLED,Metaphone.java,org.apache.commons.codec.language.Metaphone,316,8,2,changed conditional boundary,src/java/org/apache/commons/codec/language/Metaphone.java
1,1-52d82d1d,NegateConditionalsMutator,KILLED,Metaphone.java,org.apache.commons.codec.language.Metaphone,316,8,2,negated conditional,src/java/org/apache/commons/codec/language/Metaphone.java
1,1-52d82d1d,BooleanTrueReturnValsMutator,KILLED,Metaphone.java,org.apache.commons.codec.language.Metaphone,316,14,5,replaced boolean return with true for org/apache/commons/codec/language/Metaphone::isVowel,src/java/org/apache/commons/codec/language/Metaphone.java
1,1-52d82d1d,ConditionalsBoundaryMutator,SURVIVED,Metaphone.java,org.apache.commons.codec.language.Metaphone,136,202,40,changed conditional boundary,src/java/org/apache/commons/codec/language/Metaphone.java
1,1-52d82d1d,ConditionalsBoundaryMutator,KILLED,Metaphone.java,org.apache.commons.codec.language.Metaphone,136,205,41,changed conditional boundary,src/java/org/apache/commons/codec/language/Metaphone.java
1,1-52d82d1d,ConditionalsBoundaryMutator,KILLED,Metaphone.java,org.apache.commons.codec.language.Metaphone,160,293,64,changed conditional boundary,src/java/org/apache/commons/codec/language/Metaphone.java
1,1-52d82d1d,ConditionalsBoundaryMutator,KILLED,Metaphone.java,org.apache.commons.codec.language.Metaphone,168,330,74,changed conditional boundary,src/java/org/apache/commons/codec/language/Metaphone.java
1,1-52d82d1d,ConditionalsBoundaryMutator,SURVIVED,Metaphone.java,org.apache.commons.codec.language.Metaphone,178,379,86,changed conditional boundary,src/java/org/apache/commons/codec/language/Metaphone.java
1,1-52d82d1d,ConditionalsBoundaryMutator,KILLED,Metaphone.java,org.apache.commons.codec.language.Metaphone,192,436,101,changed conditional boundary,src/java/org/apache/commons/codec/language/Metaphone.java
1,1-52d82d1d,ConditionalsBoundaryMutator,SURVIVED,Metaphone.java,org.apache.commons.codec.language.Metaphone,208,506,118,changed conditional boundary,src/java/org/apache/commons/codec/language/Metaphone.java
1,1-52d82d1d,ConditionalsBoundaryMutator,KILLED,Metaphone.java,org.apache.commons.codec.language.Metaphone,219,559,132,changed conditional boundary,src/java/org/apache/commons/codec/language/Metaphone.java
1,1-52d82d1d,ConditionalsBoundaryMutator,KILLED,Metaphone.java,org.apache.commons.codec.language.Metaphone,230,591,141,changed conditional boundary,src/java/org/apache/commons/codec/language/Metaphone.java
1,1-52d82d1d,ConditionalsBoundaryMutator,KILLED,Metaphone.java,org.apache.commons.codec.language.Metaphone,231,601,144,changed conditional boundary,src/java/org/apache/commons/codec/language/Metaphone.java
