bid,k,all,killed,timed_out,no_covg,non_viable,memory_error,run_error,survived,MathMutator,ConditionalsBoundaryMutator,IncrementsMutator,InvertNegsMutator,NegateConditionalsMutator,VoidMethodCallMutator,PrimitiveReturnsMutator,EmptyObjectReturnValsMutator,BooleanFalseReturnValsMutator,BooleanTrueReturnValsMutator,NullReturnValsMutator
15,15-28b7b958,38,33,0,1,0,0,0,4,2,6,3,0,16,1,4,4,0,0,2
12,12-1fc451c7,39,25,6,0,0,0,0,8,4,9,0,0,18,2,5,0,0,1,0
5,5-800f0531,261,230,6,0,0,0,0,25,95,27,7,0,76,20,2,3,3,6,22
11,11-7e8c20bd,94,91,0,0,0,0,0,3,12,8,5,0,35,12,4,9,0,1,8
18,18-5ef5bd19,37,36,0,0,0,0,0,1,0,0,0,0,12,0,0,9,2,3,11
13,13-37ba197e,614,533,5,29,0,0,0,47,144,20,53,0,221,90,24,16,14,22,10
7,7-954d995c,261,228,6,0,0,0,0,27,95,27,7,0,76,20,2,3,3,6,22
6,6-d74fc316,31,17,5,0,0,0,0,9,2,7,0,0,15,3,3,0,0,1,0
16,16-c82fe35c,218,195,2,12,0,0,0,9,162,16,5,0,31,3,0,0,0,1,0
17,17-d2f27093,36,32,0,2,0,0,0,2,0,0,0,0,10,0,0,9,3,3,11
9,9-c5291ab1,256,205,6,7,0,0,0,38,94,26,7,0,72,17,2,3,5,8,22
8,8-2c13032a,280,218,13,0,0,0,0,49,98,32,7,0,84,19,5,3,3,7,22
14,14-39d5df29,152,42,1,10,79,0,0,20,12,12,2,0,70,2,1,13,5,10,25
2,2-b8c2d9d9,237,199,5,7,0,0,0,26,89,25,8,0,69,18,1,0,3,6,18
1,1-52d82d1d,159,141,0,2,0,0,0,16,22,21,7,0,81,2,3,9,5,7,2
4,4-bcfef890,256,228,6,0,0,0,0,22,94,26,7,0,74,19,2,3,3,6,22
10,10-41c68e9e,9,7,0,0,0,0,0,2,0,0,0,0,3,0,0,3,1,1,1
3,3-a5dfe5cb,583,512,5,14,0,0,0,52,144,21,52,0,207,90,24,7,15,22,1
