bid,k,mutOp,status,sourceFile,mutatedClass,lineNumber,index,block,description,full_sourceFile
25,25-73d69dfe,NegateConditionalsMutator,KILLED,IteratorUtils.java,org.apache.commons.collections4.IteratorUtils,1242,4,0,negated conditional,src/main/java/org/apache/commons/collections4/IteratorUtils.java
25,25-73d69dfe,NegateConditionalsMutator,KILLED,IteratorUtils.java,org.apache.commons.collections4.IteratorUtils,1246,16,3,negated conditional,src/main/java/org/apache/commons/collections4/IteratorUtils.java
25,25-73d69dfe,NegateConditionalsMutator,KILLED,IteratorUtils.java,org.apache.commons.collections4.IteratorUtils,1247,22,5,negated conditional,src/main/java/org/apache/commons/collections4/IteratorUtils.java
25,25-73d69dfe,VoidMethodCallMutator,KILLED,IteratorUtils.java,org.apache.commons.collections4.IteratorUtils,1249,32,7,removed call to org/apache/commons/collections4/Closure::execute,src/main/java/org/apache/commons/collections4/IteratorUtils.java
25,25-73d69dfe,NullReturnValsMutator,KILLED,IteratorUtils.java,org.apache.commons.collections4.IteratorUtils,281,7,1,replaced return value with null for org/apache/commons/collections4/IteratorUtils::arrayIterator,src/main/java/org/apache/commons/collections4/IteratorUtils.java
25,25-73d69dfe,NullReturnValsMutator,KILLED,IteratorUtils.java,org.apache.commons.collections4.IteratorUtils,318,8,1,replaced return value with null for org/apache/commons/collections4/IteratorUtils::arrayIterator,src/main/java/org/apache/commons/collections4/IteratorUtils.java
25,25-73d69dfe,NullReturnValsMutator,KILLED,IteratorUtils.java,org.apache.commons.collections4.IteratorUtils,356,9,1,replaced return value with null for org/apache/commons/collections4/IteratorUtils::arrayIterator,src/main/java/org/apache/commons/collections4/IteratorUtils.java
25,25-73d69dfe,NullReturnValsMutator,KILLED,IteratorUtils.java,org.apache.commons.collections4.IteratorUtils,265,7,1,replaced return value with null for org/apache/commons/collections4/IteratorUtils::arrayIterator,src/main/java/org/apache/commons/collections4/IteratorUtils.java
25,25-73d69dfe,NullReturnValsMutator,KILLED,IteratorUtils.java,org.apache.commons.collections4.IteratorUtils,299,8,1,replaced return value with null for org/apache/commons/collections4/IteratorUtils::arrayIterator,src/main/java/org/apache/commons/collections4/IteratorUtils.java
25,25-73d69dfe,NullReturnValsMutator,KILLED,IteratorUtils.java,org.apache.commons.collections4.IteratorUtils,337,9,1,replaced return value with null for org/apache/commons/collections4/IteratorUtils::arrayIterator,src/main/java/org/apache/commons/collections4/IteratorUtils.java
25,25-73d69dfe,NullReturnValsMutator,KILLED,IteratorUtils.java,org.apache.commons.collections4.IteratorUtils,385,7,1,replaced return value with null for org/apache/commons/collections4/IteratorUtils::arrayListIterator,src/main/java/org/apache/commons/collections4/IteratorUtils.java
25,25-73d69dfe,NullReturnValsMutator,KILLED,IteratorUtils.java,org.apache.commons.collections4.IteratorUtils,417,8,1,replaced return value with null for org/apache/commons/collections4/IteratorUtils::arrayListIterator,src/main/java/org/apache/commons/collections4/IteratorUtils.java
25,25-73d69dfe,NullReturnValsMutator,KILLED,IteratorUtils.java,org.apache.commons.collections4.IteratorUtils,452,9,1,replaced return value with null for org/apache/commons/collections4/IteratorUtils::arrayListIterator,src/main/java/org/apache/commons/collections4/IteratorUtils.java
25,25-73d69dfe,NullReturnValsMutator,KILLED,IteratorUtils.java,org.apache.commons.collections4.IteratorUtils,369,7,1,replaced return value with null for org/apache/commons/collections4/IteratorUtils::arrayListIterator,src/main/java/org/apache/commons/collections4/IteratorUtils.java
25,25-73d69dfe,NullReturnValsMutator,KILLED,IteratorUtils.java,org.apache.commons.collections4.IteratorUtils,399,8,1,replaced return value with null for org/apache/commons/collections4/IteratorUtils::arrayListIterator,src/main/java/org/apache/commons/collections4/IteratorUtils.java
25,25-73d69dfe,NullReturnValsMutator,KILLED,IteratorUtils.java,org.apache.commons.collections4.IteratorUtils,433,9,1,replaced return value with null for org/apache/commons/collections4/IteratorUtils::arrayListIterator,src/main/java/org/apache/commons/collections4/IteratorUtils.java
25,25-73d69dfe,NegateConditionalsMutator,NO_COVERAGE,IteratorUtils.java,org.apache.commons.collections4.IteratorUtils,1016,4,0,negated conditional,src/main/java/org/apache/commons/collections4/IteratorUtils.java
25,25-73d69dfe,NullReturnValsMutator,NO_COVERAGE,IteratorUtils.java,org.apache.commons.collections4.IteratorUtils,1019,19,4,replaced return value with null for org/apache/commons/collections4/IteratorUtils::asEnumeration,src/main/java/org/apache/commons/collections4/IteratorUtils.java
25,25-73d69dfe,NegateConditionalsMutator,KILLED,IteratorUtils.java,org.apache.commons.collections4.IteratorUtils,1032,4,0,negated conditional,src/main/java/org/apache/commons/collections4/IteratorUtils.java
25,25-73d69dfe,NullReturnValsMutator,KILLED,IteratorUtils.java,org.apache.commons.collections4.IteratorUtils,1035,20,4,replaced return value with null for org/apache/commons/collections4/IteratorUtils::asIterable,src/main/java/org/apache/commons/collections4/IteratorUtils.java
25,25-73d69dfe,NegateConditionalsMutator,NO_COVERAGE,IteratorUtils.java,org.apache.commons.collections4.IteratorUtils,981,4,0,negated conditional,src/main/java/org/apache/commons/collections4/IteratorUtils.java
25,25-73d69dfe,NullReturnValsMutator,NO_COVERAGE,IteratorUtils.java,org.apache.commons.collections4.IteratorUtils,984,19,4,replaced return value with null for org/apache/commons/collections4/IteratorUtils::asIterator,src/main/java/org/apache/commons/collections4/IteratorUtils.java
25,25-73d69dfe,NegateConditionalsMutator,NO_COVERAGE,IteratorUtils.java,org.apache.commons.collections4.IteratorUtils,998,4,0,negated conditional,src/main/java/org/apache/commons/collections4/IteratorUtils.java
25,25-73d69dfe,NegateConditionalsMutator,NO_COVERAGE,IteratorUtils.java,org.apache.commons.collections4.IteratorUtils,1001,16,3,negated conditional,src/main/java/org/apache/commons/collections4/IteratorUtils.java
25,25-73d69dfe,NullReturnValsMutator,NO_COVERAGE,IteratorUtils.java,org.apache.commons.collections4.IteratorUtils,1004,32,7,replaced return value with null for org/apache/commons/collections4/IteratorUtils::asIterator,src/main/java/org/apache/commons/collections4/IteratorUtils.java
25,25-73d69dfe,NegateConditionalsMutator,KILLED,IteratorUtils.java,org.apache.commons.collections4.IteratorUtils,1048,4,0,negated conditional,src/main/java/org/apache/commons/collections4/IteratorUtils.java
25,25-73d69dfe,NullReturnValsMutator,KILLED,IteratorUtils.java,org.apache.commons.collections4.IteratorUtils,1051,20,4,replaced return value with null for org/apache/commons/collections4/IteratorUtils::asMultipleUseIterable,src/main/java/org/apache/commons/collections4/IteratorUtils.java
25,25-73d69dfe,NullReturnValsMutator,NO_COVERAGE,IteratorUtils.java,org.apache.commons.collections4.IteratorUtils,469,7,1,replaced return value with null for org/apache/commons/collections4/IteratorUtils::boundedIterator,src/main/java/org/apache/commons/collections4/IteratorUtils.java
25,25-73d69dfe,NullReturnValsMutator,NO_COVERAGE,IteratorUtils.java,org.apache.commons.collections4.IteratorUtils,490,9,1,replaced return value with null for org/apache/commons/collections4/IteratorUtils::boundedIterator,src/main/java/org/apache/commons/collections4/IteratorUtils.java
25,25-73d69dfe,NullReturnValsMutator,NO_COVERAGE,IteratorUtils.java,org.apache.commons.collections4.IteratorUtils,580,7,1,replaced return value with null for org/apache/commons/collections4/IteratorUtils::chainedIterator,src/main/java/org/apache/commons/collections4/IteratorUtils.java
25,25-73d69dfe,NullReturnValsMutator,KILLED,IteratorUtils.java,org.apache.commons.collections4.IteratorUtils,553,8,1,replaced return value with null for org/apache/commons/collections4/IteratorUtils::chainedIterator,src/main/java/org/apache/commons/collections4/IteratorUtils.java
25,25-73d69dfe,NullReturnValsMutator,NO_COVERAGE,IteratorUtils.java,org.apache.commons.collections4.IteratorUtils,566,7,1,replaced return value with null for org/apache/commons/collections4/IteratorUtils::chainedIterator,src/main/java/org/apache/commons/collections4/IteratorUtils.java
25,25-73d69dfe,NegateConditionalsMutator,NO_COVERAGE,IteratorUtils.java,org.apache.commons.collections4.IteratorUtils,653,4,0,negated conditional,src/main/java/org/apache/commons/collections4/IteratorUtils.java
25,25-73d69dfe,NullReturnValsMutator,NO_COVERAGE,IteratorUtils.java,org.apache.commons.collections4.IteratorUtils,654,20,4,replaced return value with null for org/apache/commons/collections4/IteratorUtils::collatedIterator,src/main/java/org/apache/commons/collections4/IteratorUtils.java
25,25-73d69dfe,NegateConditionalsMutator,KILLED,IteratorUtils.java,org.apache.commons.collections4.IteratorUtils,606,4,0,negated conditional,src/main/java/org/apache/commons/collections4/IteratorUtils.java
25,25-73d69dfe,NullReturnValsMutator,KILLED,IteratorUtils.java,org.apache.commons.collections4.IteratorUtils,607,21,4,replaced return value with null for org/apache/commons/collections4/IteratorUtils::collatedIterator,src/main/java/org/apache/commons/collections4/IteratorUtils.java
25,25-73d69dfe,NegateConditionalsMutator,NO_COVERAGE,IteratorUtils.java,org.apache.commons.collections4.IteratorUtils,629,4,0,negated conditional,src/main/java/org/apache/commons/collections4/IteratorUtils.java
25,25-73d69dfe,NullReturnValsMutator,NO_COVERAGE,IteratorUtils.java,org.apache.commons.collections4.IteratorUtils,630,20,4,replaced return value with null for org/apache/commons/collections4/IteratorUtils::collatedIterator,src/main/java/org/apache/commons/collections4/IteratorUtils.java
25,25-73d69dfe,BooleanFalseReturnValsMutator,NO_COVERAGE,IteratorUtils.java,org.apache.commons.collections4.IteratorUtils,1364,7,2,replaced boolean return with false for org/apache/commons/collections4/IteratorUtils::contains,src/main/java/org/apache/commons/collections4/IteratorUtils.java
25,25-73d69dfe,BooleanTrueReturnValsMutator,NO_COVERAGE,IteratorUtils.java,org.apache.commons.collections4.IteratorUtils,1364,7,2,replaced boolean return with true for org/apache/commons/collections4/IteratorUtils::contains,src/main/java/org/apache/commons/collections4/IteratorUtils.java
25,25-73d69dfe,NullReturnValsMutator,KILLED,IteratorUtils.java,org.apache.commons.collections4.IteratorUtils,158,4,1,replaced return value with null for org/apache/commons/collections4/IteratorUtils::emptyIterator,src/main/java/org/apache/commons/collections4/IteratorUtils.java
25,25-73d69dfe,NullReturnValsMutator,KILLED,IteratorUtils.java,org.apache.commons.collections4.IteratorUtils,174,4,1,replaced return value with null for org/apache/commons/collections4/IteratorUtils::emptyListIterator,src/main/java/org/apache/commons/collections4/IteratorUtils.java
25,25-73d69dfe,NullReturnValsMutator,KILLED,IteratorUtils.java,org.apache.commons.collections4.IteratorUtils,201,4,1,replaced return value with null for org/apache/commons/collections4/IteratorUtils::emptyMapIterator,src/main/java/org/apache/commons/collections4/IteratorUtils.java
25,25-73d69dfe,NullReturnValsMutator,KILLED,IteratorUtils.java,org.apache.commons.collections4.IteratorUtils,187,4,1,replaced return value with null for org/apache/commons/collections4/IteratorUtils::emptyOrderedIterator,src/main/java/org/apache/commons/collections4/IteratorUtils.java
25,25-73d69dfe,NullReturnValsMutator,KILLED,IteratorUtils.java,org.apache.commons.collections4.IteratorUtils,215,4,1,replaced return value with null for org/apache/commons/collections4/IteratorUtils::emptyOrderedMapIterator,src/main/java/org/apache/commons/collections4/IteratorUtils.java
25,25-73d69dfe,NegateConditionalsMutator,KILLED,IteratorUtils.java,org.apache.commons.collections4.IteratorUtils,761,4,0,negated conditional,src/main/java/org/apache/commons/collections4/IteratorUtils.java
25,25-73d69dfe,NegateConditionalsMutator,KILLED,IteratorUtils.java,org.apache.commons.collections4.IteratorUtils,764,16,3,negated conditional,src/main/java/org/apache/commons/collections4/IteratorUtils.java
25,25-73d69dfe,NullReturnValsMutator,KILLED,IteratorUtils.java,org.apache.commons.collections4.IteratorUtils,767,32,7,replaced return value with null for org/apache/commons/collections4/IteratorUtils::filteredIterator,src/main/java/org/apache/commons/collections4/IteratorUtils.java
25,25-73d69dfe,NegateConditionalsMutator,NO_COVERAGE,IteratorUtils.java,org.apache.commons.collections4.IteratorUtils,785,4,0,negated conditional,src/main/java/org/apache/commons/collections4/IteratorUtils.java
25,25-73d69dfe,NegateConditionalsMutator,NO_COVERAGE,IteratorUtils.java,org.apache.commons.collections4.IteratorUtils,788,16,3,negated conditional,src/main/java/org/apache/commons/collections4/IteratorUtils.java
25,25-73d69dfe,NullReturnValsMutator,NO_COVERAGE,IteratorUtils.java,org.apache.commons.collections4.IteratorUtils,791,32,7,replaced return value with null for org/apache/commons/collections4/IteratorUtils::filteredListIterator,src/main/java/org/apache/commons/collections4/IteratorUtils.java
25,25-73d69dfe,NegateConditionalsMutator,KILLED,IteratorUtils.java,org.apache.commons.collections4.IteratorUtils,1267,4,0,negated conditional,src/main/java/org/apache/commons/collections4/IteratorUtils.java
25,25-73d69dfe,NegateConditionalsMutator,KILLED,IteratorUtils.java,org.apache.commons.collections4.IteratorUtils,1271,16,3,negated conditional,src/main/java/org/apache/commons/collections4/IteratorUtils.java
25,25-73d69dfe,NegateConditionalsMutator,KILLED,IteratorUtils.java,org.apache.commons.collections4.IteratorUtils,1272,22,5,negated conditional,src/main/java/org/apache/commons/collections4/IteratorUtils.java
25,25-73d69dfe,NegateConditionalsMutator,KILLED,IteratorUtils.java,org.apache.commons.collections4.IteratorUtils,1274,33,8,negated conditional,src/main/java/org/apache/commons/collections4/IteratorUtils.java
25,25-73d69dfe,NullReturnValsMutator,KILLED,IteratorUtils.java,org.apache.commons.collections4.IteratorUtils,1275,37,9,replaced return value with null for org/apache/commons/collections4/IteratorUtils::find,src/main/java/org/apache/commons/collections4/IteratorUtils.java
25,25-73d69dfe,IncrementsMutator,KILLED,IteratorUtils.java,org.apache.commons.collections4.IteratorUtils,1386,17,3,Changed increment from -1 to 1,src/main/java/org/apache/commons/collections4/IteratorUtils.java
25,25-73d69dfe,NegateConditionalsMutator,KILLED,IteratorUtils.java,org.apache.commons.collections4.IteratorUtils,1385,14,2,negated conditional,src/main/java/org/apache/commons/collections4/IteratorUtils.java
25,25-73d69dfe,NegateConditionalsMutator,KILLED,IteratorUtils.java,org.apache.commons.collections4.IteratorUtils,1387,22,3,negated conditional,src/main/java/org/apache/commons/collections4/IteratorUtils.java
25,25-73d69dfe,VoidMethodCallMutator,SURVIVED,IteratorUtils.java,org.apache.commons.collections4.IteratorUtils,1384,8,0,removed call to org/apache/commons/collections4/CollectionUtils::checkIndexBounds,src/main/java/org/apache/commons/collections4/IteratorUtils.java
25,25-73d69dfe,NullReturnValsMutator,KILLED,IteratorUtils.java,org.apache.commons.collections4.IteratorUtils,1388,27,5,replaced return value with null for org/apache/commons/collections4/IteratorUtils::get,src/main/java/org/apache/commons/collections4/IteratorUtils.java
25,25-73d69dfe,NegateConditionalsMutator,NO_COVERAGE,IteratorUtils.java,org.apache.commons.collections4.IteratorUtils,1180,4,0,negated conditional,src/main/java/org/apache/commons/collections4/IteratorUtils.java
25,25-73d69dfe,NegateConditionalsMutator,NO_COVERAGE,IteratorUtils.java,org.apache.commons.collections4.IteratorUtils,1183,14,3,negated conditional,src/main/java/org/apache/commons/collections4/IteratorUtils.java
25,25-73d69dfe,NegateConditionalsMutator,NO_COVERAGE,IteratorUtils.java,org.apache.commons.collections4.IteratorUtils,1186,25,5,negated conditional,src/main/java/org/apache/commons/collections4/IteratorUtils.java
25,25-73d69dfe,NegateConditionalsMutator,NO_COVERAGE,IteratorUtils.java,org.apache.commons.collections4.IteratorUtils,1189,37,8,negated conditional,src/main/java/org/apache/commons/collections4/IteratorUtils.java
25,25-73d69dfe,NegateConditionalsMutator,NO_COVERAGE,IteratorUtils.java,org.apache.commons.collections4.IteratorUtils,1192,52,11,negated conditional,src/main/java/org/apache/commons/collections4/IteratorUtils.java
25,25-73d69dfe,NegateConditionalsMutator,NO_COVERAGE,IteratorUtils.java,org.apache.commons.collections4.IteratorUtils,1195,66,14,negated conditional,src/main/java/org/apache/commons/collections4/IteratorUtils.java
25,25-73d69dfe,NegateConditionalsMutator,NO_COVERAGE,IteratorUtils.java,org.apache.commons.collections4.IteratorUtils,1198,79,18,negated conditional,src/main/java/org/apache/commons/collections4/IteratorUtils.java
25,25-73d69dfe,NegateConditionalsMutator,NO_COVERAGE,IteratorUtils.java,org.apache.commons.collections4.IteratorUtils,1201,93,21,negated conditional,src/main/java/org/apache/commons/collections4/IteratorUtils.java
25,25-73d69dfe,NegateConditionalsMutator,NO_COVERAGE,IteratorUtils.java,org.apache.commons.collections4.IteratorUtils,1204,107,24,negated conditional,src/main/java/org/apache/commons/collections4/IteratorUtils.java
25,25-73d69dfe,NegateConditionalsMutator,NO_COVERAGE,IteratorUtils.java,org.apache.commons.collections4.IteratorUtils,1206,123,30,negated conditional,src/main/java/org/apache/commons/collections4/IteratorUtils.java
25,25-73d69dfe,NegateConditionalsMutator,NO_COVERAGE,IteratorUtils.java,org.apache.commons.collections4.IteratorUtils,1211,147,37,negated conditional,src/main/java/org/apache/commons/collections4/IteratorUtils.java
25,25-73d69dfe,NegateConditionalsMutator,NO_COVERAGE,IteratorUtils.java,org.apache.commons.collections4.IteratorUtils,1213,160,39,negated conditional,src/main/java/org/apache/commons/collections4/IteratorUtils.java
25,25-73d69dfe,NullReturnValsMutator,NO_COVERAGE,IteratorUtils.java,org.apache.commons.collections4.IteratorUtils,1181,8,2,replaced return value with null for org/apache/commons/collections4/IteratorUtils::getIterator,src/main/java/org/apache/commons/collections4/IteratorUtils.java
25,25-73d69dfe,NullReturnValsMutator,NO_COVERAGE,IteratorUtils.java,org.apache.commons.collections4.IteratorUtils,1184,19,4,replaced return value with null for org/apache/commons/collections4/IteratorUtils::getIterator,src/main/java/org/apache/commons/collections4/IteratorUtils.java
25,25-73d69dfe,NullReturnValsMutator,NO_COVERAGE,IteratorUtils.java,org.apache.commons.collections4.IteratorUtils,1187,31,7,replaced return value with null for org/apache/commons/collections4/IteratorUtils::getIterator,src/main/java/org/apache/commons/collections4/IteratorUtils.java
25,25-73d69dfe,NullReturnValsMutator,NO_COVERAGE,IteratorUtils.java,org.apache.commons.collections4.IteratorUtils,1190,46,10,replaced return value with null for org/apache/commons/collections4/IteratorUtils::getIterator,src/main/java/org/apache/commons/collections4/IteratorUtils.java
25,25-73d69dfe,NullReturnValsMutator,NO_COVERAGE,IteratorUtils.java,org.apache.commons.collections4.IteratorUtils,1193,60,13,replaced return value with null for org/apache/commons/collections4/IteratorUtils::getIterator,src/main/java/org/apache/commons/collections4/IteratorUtils.java
25,25-73d69dfe,NullReturnValsMutator,NO_COVERAGE,IteratorUtils.java,org.apache.commons.collections4.IteratorUtils,1196,73,17,replaced return value with null for org/apache/commons/collections4/IteratorUtils::getIterator,src/main/java/org/apache/commons/collections4/IteratorUtils.java
