bid,mutK,final_chg_state,sc_cnt,rc_cnt,nc_cnt
1,src.main.java.org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream-3,nc,0,0,0
1,src.main.java.org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream-25,nc,0,0,6
1,src.main.java.org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream-26,sc,37,1,12
1,src.main.java.org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream-27,nc,0,0,50
1,src.main.java.org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream-62,nc,0,0,50
1,src.main.java.org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream-63,nc,0,0,3
1,src.main.java.org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream-64,nc,0,0,6
1,src.main.java.org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream-65,nc,0,0,50
1,src.main.java.org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream-85,nc,0,0,50
1,src.main.java.org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream-86,nc,0,0,1
1,src.main.java.org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream-87,nc,0,0,50
1,src.main.java.org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream-88,nc,0,0,22
1,src.main.java.org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream-110,nc,0,0,50
1,src.main.java.org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream-113,nc,0,0,100
1,src.main.java.org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream-114,sc,76,0,24
1,src.main.java.org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream-115,nc,0,0,6
1,src.main.java.org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream-116,sc,38,0,12
1,src.main.java.org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream-117,nc,0,0,50
1,src.main.java.org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream-161,nc,0,0,50
1,src.main.java.org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream-181,nc,0,0,6
2,src.main.java.org.apache.commons.compress.archivers.ar.ArArchiveInputStream-13,nc,0,0,24
2,src.main.java.org.apache.commons.compress.archivers.ar.ArArchiveInputStream-26,nc,0,0,4
2,src.main.java.org.apache.commons.compress.archivers.ar.ArArchiveInputStream-27,nc,0,0,37
2,src.main.java.org.apache.commons.compress.archivers.ar.ArArchiveInputStream-28,nc,0,0,37
2,src.main.java.org.apache.commons.compress.archivers.ar.ArArchiveInputStream-64,nc,0,0,32
2,src.main.java.org.apache.commons.compress.archivers.ar.ArArchiveInputStream-93,sc,12,1,20
3,src.main.java.org.apache.commons.compress.archivers.tar.TarArchiveOutputStream-14,nc,0,0,0
