bid,mutK,status,mutOp,lno
1,src.main.java.org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream-116,non-latent,NEGATE_CONDITIONALS,304
1,src.main.java.org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream-85,non-latent,NEGATE_CONDITIONALS,154
1,src.main.java.org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream-27,non-latent,VOID_METHOD_CALLS,251
1,src.main.java.org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream-161,non-latent,CONDITIONALS_BOUNDARY,378
1,src.main.java.org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream-87,non-latent,VOID_METHOD_CALLS,150
1,src.main.java.org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream-65,non-latent,VOID_METHOD_CALLS,334
1,src.main.java.org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream-26,non-latent,NEGATE_CONDITIONALS,263
1,src.main.java.org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream-114,non-latent,MATH,299
1,src.main.java.org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream-117,non-latent,VOID_METHOD_CALLS,289
1,src.main.java.org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream-110,non-latent,CONDITIONALS_BOUNDARY,290
1,src.main.java.org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream-62,non-latent,VOID_METHOD_CALLS,321
1,src.main.java.org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream-113,non-latent,MATH,290
1,src.main.java.org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream-25,discard,MATH,263
1,src.main.java.org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream-3,discard,VOID_METHOD_CALLS,87
1,src.main.java.org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream-64,discard,VOID_METHOD_CALLS,332
1,src.main.java.org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream-115,discard,MATH,304
1,src.main.java.org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream-88,discard,VOID_METHOD_CALLS,155
1,src.main.java.org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream-181,discard,VOID_METHOD_CALLS,210
1,src.main.java.org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream-63,discard,VOID_METHOD_CALLS,330
1,src.main.java.org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream-86,discard,NEGATE_CONDITIONALS,160
2,src.main.java.org.apache.commons.compress.archivers.ar.ArArchiveInputStream-28,non-latent,NEGATE_CONDITIONALS,121
2,src.main.java.org.apache.commons.compress.archivers.ar.ArArchiveInputStream-27,non-latent,NEGATE_CONDITIONALS,82
2,src.main.java.org.apache.commons.compress.archivers.ar.ArArchiveInputStream-26,latent,MATH,63
2,src.main.java.org.apache.commons.compress.archivers.ar.ArArchiveInputStream-13,discard,VOID_METHOD_CALLS,143
2,src.main.java.org.apache.commons.compress.archivers.ar.ArArchiveInputStream-64,discard,CONDITIONALS_BOUNDARY,176
2,src.main.java.org.apache.commons.compress.archivers.ar.ArArchiveInputStream-93,discard,CONDITIONALS_BOUNDARY,169
3,src.main.java.org.apache.commons.compress.archivers.tar.TarArchiveOutputStream-57,non-latent,MATH,240
3,src.main.java.org.apache.commons.compress.archivers.tar.TarArchiveOutputStream-42,non-latent,CONDITIONALS_BOUNDARY,159
3,src.main.java.org.apache.commons.compress.archivers.tar.TarArchiveOutputStream-15,non-latent,VOID_METHOD_CALLS,130
3,src.main.java.org.apache.commons.compress.archivers.tar.TarArchiveOutputStream-61,latent,VOID_METHOD_CALLS,294
3,src.main.java.org.apache.commons.compress.archivers.tar.TarArchiveOutputStream-56,latent,CONDITIONALS_BOUNDARY,285
3,src.main.java.org.apache.commons.compress.archivers.tar.TarArchiveOutputStream-40,latent,VOID_METHOD_CALLS,117
3,src.main.java.org.apache.commons.compress.archivers.tar.TarArchiveOutputStream-39,latent,VOID_METHOD_CALLS,116
3,src.main.java.org.apache.commons.compress.archivers.tar.TarArchiveOutputStream-101,discard,VOID_METHOD_CALLS,313
3,src.main.java.org.apache.commons.compress.archivers.tar.TarArchiveOutputStream-14,discard,VOID_METHOD_CALLS,128
3,src.main.java.org.apache.commons.compress.archivers.tar.TarArchiveOutputStream-55,discard,CONDITIONALS_BOUNDARY,284
3,src.main.java.org.apache.commons.compress.archivers.tar.TarArchiveOutputStream-25,discard,NEGATE_CONDITIONALS,206
3,src.main.java.org.apache.commons.compress.archivers.tar.TarArchiveOutputStream-53,discard,CONDITIONALS_BOUNDARY,255
3,src.main.java.org.apache.commons.compress.archivers.tar.TarArchiveOutputStream-60,discard,NEGATE_CONDITIONALS,255
3,src.main.java.org.apache.commons.compress.archivers.tar.TarArchiveOutputStream-58,discard,MATH,256
3,src.main.java.org.apache.commons.compress.archivers.tar.TarArchiveOutputStream-59,discard,MATH,273
3,src.main.java.org.apache.commons.compress.archivers.tar.TarArchiveOutputStream-54,discard,CONDITIONALS_BOUNDARY,256
4,src.main.java.org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream-42,non-latent,VOID_METHOD_CALLS,312
4,src.main.java.org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream-72,non-latent,MATH,281
4,src.main.java.org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream-57,non-latent,VOID_METHOD_CALLS,146
4,src.main.java.org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream-43,non-latent,VOID_METHOD_CALLS,322
4,src.main.java.org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream-7,non-latent,VOID_METHOD_CALLS,336
4,src.main.java.org.apache.commons.compress.changes.ChangeSetPerformer-37,non-latent,VOID_METHOD_CALLS,78
4,src.main.java.org.apache.commons.compress.changes.ChangeSetPerformer-39,non-latent,VOID_METHOD_CALLS,96
4,src.main.java.org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream-44,non-latent,VOID_METHOD_CALLS,324
4,src.main.java.org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream-74,non-latent,NEGATE_CONDITIONALS,295
4,src.main.java.org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream-73,non-latent,MATH,290
4,src.main.java.org.apache.commons.compress.changes.ChangeSetPerformer-34,non-latent,NEGATE_CONDITIONALS,92
4,src.main.java.org.apache.commons.compress.changes.ChangeSetPerformer-35,non-latent,NEGATE_CONDITIONALS,120
4,src.main.java.org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream-75,non-latent,VOID_METHOD_CALLS,280
4,src.main.java.org.apache.commons.compress.changes.ChangeSetPerformer-38,non-latent,VOID_METHOD_CALLS,95
4,src.main.java.org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream-21,non-latent,VOID_METHOD_CALLS,246
4,src.main.java.org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream-52,non-latent,CONDITIONALS_BOUNDARY,342
4,src.main.java.org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream-105,non-latent,CONDITIONALS_BOUNDARY,366
4,src.main.java.org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream-20,latent,NEGATE_CONDITIONALS,254
4,src.main.java.org.apache.commons.compress.archivers.tar.TarArchiveOutputStream-55,latent,CONDITIONALS_BOUNDARY,282
4,src.main.java.org.apache.commons.compress.archivers.tar.TarArchiveOutputStream-56,latent,MATH,237
4,src.main.java.org.apache.commons.compress.archivers.zip.ZipArchiveOutputStream-110,latent,VOID_METHOD_CALLS,405
