bid,k,mutOp,status,sourceFile,mutatedClass,lineNumber,index,block,description,full_sourceFile
1,1-004124ac,VoidMethodCallMutator,SURVIVED,CpioArchiveOutputStream.java,org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream,87,39,3,removed call to org/apache/commons/compress/archivers/cpio/CpioArchiveOutputStream::setFormat,src/main/java/org/apache/commons/compress/archivers/cpio/CpioArchiveOutputStream.java
1,1-004124ac,NegateConditionalsMutator,KILLED,CpioArchiveOutputStream.java,org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream,345,5,0,negated conditional,src/main/java/org/apache/commons/compress/archivers/cpio/CpioArchiveOutputStream.java
1,1-004124ac,VoidMethodCallMutator,KILLED,CpioArchiveOutputStream.java,org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream,346,9,1,removed call to org/apache/commons/compress/archivers/cpio/CpioArchiveOutputStream::finish,src/main/java/org/apache/commons/compress/archivers/cpio/CpioArchiveOutputStream.java
1,1-004124ac,VoidMethodCallMutator,SURVIVED,CpioArchiveOutputStream.java,org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream,347,13,2,removed call to org/apache/commons/compress/archivers/ArchiveOutputStream::close,src/main/java/org/apache/commons/compress/archivers/cpio/CpioArchiveOutputStream.java
1,1-004124ac,MathMutator,KILLED,CpioArchiveOutputStream.java,org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream,258,45,14,Replaced bitwise OR with AND,src/main/java/org/apache/commons/compress/archivers/cpio/CpioArchiveOutputStream.java
1,1-004124ac,MathMutator,NO_COVERAGE,CpioArchiveOutputStream.java,org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream,260,63,19,Replaced bitwise OR with AND,src/main/java/org/apache/commons/compress/archivers/cpio/CpioArchiveOutputStream.java
1,1-004124ac,MathMutator,SURVIVED,CpioArchiveOutputStream.java,org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream,263,80,23,Replaced bitwise OR with AND,src/main/java/org/apache/commons/compress/archivers/cpio/CpioArchiveOutputStream.java
1,1-004124ac,NegateConditionalsMutator,KILLED,CpioArchiveOutputStream.java,org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream,253,13,2,negated conditional,src/main/java/org/apache/commons/compress/archivers/cpio/CpioArchiveOutputStream.java
1,1-004124ac,NegateConditionalsMutator,KILLED,CpioArchiveOutputStream.java,org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream,258,47,14,negated conditional,src/main/java/org/apache/commons/compress/archivers/cpio/CpioArchiveOutputStream.java
1,1-004124ac,NegateConditionalsMutator,NO_COVERAGE,CpioArchiveOutputStream.java,org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream,260,65,19,negated conditional,src/main/java/org/apache/commons/compress/archivers/cpio/CpioArchiveOutputStream.java
1,1-004124ac,NegateConditionalsMutator,SURVIVED,CpioArchiveOutputStream.java,org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream,263,82,23,negated conditional,src/main/java/org/apache/commons/compress/archivers/cpio/CpioArchiveOutputStream.java
1,1-004124ac,NegateConditionalsMutator,NO_COVERAGE,CpioArchiveOutputStream.java,org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream,264,91,25,negated conditional,src/main/java/org/apache/commons/compress/archivers/cpio/CpioArchiveOutputStream.java
1,1-004124ac,VoidMethodCallMutator,SURVIVED,CpioArchiveOutputStream.java,org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream,251,4,0,removed call to org/apache/commons/compress/archivers/cpio/CpioArchiveOutputStream::ensureOpen,src/main/java/org/apache/commons/compress/archivers/cpio/CpioArchiveOutputStream.java
1,1-004124ac,VoidMethodCallMutator,KILLED,CpioArchiveOutputStream.java,org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream,259,55,16,removed call to org/apache/commons/compress/archivers/cpio/CpioArchiveOutputStream::pad,src/main/java/org/apache/commons/compress/archivers/cpio/CpioArchiveOutputStream.java
