bid,k,all,killed,timed_out,no_covg,non_viable,memory_error,run_error,survived,MathMutator,ConditionalsBoundaryMutator,IncrementsMutator,InvertNegsMutator,NegateConditionalsMutator,VoidMethodCallMutator,PrimitiveReturnsMutator,EmptyObjectReturnValsMutator,BooleanFalseReturnValsMutator,BooleanTrueReturnValsMutator,NullReturnValsMutator
39,39-11840dfd,67,51,0,10,0,0,0,6,4,11,6,0,21,0,0,4,9,11,1
27,27-1ea7e01e,198,159,0,2,0,0,0,37,65,31,17,2,53,9,15,4,0,2,0
15,15-4becc328,117,86,0,16,0,0,0,15,6,2,0,0,53,30,7,1,2,5,11
26,26-557800a5,35,26,0,0,0,0,0,9,8,7,0,0,12,2,5,0,0,0,1
32,32-3c4a09bf,149,111,5,24,0,0,0,9,19,9,3,0,64,30,6,1,4,7,6
33,33-b72b5c71,74,60,1,5,0,0,0,8,0,1,0,0,39,5,4,0,1,2,22
7,7-2d858d5c,77,70,0,0,0,0,0,7,28,10,10,0,19,3,6,1,0,0,0
11,11-a933173f,49,46,0,1,0,0,0,2,0,1,0,0,24,6,0,0,0,0,18
6,6-5066e9ae,88,61,0,14,0,0,0,13,6,3,0,0,30,27,6,1,3,5,7
29,29-d50feb67,1128,646,35,204,0,0,0,243,165,96,19,0,428,284,38,6,13,27,52
35,35-7250daa4,184,157,0,2,0,0,0,25,62,26,16,2,48,9,15,4,0,2,0
42,42-c59fc43c,150,116,0,21,0,0,0,13,12,2,0,0,62,35,10,1,2,6,20
24,24-8da37729,199,160,0,2,0,0,0,37,65,31,17,2,54,9,15,4,0,2,0
1,1-004124ac,129,58,1,48,0,0,0,22,20,8,2,0,26,73,0,0,0,0,0
44,44-6f379134,15,14,0,0,0,0,0,1,0,3,0,0,5,2,5,0,0,0,0
18,18-09b8f6d7,131,84,1,11,0,0,0,35,22,17,1,0,42,44,3,1,0,0,1
19,19-e860d2f3,78,69,0,1,0,0,0,8,10,5,16,0,30,6,1,0,0,0,10
41,41-f0153448,298,158,15,71,0,0,0,54,45,31,11,0,121,61,16,0,2,9,2
22,22-71e4eead,430,326,8,48,0,0,0,48,134,65,47,0,126,20,29,0,2,7,0
16,16-9bdacbfb,50,47,0,1,0,0,0,2,0,1,0,0,25,6,0,0,0,0,18
38,38-823cdee9,201,107,0,70,0,0,0,24,12,16,26,0,72,13,15,5,12,24,6
20,20-040e42d0,163,72,7,35,0,0,0,49,17,15,1,0,57,46,9,1,5,7,5
45,45-02735ad7,189,168,0,2,0,0,0,19,63,28,16,2,50,9,15,4,0,2,0
14,14-40f2e638,122,109,0,0,0,0,0,13,44,16,15,0,31,3,10,2,0,1,0
23,23-cbb5a1ad,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
30,30-5cf68bdc,431,328,8,47,0,0,0,48,134,65,47,0,127,20,29,0,2,7,0
13,13-c75c10fa,123,88,0,19,0,0,0,16,6,4,0,0,55,30,7,1,2,7,11
21,21-5c2d32b3,267,226,0,3,0,0,0,38,20,22,13,0,53,156,0,0,0,0,3
10,10-34766064,149,79,0,41,0,0,0,29,14,7,14,0,42,59,0,2,3,3,5
43,43-d75b8985,393,244,0,32,0,0,0,117,33,26,1,1,149,156,4,1,2,10,10
8,8-35e4e4fb,94,83,0,0,0,0,0,11,32,13,14,0,24,3,6,2,0,0,0
31,31-f8bf4544,198,168,0,2,0,0,0,28,65,31,17,2,53,9,15,4,0,2,0
5,5-dc3fc470,128,85,8,4,0,0,0,31,18,14,10,0,48,24,8,0,1,3,2
12,12-bc84d208,137,72,4,33,0,0,0,28,28,14,2,0,54,19,6,1,4,5,4
9,9-fdac1475,71,35,0,18,0,0,0,18,14,10,0,0,21,22,3,0,0,0,1
47,47-c66db899,315,176,15,72,0,0,0,52,45,31,11,0,133,65,16,0,2,10,2
25,25-aed56110,291,150,14,71,0,0,0,56,44,31,11,0,117,60,16,0,2,8,2
28,28-ddb5fd6d,149,90,4,25,0,0,0,30,22,8,3,0,63,30,6,1,4,6,6
4,4-6273f3a6,419,207,4,116,0,0,0,92,66,25,3,0,123,192,1,1,2,2,4
37,37-19a620c9,169,122,6,27,0,0,0,14,19,9,3,0,78,35,6,1,4,8,6
40,40-52dd5908,46,41,0,1,0,0,0,4,24,7,0,0,11,1,3,0,0,0,0
36,36-d0501577,340,278,1,19,0,0,0,42,50,41,28,0,139,58,8,1,1,2,12
17,17-ab456436,205,165,0,2,0,0,0,38,67,32,18,2,56,9,15,4,0,2,0
3,3-d170f34f,62,29,0,17,0,0,0,16,14,10,0,0,15,21,1,0,0,0,1
2,2-d09177b9,59,35,2,14,0,0,0,8,6,8,0,0,28,1,4,0,1,9,2
