bid,mutK,final_chg_state,sc_cnt,rc_cnt,nc_cnt
3,src.main.java.org.apache.commons.csv.Lexer-30,nc,0,0,8
4,src.main.java.org.apache.commons.csv.CSVParser-0,nc,0,0,19
4,src.main.java.org.apache.commons.csv.CSVParser-7,nc,0,0,62
4,src.main.java.org.apache.commons.csv.CSVParser-8,nc,0,0,4
4,src.main.java.org.apache.commons.csv.CSVParser-9,nc,0,0,62
5,src.main.java.org.apache.commons.csv.CSVPrinter-0,nc,0,0,3
5,src.main.java.org.apache.commons.csv.CSVPrinter-4,nc,0,0,26
5,src.main.java.org.apache.commons.csv.CSVPrinter-11,nc,0,0,29
5,src.main.java.org.apache.commons.csv.CSVPrinter-21,nc,0,0,24
5,src.main.java.org.apache.commons.csv.CSVPrinter-22,nc,0,0,24
5,src.main.java.org.apache.commons.csv.CSVPrinter-29,sc,2,0,22
5,src.main.java.org.apache.commons.csv.CSVPrinter-30,sc,2,0,22
5,src.main.java.org.apache.commons.csv.CSVPrinter-31,sc,2,0,22
5,src.main.java.org.apache.commons.csv.CSVPrinter-32,sc,2,0,22
5,src.main.java.org.apache.commons.csv.CSVPrinter-33,nc,0,0,24
7,src.main.java.org.apache.commons.csv.CSVParser-0,nc,0,0,8
7,src.main.java.org.apache.commons.csv.CSVParser-8,nc,0,0,51
7,src.main.java.org.apache.commons.csv.CSVParser-9,nc,0,0,51
8,src.main.java.org.apache.commons.csv.CSVFormat-36,nc,0,0,88
8,src.main.java.org.apache.commons.csv.CSVFormat-37,nc,0,0,88
8,src.main.java.org.apache.commons.csv.CSVFormat-38,sc,49,0,39
8,src.main.java.org.apache.commons.csv.CSVFormat-39,sc,49,0,39
8,src.main.java.org.apache.commons.csv.CSVFormat-40,sc,48,0,40
8,src.main.java.org.apache.commons.csv.CSVFormat-41,sc,48,0,40
8,src.main.java.org.apache.commons.csv.CSVFormat-42,sc,48,0,40
8,src.main.java.org.apache.commons.csv.CSVFormat-43,sc,48,0,40
8,src.main.java.org.apache.commons.csv.CSVFormat-44,sc,48,0,40
8,src.main.java.org.apache.commons.csv.CSVFormat-45,sc,48,0,40
8,src.main.java.org.apache.commons.csv.CSVFormat-46,nc,0,0,88
8,src.main.java.org.apache.commons.csv.CSVFormat-47,nc,0,0,88
8,src.main.java.org.apache.commons.csv.CSVFormat-48,nc,0,0,88
8,src.main.java.org.apache.commons.csv.CSVFormat-49,nc,0,0,88
8,src.main.java.org.apache.commons.csv.CSVFormat-50,nc,0,0,88
8,src.main.java.org.apache.commons.csv.CSVFormat-51,nc,0,0,88
8,src.main.java.org.apache.commons.csv.CSVFormat-52,nc,0,0,88
8,src.main.java.org.apache.commons.csv.CSVFormat-53,nc,0,0,88
8,src.main.java.org.apache.commons.csv.CSVFormat-54,nc,0,0,88
8,src.main.java.org.apache.commons.csv.CSVFormat-55,nc,0,0,88
8,src.main.java.org.apache.commons.csv.CSVFormat-56,nc,0,0,88
8,src.main.java.org.apache.commons.csv.CSVFormat-57,nc,0,0,88
8,src.main.java.org.apache.commons.csv.CSVFormat-58,sc,48,0,40
8,src.main.java.org.apache.commons.csv.CSVFormat-62,nc,0,0,88
8,src.main.java.org.apache.commons.csv.CSVFormat-63,nc,0,0,88
10,src.main.java.org.apache.commons.csv.CSVPrinter-0,nc,0,0,0
10,src.main.java.org.apache.commons.csv.CSVPrinter-3,nc,0,0,23
10,src.main.java.org.apache.commons.csv.CSVPrinter-7,nc,0,0,26
10,src.main.java.org.apache.commons.csv.CSVPrinter-17,nc,0,0,21
10,src.main.java.org.apache.commons.csv.CSVPrinter-18,nc,0,0,21
10,src.main.java.org.apache.commons.csv.CSVPrinter-25,sc,2,0,19
10,src.main.java.org.apache.commons.csv.CSVPrinter-26,sc,2,0,19
10,src.main.java.org.apache.commons.csv.CSVPrinter-27,sc,4,0,38
10,src.main.java.org.apache.commons.csv.CSVPrinter-28,sc,2,0,19
10,src.main.java.org.apache.commons.csv.CSVPrinter-29,nc,0,0,21
11,src.main.java.org.apache.commons.csv.CSVParser-21,nc,0,0,41
11,src.main.java.org.apache.commons.csv.CSVParser-22,nc,0,0,39
11,src.main.java.org.apache.commons.csv.CSVParser-23,nc,0,0,41
12,src.main.java.org.apache.commons.csv.CSVFormat-36,nc,0,0,63
12,src.main.java.org.apache.commons.csv.CSVFormat-37,nc,0,0,63
12,src.main.java.org.apache.commons.csv.CSVFormat-38,nc,0,0,63
12,src.main.java.org.apache.commons.csv.CSVFormat-39,nc,0,0,63
12,src.main.java.org.apache.commons.csv.CSVFormat-40,nc,0,0,63
12,src.main.java.org.apache.commons.csv.CSVFormat-41,nc,0,0,63
12,src.main.java.org.apache.commons.csv.CSVFormat-42,nc,0,0,63
12,src.main.java.org.apache.commons.csv.CSVFormat-43,nc,0,0,63
12,src.main.java.org.apache.commons.csv.CSVFormat-44,nc,0,0,63
12,src.main.java.org.apache.commons.csv.CSVFormat-45,nc,0,0,63
12,src.main.java.org.apache.commons.csv.CSVFormat-46,nc,0,0,63
12,src.main.java.org.apache.commons.csv.CSVFormat-47,nc,0,0,63
12,src.main.java.org.apache.commons.csv.CSVFormat-48,nc,0,0,63
12,src.main.java.org.apache.commons.csv.CSVFormat-49,nc,0,0,63
12,src.main.java.org.apache.commons.csv.CSVFormat-50,nc,0,0,63
12,src.main.java.org.apache.commons.csv.CSVFormat-51,nc,0,0,63
12,src.main.java.org.apache.commons.csv.CSVFormat-52,nc,0,0,63
12,src.main.java.org.apache.commons.csv.CSVFormat-53,nc,0,0,63
12,src.main.java.org.apache.commons.csv.CSVFormat-54,nc,0,0,63
12,src.main.java.org.apache.commons.csv.CSVFormat-55,nc,0,0,63
12,src.main.java.org.apache.commons.csv.CSVFormat-56,nc,0,0,63
12,src.main.java.org.apache.commons.csv.CSVFormat-57,nc,0,0,63
12,src.main.java.org.apache.commons.csv.CSVFormat-58,nc,0,0,63
12,src.main.java.org.apache.commons.csv.CSVFormat-62,nc,0,0,63
12,src.main.java.org.apache.commons.csv.CSVFormat-63,nc,0,0,63
14,src.main.java.org.apache.commons.csv.CSVFormat-35,nc,0,0,46
14,src.main.java.org.apache.commons.csv.CSVFormat-36,nc,0,0,46
14,src.main.java.org.apache.commons.csv.CSVFormat-37,nc,0,0,46
14,src.main.java.org.apache.commons.csv.CSVFormat-38,nc,0,0,46
14,src.main.java.org.apache.commons.csv.CSVFormat-39,nc,0,0,46
14,src.main.java.org.apache.commons.csv.CSVFormat-40,nc,0,0,46
14,src.main.java.org.apache.commons.csv.CSVFormat-41,nc,0,0,46
14,src.main.java.org.apache.commons.csv.CSVFormat-42,nc,0,0,46
14,src.main.java.org.apache.commons.csv.CSVFormat-43,nc,0,0,46
14,src.main.java.org.apache.commons.csv.CSVFormat-44,nc,0,0,46
14,src.main.java.org.apache.commons.csv.CSVFormat-45,nc,0,0,46
14,src.main.java.org.apache.commons.csv.CSVFormat-46,nc,0,0,46
14,src.main.java.org.apache.commons.csv.CSVFormat-47,nc,0,0,46
14,src.main.java.org.apache.commons.csv.CSVFormat-48,nc,0,0,46
14,src.main.java.org.apache.commons.csv.CSVFormat-49,nc,0,0,46
14,src.main.java.org.apache.commons.csv.CSVFormat-50,nc,0,0,46
14,src.main.java.org.apache.commons.csv.CSVFormat-51,nc,0,0,46
14,src.main.java.org.apache.commons.csv.CSVFormat-52,nc,0,0,46
14,src.main.java.org.apache.commons.csv.CSVFormat-53,nc,0,0,46
14,src.main.java.org.apache.commons.csv.CSVFormat-54,nc,0,0,46
14,src.main.java.org.apache.commons.csv.CSVFormat-55,nc,0,0,46
14,src.main.java.org.apache.commons.csv.CSVFormat-56,nc,0,0,46
14,src.main.java.org.apache.commons.csv.CSVFormat-57,nc,0,0,46
14,src.main.java.org.apache.commons.csv.CSVFormat-58,nc,0,0,46
14,src.main.java.org.apache.commons.csv.CSVFormat-59,nc,0,0,23
14,src.main.java.org.apache.commons.csv.CSVFormat-64,nc,0,0,23
14,src.main.java.org.apache.commons.csv.CSVFormat-65,nc,0,0,23
14,src.main.java.org.apache.commons.csv.CSVFormat-368,nc,0,0,23
14,src.main.java.org.apache.commons.csv.CSVFormat-369,nc,0,0,23
14,src.main.java.org.apache.commons.csv.CSVFormat-376,nc,0,0,12
14,src.main.java.org.apache.commons.csv.CSVFormat-377,nc,0,0,24
14,src.main.java.org.apache.commons.csv.CSVFormat-378,nc,0,0,12
14,src.main.java.org.apache.commons.csv.CSVFormat-379,nc,0,0,24
14,src.main.java.org.apache.commons.csv.CSVFormat-380,nc,0,0,24
14,src.main.java.org.apache.commons.csv.CSVFormat-381,nc,0,0,12
14,src.main.java.org.apache.commons.csv.CSVFormat-382,sc,6,0,14
15,src.main.java.org.apache.commons.csv.CSVFormat-36,nc,0,0,20
15,src.main.java.org.apache.commons.csv.CSVFormat-37,nc,0,0,20
15,src.main.java.org.apache.commons.csv.CSVFormat-38,nc,0,0,20
15,src.main.java.org.apache.commons.csv.CSVFormat-39,nc,0,0,20
15,src.main.java.org.apache.commons.csv.CSVFormat-40,nc,0,0,20
15,src.main.java.org.apache.commons.csv.CSVFormat-41,nc,0,0,20
15,src.main.java.org.apache.commons.csv.CSVFormat-42,nc,0,0,20
15,src.main.java.org.apache.commons.csv.CSVFormat-43,nc,0,0,20
15,src.main.java.org.apache.commons.csv.CSVFormat-44,nc,0,0,20
15,src.main.java.org.apache.commons.csv.CSVFormat-45,nc,0,0,20
15,src.main.java.org.apache.commons.csv.CSVFormat-46,nc,0,0,20
15,src.main.java.org.apache.commons.csv.CSVFormat-47,nc,0,0,20
15,src.main.java.org.apache.commons.csv.CSVFormat-48,nc,0,0,20
15,src.main.java.org.apache.commons.csv.CSVFormat-49,nc,0,0,20
15,src.main.java.org.apache.commons.csv.CSVFormat-50,nc,0,0,20
15,src.main.java.org.apache.commons.csv.CSVFormat-51,nc,0,0,20
15,src.main.java.org.apache.commons.csv.CSVFormat-52,nc,0,0,20
15,src.main.java.org.apache.commons.csv.CSVFormat-53,nc,0,0,20
15,src.main.java.org.apache.commons.csv.CSVFormat-54,nc,0,0,20
15,src.main.java.org.apache.commons.csv.CSVFormat-55,nc,0,0,20
15,src.main.java.org.apache.commons.csv.CSVFormat-56,nc,0,0,20
15,src.main.java.org.apache.commons.csv.CSVFormat-57,nc,0,0,20
15,src.main.java.org.apache.commons.csv.CSVFormat-58,nc,0,0,20
15,src.main.java.org.apache.commons.csv.CSVFormat-59,nc,0,0,20
15,src.main.java.org.apache.commons.csv.CSVFormat-60,nc,0,0,10
15,src.main.java.org.apache.commons.csv.CSVFormat-65,nc,0,0,10
15,src.main.java.org.apache.commons.csv.CSVFormat-66,nc,0,0,10
15,src.main.java.org.apache.commons.csv.CSVFormat-377,nc,0,0,10
15,src.main.java.org.apache.commons.csv.CSVFormat-378,nc,0,0,10
15,src.main.java.org.apache.commons.csv.CSVFormat-385,nc,0,0,7
16,src.main.java.org.apache.commons.csv.CSVParser-42,nc,0,0,3
