bid,mutK,status,mutOp,lno
3,src.main.java.org.apache.commons.csv.Lexer-30,non-latent,CONDITIONALS_BOUNDARY,121
4,src.main.java.org.apache.commons.csv.CSVParser-9,non-latent,VOID_METHOD_CALLS,198
4,src.main.java.org.apache.commons.csv.CSVParser-7,non-latent,VOID_METHOD_CALLS,170
4,src.main.java.org.apache.commons.csv.CSVParser-8,discard,NEGATE_CONDITIONALS,200
4,src.main.java.org.apache.commons.csv.CSVParser-0,discard,VOID_METHOD_CALLS,241
5,src.main.java.org.apache.commons.csv.CSVPrinter-11,latent,VOID_METHOD_CALLS,85
5,src.main.java.org.apache.commons.csv.CSVPrinter-4,latent,VOID_METHOD_CALLS,73
5,src.main.java.org.apache.commons.csv.CSVPrinter-29,discard,CONDITIONALS_BOUNDARY,206
5,src.main.java.org.apache.commons.csv.CSVPrinter-21,discard,CONDITIONALS_BOUNDARY,140
5,src.main.java.org.apache.commons.csv.CSVPrinter-0,discard,VOID_METHOD_CALLS,64
5,src.main.java.org.apache.commons.csv.CSVPrinter-33,discard,CONDITIONALS_BOUNDARY,209
5,src.main.java.org.apache.commons.csv.CSVPrinter-30,discard,CONDITIONALS_BOUNDARY,206
5,src.main.java.org.apache.commons.csv.CSVPrinter-22,discard,CONDITIONALS_BOUNDARY,159
5,src.main.java.org.apache.commons.csv.CSVPrinter-31,discard,CONDITIONALS_BOUNDARY,206
5,src.main.java.org.apache.commons.csv.CSVPrinter-32,discard,CONDITIONALS_BOUNDARY,206
7,src.main.java.org.apache.commons.csv.CSVParser-8,non-latent,VOID_METHOD_CALLS,170
7,src.main.java.org.apache.commons.csv.CSVParser-9,non-latent,VOID_METHOD_CALLS,198
7,src.main.java.org.apache.commons.csv.CSVParser-0,discard,VOID_METHOD_CALLS,240
8,src.main.java.org.apache.commons.csv.CSVFormat-53,non-latent,MATH,537
8,src.main.java.org.apache.commons.csv.CSVFormat-58,non-latent,NEGATE_CONDITIONALS,531
8,src.main.java.org.apache.commons.csv.CSVFormat-54,non-latent,MATH,538
8,src.main.java.org.apache.commons.csv.CSVFormat-48,non-latent,MATH,535
8,src.main.java.org.apache.commons.csv.CSVFormat-39,non-latent,MATH,530
8,src.main.java.org.apache.commons.csv.CSVFormat-37,non-latent,MATH,529
8,src.main.java.org.apache.commons.csv.CSVFormat-49,non-latent,MATH,535
8,src.main.java.org.apache.commons.csv.CSVFormat-46,non-latent,MATH,534
8,src.main.java.org.apache.commons.csv.CSVFormat-63,non-latent,PRIMITIVE_RETURNS,540
8,src.main.java.org.apache.commons.csv.CSVFormat-36,non-latent,MATH,529
8,src.main.java.org.apache.commons.csv.CSVFormat-51,non-latent,MATH,536
8,src.main.java.org.apache.commons.csv.CSVFormat-52,non-latent,MATH,537
8,src.main.java.org.apache.commons.csv.CSVFormat-56,non-latent,MATH,539
8,src.main.java.org.apache.commons.csv.CSVFormat-50,non-latent,MATH,536
8,src.main.java.org.apache.commons.csv.CSVFormat-57,non-latent,MATH,539
8,src.main.java.org.apache.commons.csv.CSVFormat-55,non-latent,MATH,538
8,src.main.java.org.apache.commons.csv.CSVFormat-41,non-latent,MATH,531
8,src.main.java.org.apache.commons.csv.CSVFormat-47,non-latent,MATH,534
8,src.main.java.org.apache.commons.csv.CSVFormat-45,non-latent,MATH,533
8,src.main.java.org.apache.commons.csv.CSVFormat-40,non-latent,MATH,531
8,src.main.java.org.apache.commons.csv.CSVFormat-62,non-latent,NEGATE_CONDITIONALS,538
8,src.main.java.org.apache.commons.csv.CSVFormat-38,non-latent,MATH,530
8,src.main.java.org.apache.commons.csv.CSVFormat-44,non-latent,MATH,533
8,src.main.java.org.apache.commons.csv.CSVFormat-43,non-latent,MATH,532
8,src.main.java.org.apache.commons.csv.CSVFormat-42,non-latent,MATH,532
10,src.main.java.org.apache.commons.csv.CSVPrinter-7,latent,VOID_METHOD_CALLS,93
10,src.main.java.org.apache.commons.csv.CSVPrinter-3,latent,VOID_METHOD_CALLS,81
10,src.main.java.org.apache.commons.csv.CSVPrinter-29,discard,CONDITIONALS_BOUNDARY,217
10,src.main.java.org.apache.commons.csv.CSVPrinter-28,discard,CONDITIONALS_BOUNDARY,214
10,src.main.java.org.apache.commons.csv.CSVPrinter-27,discard,CONDITIONALS_BOUNDARY,214
10,src.main.java.org.apache.commons.csv.CSVPrinter-0,discard,VOID_METHOD_CALLS,67
10,src.main.java.org.apache.commons.csv.CSVPrinter-26,discard,CONDITIONALS_BOUNDARY,214
10,src.main.java.org.apache.commons.csv.CSVPrinter-25,discard,CONDITIONALS_BOUNDARY,214
10,src.main.java.org.apache.commons.csv.CSVPrinter-18,discard,CONDITIONALS_BOUNDARY,167
10,src.main.java.org.apache.commons.csv.CSVPrinter-17,discard,CONDITIONALS_BOUNDARY,148
11,src.main.java.org.apache.commons.csv.CSVParser-21,non-latent,VOID_METHOD_CALLS,178
11,src.main.java.org.apache.commons.csv.CSVParser-23,non-latent,VOID_METHOD_CALLS,206
11,src.main.java.org.apache.commons.csv.CSVParser-22,latent,VOID_METHOD_CALLS,204
12,src.main.java.org.apache.commons.csv.CSVFormat-53,non-latent,MATH,595
12,src.main.java.org.apache.commons.csv.CSVFormat-58,non-latent,NEGATE_CONDITIONALS,589
12,src.main.java.org.apache.commons.csv.CSVFormat-54,non-latent,MATH,596
12,src.main.java.org.apache.commons.csv.CSVFormat-48,non-latent,MATH,593
12,src.main.java.org.apache.commons.csv.CSVFormat-39,non-latent,MATH,588
12,src.main.java.org.apache.commons.csv.CSVFormat-37,non-latent,MATH,587
12,src.main.java.org.apache.commons.csv.CSVFormat-49,non-latent,MATH,593
12,src.main.java.org.apache.commons.csv.CSVFormat-46,non-latent,MATH,592
12,src.main.java.org.apache.commons.csv.CSVFormat-63,non-latent,PRIMITIVE_RETURNS,598
12,src.main.java.org.apache.commons.csv.CSVFormat-36,non-latent,MATH,587
12,src.main.java.org.apache.commons.csv.CSVFormat-51,non-latent,MATH,594
12,src.main.java.org.apache.commons.csv.CSVFormat-52,non-latent,MATH,595
12,src.main.java.org.apache.commons.csv.CSVFormat-56,non-latent,MATH,597
12,src.main.java.org.apache.commons.csv.CSVFormat-50,non-latent,MATH,594
12,src.main.java.org.apache.commons.csv.CSVFormat-57,non-latent,MATH,597
12,src.main.java.org.apache.commons.csv.CSVFormat-55,non-latent,MATH,596
12,src.main.java.org.apache.commons.csv.CSVFormat-41,non-latent,MATH,589
12,src.main.java.org.apache.commons.csv.CSVFormat-47,non-latent,MATH,592
12,src.main.java.org.apache.commons.csv.CSVFormat-45,non-latent,MATH,591
12,src.main.java.org.apache.commons.csv.CSVFormat-40,non-latent,MATH,589
12,src.main.java.org.apache.commons.csv.CSVFormat-62,non-latent,NEGATE_CONDITIONALS,596
12,src.main.java.org.apache.commons.csv.CSVFormat-38,non-latent,MATH,588
12,src.main.java.org.apache.commons.csv.CSVFormat-44,non-latent,MATH,591
12,src.main.java.org.apache.commons.csv.CSVFormat-43,non-latent,MATH,590
12,src.main.java.org.apache.commons.csv.CSVFormat-42,non-latent,MATH,590
14,src.main.java.org.apache.commons.csv.CSVFormat-58,non-latent,MATH,795
14,src.main.java.org.apache.commons.csv.CSVFormat-59,non-latent,NEGATE_CONDITIONALS,786
14,src.main.java.org.apache.commons.csv.CSVFormat-39,non-latent,MATH,786
14,src.main.java.org.apache.commons.csv.CSVFormat-46,non-latent,MATH,789
14,src.main.java.org.apache.commons.csv.CSVFormat-52,non-latent,MATH,792
14,src.main.java.org.apache.commons.csv.CSVFormat-50,non-latent,MATH,791
14,src.main.java.org.apache.commons.csv.CSVFormat-65,non-latent,PRIMITIVE_RETURNS,796
14,src.main.java.org.apache.commons.csv.CSVFormat-369,non-latent,CONDITIONALS_BOUNDARY,992
14,src.main.java.org.apache.commons.csv.CSVFormat-64,non-latent,NEGATE_CONDITIONALS,794
14,src.main.java.org.apache.commons.csv.CSVFormat-35,non-latent,MATH,784
14,src.main.java.org.apache.commons.csv.CSVFormat-40,non-latent,MATH,786
14,src.main.java.org.apache.commons.csv.CSVFormat-45,non-latent,MATH,789
14,src.main.java.org.apache.commons.csv.CSVFormat-38,non-latent,MATH,785
14,src.main.java.org.apache.commons.csv.CSVFormat-44,non-latent,MATH,788
14,src.main.java.org.apache.commons.csv.CSVFormat-43,non-latent,MATH,788
14,src.main.java.org.apache.commons.csv.CSVFormat-42,non-latent,MATH,787
14,src.main.java.org.apache.commons.csv.CSVFormat-53,non-latent,MATH,793
14,src.main.java.org.apache.commons.csv.CSVFormat-54,non-latent,MATH,793
