bid,mutK,status,mutOp,lno,debt_time,debt_nc
3,src.main.java.org.apache.commons.csv.Lexer-30,non-latent,CONDITIONALS_BOUNDARY,121,2172.969398148148,703.0
4,src.main.java.org.apache.commons.csv.CSVParser-9,non-latent,VOID_METHOD_CALLS,198,2034.394826388889,559.0
4,src.main.java.org.apache.commons.csv.CSVParser-7,non-latent,VOID_METHOD_CALLS,170,2034.394826388889,559.0
4,src.main.java.org.apache.commons.csv.CSVParser-8,discard,NEGATE_CONDITIONALS,200,180.1548726851852,30.0
4,src.main.java.org.apache.commons.csv.CSVParser-0,discard,VOID_METHOD_CALLS,241,274.10445601851853,95.0
5,src.main.java.org.apache.commons.csv.CSVPrinter-11,latent,VOID_METHOD_CALLS,85,1622.822974537037,485.0
5,src.main.java.org.apache.commons.csv.CSVPrinter-4,latent,VOID_METHOD_CALLS,73,1251.974826388889,434.0
5,src.main.java.org.apache.commons.csv.CSVPrinter-29,discard,CONDITIONALS_BOUNDARY,206,790.8700347222223,315.0
5,src.main.java.org.apache.commons.csv.CSVPrinter-21,discard,CONDITIONALS_BOUNDARY,140,790.8700347222223,315.0
5,src.main.java.org.apache.commons.csv.CSVPrinter-0,discard,VOID_METHOD_CALLS,64,98.71626157407408,75.0
5,src.main.java.org.apache.commons.csv.CSVPrinter-33,discard,CONDITIONALS_BOUNDARY,209,790.8700347222223,315.0
5,src.main.java.org.apache.commons.csv.CSVPrinter-30,discard,CONDITIONALS_BOUNDARY,206,790.8700347222223,315.0
5,src.main.java.org.apache.commons.csv.CSVPrinter-22,discard,CONDITIONALS_BOUNDARY,159,790.8700347222223,315.0
5,src.main.java.org.apache.commons.csv.CSVPrinter-31,discard,CONDITIONALS_BOUNDARY,206,790.8700347222223,315.0
5,src.main.java.org.apache.commons.csv.CSVPrinter-32,discard,CONDITIONALS_BOUNDARY,206,790.8700347222223,315.0
7,src.main.java.org.apache.commons.csv.CSVParser-8,non-latent,VOID_METHOD_CALLS,170,1806.3360648148148,509.0
7,src.main.java.org.apache.commons.csv.CSVParser-9,non-latent,VOID_METHOD_CALLS,198,1806.3360648148148,509.0
7,src.main.java.org.apache.commons.csv.CSVParser-0,discard,VOID_METHOD_CALLS,240,46.04569444444444,45.0
8,src.main.java.org.apache.commons.csv.CSVFormat-53,non-latent,MATH,537,1803.2909606481485,493.0
8,src.main.java.org.apache.commons.csv.CSVFormat-58,non-latent,NEGATE_CONDITIONALS,531,1803.2909606481485,493.0
8,src.main.java.org.apache.commons.csv.CSVFormat-54,non-latent,MATH,538,1803.2909606481485,493.0
8,src.main.java.org.apache.commons.csv.CSVFormat-48,non-latent,MATH,535,1803.2909606481485,493.0
8,src.main.java.org.apache.commons.csv.CSVFormat-39,non-latent,MATH,530,1803.2909606481485,493.0
8,src.main.java.org.apache.commons.csv.CSVFormat-37,non-latent,MATH,529,1803.2909606481485,493.0
8,src.main.java.org.apache.commons.csv.CSVFormat-49,non-latent,MATH,535,1803.2909606481485,493.0
8,src.main.java.org.apache.commons.csv.CSVFormat-46,non-latent,MATH,534,1803.2909606481485,493.0
8,src.main.java.org.apache.commons.csv.CSVFormat-63,non-latent,PRIMITIVE_RETURNS,540,1803.2909606481485,493.0
8,src.main.java.org.apache.commons.csv.CSVFormat-36,non-latent,MATH,529,1803.2909606481485,493.0
8,src.main.java.org.apache.commons.csv.CSVFormat-51,non-latent,MATH,536,1803.2909606481485,493.0
8,src.main.java.org.apache.commons.csv.CSVFormat-52,non-latent,MATH,537,1803.2909606481485,493.0
8,src.main.java.org.apache.commons.csv.CSVFormat-56,non-latent,MATH,539,1803.2909606481485,493.0
8,src.main.java.org.apache.commons.csv.CSVFormat-50,non-latent,MATH,536,1803.2909606481485,493.0
8,src.main.java.org.apache.commons.csv.CSVFormat-57,non-latent,MATH,539,1803.2909606481485,493.0
8,src.main.java.org.apache.commons.csv.CSVFormat-55,non-latent,MATH,538,1803.2909606481485,493.0
8,src.main.java.org.apache.commons.csv.CSVFormat-41,non-latent,MATH,531,1803.2909606481485,493.0
8,src.main.java.org.apache.commons.csv.CSVFormat-47,non-latent,MATH,534,1803.2909606481485,493.0
8,src.main.java.org.apache.commons.csv.CSVFormat-45,non-latent,MATH,533,1803.2909606481485,493.0
8,src.main.java.org.apache.commons.csv.CSVFormat-40,non-latent,MATH,531,1803.2909606481485,493.0
8,src.main.java.org.apache.commons.csv.CSVFormat-62,non-latent,NEGATE_CONDITIONALS,538,1803.2909606481485,493.0
8,src.main.java.org.apache.commons.csv.CSVFormat-38,non-latent,MATH,530,1803.2909606481485,493.0
8,src.main.java.org.apache.commons.csv.CSVFormat-44,non-latent,MATH,533,1803.2909606481485,493.0
8,src.main.java.org.apache.commons.csv.CSVFormat-43,non-latent,MATH,532,1803.2909606481485,493.0
8,src.main.java.org.apache.commons.csv.CSVFormat-42,non-latent,MATH,532,1803.2909606481485,493.0
