bid,k,mutOp,status,sourceFile,mutatedClass,lineNumber,index,block,description,full_sourceFile
2,2-a0d97593,NegateConditionalsMutator,KILLED,CSVRecord.java,org.apache.commons.csv.CSVRecord,51,14,1,negated conditional,src/main/java/org/apache/commons/csv/CSVRecord.java
2,2-a0d97593,EmptyObjectReturnValsMutator,KILLED,CSVRecord.java,org.apache.commons.csv.CSVRecord,64,7,0,"replaced return value with """" for org/apache/commons/csv/CSVRecord::get",src/main/java/org/apache/commons/csv/CSVRecord.java
2,2-a0d97593,NegateConditionalsMutator,KILLED,CSVRecord.java,org.apache.commons.csv.CSVRecord,80,5,0,negated conditional,src/main/java/org/apache/commons/csv/CSVRecord.java
2,2-a0d97593,NegateConditionalsMutator,KILLED,CSVRecord.java,org.apache.commons.csv.CSVRecord,86,24,4,negated conditional,src/main/java/org/apache/commons/csv/CSVRecord.java
2,2-a0d97593,EmptyObjectReturnValsMutator,KILLED,CSVRecord.java,org.apache.commons.csv.CSVRecord,86,34,8,"replaced return value with """" for org/apache/commons/csv/CSVRecord::get",src/main/java/org/apache/commons/csv/CSVRecord.java
2,2-a0d97593,EmptyObjectReturnValsMutator,KILLED,CSVRecord.java,org.apache.commons.csv.CSVRecord,148,5,0,"replaced return value with """" for org/apache/commons/csv/CSVRecord::getComment",src/main/java/org/apache/commons/csv/CSVRecord.java
2,2-a0d97593,PrimitiveReturnsMutator,KILLED,CSVRecord.java,org.apache.commons.csv.CSVRecord,157,5,0,replaced long return with 0 for org/apache/commons/csv/CSVRecord::getRecordNumber,src/main/java/org/apache/commons/csv/CSVRecord.java
2,2-a0d97593,NegateConditionalsMutator,KILLED,CSVRecord.java,org.apache.commons.csv.CSVRecord,103,5,0,negated conditional,src/main/java/org/apache/commons/csv/CSVRecord.java
2,2-a0d97593,NegateConditionalsMutator,KILLED,CSVRecord.java,org.apache.commons.csv.CSVRecord,103,15,3,negated conditional,src/main/java/org/apache/commons/csv/CSVRecord.java
2,2-a0d97593,BooleanTrueReturnValsMutator,KILLED,CSVRecord.java,org.apache.commons.csv.CSVRecord,103,21,6,replaced boolean return with true for org/apache/commons/csv/CSVRecord::isConsistent,src/main/java/org/apache/commons/csv/CSVRecord.java
2,2-a0d97593,NegateConditionalsMutator,KILLED,CSVRecord.java,org.apache.commons.csv.CSVRecord,114,5,0,negated conditional,src/main/java/org/apache/commons/csv/CSVRecord.java
2,2-a0d97593,BooleanTrueReturnValsMutator,KILLED,CSVRecord.java,org.apache.commons.csv.CSVRecord,114,14,4,replaced boolean return with true for org/apache/commons/csv/CSVRecord::isMapped,src/main/java/org/apache/commons/csv/CSVRecord.java
2,2-a0d97593,ConditionalsBoundaryMutator,KILLED,CSVRecord.java,org.apache.commons.csv.CSVRecord,125,16,4,changed conditional boundary,src/main/java/org/apache/commons/csv/CSVRecord.java
