bid,k,all,killed,timed_out,no_covg,non_viable,memory_error,run_error,survived,MathMutator,ConditionalsBoundaryMutator,IncrementsMutator,InvertNegsMutator,NegateConditionalsMutator,VoidMethodCallMutator,PrimitiveReturnsMutator,EmptyObjectReturnValsMutator,BooleanFalseReturnValsMutator,BooleanTrueReturnValsMutator,NullReturnValsMutator
14,14-190390bf,293,229,0,20,0,0,0,44,32,24,6,0,133,8,2,7,9,31,41
9,9-2480dffa,29,27,0,1,0,0,0,1,0,2,0,0,11,0,2,9,0,3,2
8,8-35d101c2,151,116,0,7,0,0,0,28,22,0,0,0,69,1,2,7,5,27,18
6,6-9f03b06a,26,25,0,1,0,0,0,0,0,2,0,0,9,0,2,8,0,3,2
7,7-ce4e7270,48,40,5,0,0,0,0,3,1,1,0,0,17,16,2,4,1,1,5
5,5-73cc5246,107,85,0,9,0,0,0,13,8,17,6,0,51,24,0,0,0,0,1
4,4-22601f64,47,40,3,0,0,0,0,4,1,1,0,0,17,16,2,3,1,1,5
11,11-b67524da,53,45,5,0,0,0,0,3,1,1,1,0,22,15,2,4,1,1,5
10,10-1282503f,109,88,0,9,0,0,0,12,8,17,6,0,52,25,0,0,0,0,1
3,3-2c612082,44,37,3,3,0,0,0,1,2,1,0,0,22,1,10,0,0,8,0
12,12-c81ad032,156,121,0,7,0,0,0,28,22,0,0,0,69,2,2,7,6,28,20
2,2-a0d97593,20,20,0,0,0,0,0,0,0,1,0,0,8,0,2,4,0,3,2
15,15-8b3de71f,285,231,0,19,0,0,0,35,32,18,6,0,127,8,2,7,10,32,43
16,16-f368f64f,65,55,1,3,0,1,0,5,3,1,1,0,25,19,2,4,1,1,8
