bid,mutK,final_chg_state,sc_cnt,rc_cnt,nc_cnt
1,src.main.java.com.fasterxml.jackson.core.io.NumberInput-0,sc,3,0,23
1,src.main.java.com.fasterxml.jackson.core.io.NumberInput-13,nc,0,0,26
1,src.main.java.com.fasterxml.jackson.core.io.NumberInput-24,nc,0,0,26
1,src.main.java.com.fasterxml.jackson.core.io.NumberInput-25,nc,0,0,52
1,src.main.java.com.fasterxml.jackson.core.io.NumberInput-26,nc,0,0,26
1,src.main.java.com.fasterxml.jackson.core.io.NumberInput-27,nc,0,0,26
1,src.main.java.com.fasterxml.jackson.core.io.NumberInput-34,nc,0,0,26
1,src.main.java.com.fasterxml.jackson.core.io.NumberInput-35,nc,0,0,26
1,src.main.java.com.fasterxml.jackson.core.io.NumberInput-36,nc,0,0,26
1,src.main.java.com.fasterxml.jackson.core.io.NumberInput-37,nc,0,0,52
1,src.main.java.com.fasterxml.jackson.core.io.NumberInput-38,nc,0,0,26
1,src.main.java.com.fasterxml.jackson.core.io.NumberInput-98,sc,5,1,20
1,src.main.java.com.fasterxml.jackson.core.io.NumberInput-99,sc,5,1,20
1,src.main.java.com.fasterxml.jackson.core.io.NumberInput-100,nc,0,0,52
1,src.main.java.com.fasterxml.jackson.core.io.NumberInput-101,nc,0,0,26
1,src.main.java.com.fasterxml.jackson.core.io.NumberInput-102,nc,0,0,26
1,src.main.java.com.fasterxml.jackson.core.io.NumberInput-103,nc,0,0,52
1,src.main.java.com.fasterxml.jackson.core.io.NumberInput-104,nc,0,0,52
1,src.main.java.com.fasterxml.jackson.core.io.NumberInput-105,nc,0,0,26
1,src.main.java.com.fasterxml.jackson.core.io.NumberInput-106,nc,0,0,52
1,src.main.java.com.fasterxml.jackson.core.io.NumberInput-107,nc,0,0,26
1,src.main.java.com.fasterxml.jackson.core.io.NumberInput-108,sc,5,1,20
1,src.main.java.com.fasterxml.jackson.core.io.NumberInput-122,sc,10,2,40
1,src.main.java.com.fasterxml.jackson.core.io.NumberInput-123,sc,5,1,20
