bid,mutK,status,mutOp,lno
1,src.main.java.com.fasterxml.jackson.core.util.TextBuffer-262,non-latent,MATH,643
1,src.main.java.com.fasterxml.jackson.core.util.TextBuffer-11,non-latent,CONDITIONALS_BOUNDARY,493
1,src.main.java.com.fasterxml.jackson.core.util.TextBuffer-32,non-latent,CONDITIONALS_BOUNDARY,456
1,src.main.java.com.fasterxml.jackson.core.util.TextBuffer-185,non-latent,CONDITIONALS_BOUNDARY,536
1,src.main.java.com.fasterxml.jackson.core.util.TextBuffer-260,non-latent,CONDITIONALS_BOUNDARY,644
1,src.main.java.com.fasterxml.jackson.core.util.TextBuffer-52,non-latent,CONDITIONALS_BOUNDARY,697
1,src.main.java.com.fasterxml.jackson.core.util.TextBuffer-33,non-latent,CONDITIONALS_BOUNDARY,462
1,src.main.java.com.fasterxml.jackson.core.util.TextBuffer-221,non-latent,VOID_METHOD_CALLS,167
1,src.main.java.com.fasterxml.jackson.core.util.TextBuffer-197,non-latent,CONDITIONALS_BOUNDARY,284
1,src.main.java.com.fasterxml.jackson.core.util.TextBuffer-51,non-latent,CONDITIONALS_BOUNDARY,684
1,src.main.java.com.fasterxml.jackson.core.util.TextBuffer-12,non-latent,CONDITIONALS_BOUNDARY,499
1,src.main.java.com.fasterxml.jackson.core.util.TextBuffer-0,non-latent,CONDITIONALS_BOUNDARY,436
1,src.main.java.com.fasterxml.jackson.core.util.TextBuffer-201,non-latent,VOID_METHOD_CALLS,142
1,src.main.java.com.fasterxml.jackson.core.util.TextBuffer-184,non-latent,CONDITIONALS_BOUNDARY,530
1,src.main.java.com.fasterxml.jackson.core.util.TextBuffer-258,non-latent,CONDITIONALS_BOUNDARY,265
1,src.main.java.com.fasterxml.jackson.core.util.TextBuffer-237,non-latent,VOID_METHOD_CALLS,190
1,src.main.java.com.fasterxml.jackson.core.util.TextBuffer-31,non-latent,CONDITIONALS_BOUNDARY,446
1,src.main.java.com.fasterxml.jackson.core.util.TextBuffer-199,latent,NEGATE_CONDITIONALS,137
1,src.main.java.com.fasterxml.jackson.core.util.TextBuffer-200,latent,NEGATE_CONDITIONALS,140
1,src.main.java.com.fasterxml.jackson.core.io.NumberInput-37,discard,NEGATE_CONDITIONALS,251
1,src.main.java.com.fasterxml.jackson.core.io.NumberInput-35,discard,NEGATE_CONDITIONALS,244
1,src.main.java.com.fasterxml.jackson.core.io.NumberInput-98,discard,CONDITIONALS_BOUNDARY,77
1,src.main.java.com.fasterxml.jackson.core.util.TextBuffer-202,discard,VOID_METHOD_CALLS,146
1,src.main.java.com.fasterxml.jackson.core.io.NumberInput-129,discard,NEGATE_CONDITIONALS,98
1,src.main.java.com.fasterxml.jackson.core.io.NumberInput-130,discard,NEGATE_CONDITIONALS,98
1,src.main.java.com.fasterxml.jackson.core.io.NumberInput-24,discard,CONDITIONALS_BOUNDARY,239
1,src.main.java.com.fasterxml.jackson.core.io.NumberInput-104,discard,CONDITIONALS_BOUNDARY,98
1,src.main.java.com.fasterxml.jackson.core.io.NumberInput-27,discard,INCREMENTS,248
1,src.main.java.com.fasterxml.jackson.core.util.TextBuffer-132,discard,MATH,602
1,src.main.java.com.fasterxml.jackson.core.io.NumberInput-132,discard,NEGATE_CONDITIONALS,106
1,src.main.java.com.fasterxml.jackson.core.io.NumberInput-101,discard,CONDITIONALS_BOUNDARY,86
1,src.main.java.com.fasterxml.jackson.core.util.TextBuffer-134,discard,NEGATE_CONDITIONALS,602
1,src.main.java.com.fasterxml.jackson.core.io.NumberInput-34,discard,NEGATE_CONDITIONALS,239
1,src.main.java.com.fasterxml.jackson.core.io.NumberInput-278,discard,CONDITIONALS_BOUNDARY,45
1,src.main.java.com.fasterxml.jackson.core.io.NumberInput-36,discard,NEGATE_CONDITIONALS,248
1,src.main.java.com.fasterxml.jackson.core.util.TextBuffer-108,discard,NEGATE_CONDITIONALS,671
1,src.main.java.com.fasterxml.jackson.core.util.TextBuffer-167,discard,MATH,584
1,src.main.java.com.fasterxml.jackson.core.io.NumberInput-123,discard,NEGATE_CONDITIONALS,77
1,src.main.java.com.fasterxml.jackson.core.io.NumberInput-125,discard,NEGATE_CONDITIONALS,86
1,src.main.java.com.fasterxml.jackson.core.util.TextBuffer-107,discard,MATH,670
1,src.main.java.com.fasterxml.jackson.core.io.NumberInput-124,discard,NEGATE_CONDITIONALS,82
1,src.main.java.com.fasterxml.jackson.core.io.NumberInput-279,discard,CONDITIONALS_BOUNDARY,47
1,src.main.java.com.fasterxml.jackson.core.io.NumberInput-26,discard,CONDITIONALS_BOUNDARY,251
1,src.main.java.com.fasterxml.jackson.core.io.NumberInput-13,discard,CONDITIONALS_BOUNDARY,158
1,src.main.java.com.fasterxml.jackson.core.io.NumberInput-38,discard,NEGATE_CONDITIONALS,251
1,src.main.java.com.fasterxml.jackson.core.io.NumberInput-122,discard,NEGATE_CONDITIONALS,77
1,src.main.java.com.fasterxml.jackson.core.io.NumberInput-126,discard,NEGATE_CONDITIONALS,86
1,src.main.java.com.fasterxml.jackson.core.io.NumberInput-128,discard,NEGATE_CONDITIONALS,92
1,src.main.java.com.fasterxml.jackson.core.io.NumberInput-99,discard,CONDITIONALS_BOUNDARY,82
1,src.main.java.com.fasterxml.jackson.core.io.NumberInput-25,discard,CONDITIONALS_BOUNDARY,251
1,src.main.java.com.fasterxml.jackson.core.io.NumberInput-103,discard,CONDITIONALS_BOUNDARY,92
1,src.main.java.com.fasterxml.jackson.core.io.NumberInput-100,discard,CONDITIONALS_BOUNDARY,86
1,src.main.java.com.fasterxml.jackson.core.util.TextBuffer-103,discard,CONDITIONALS_BOUNDARY,671
1,src.main.java.com.fasterxml.jackson.core.io.NumberInput-127,discard,NEGATE_CONDITIONALS,92
1,src.main.java.com.fasterxml.jackson.core.io.NumberInput-105,discard,CONDITIONALS_BOUNDARY,98
1,src.main.java.com.fasterxml.jackson.core.io.NumberInput-106,discard,CONDITIONALS_BOUNDARY,106
1,src.main.java.com.fasterxml.jackson.core.io.NumberInput-107,discard,CONDITIONALS_BOUNDARY,106
1,src.main.java.com.fasterxml.jackson.core.io.NumberInput-108,discard,INCREMENTS,80
1,src.main.java.com.fasterxml.jackson.core.io.NumberInput-102,discard,CONDITIONALS_BOUNDARY,92
1,src.main.java.com.fasterxml.jackson.core.io.NumberInput-0,discard,CONDITIONALS_BOUNDARY,183
1,src.main.java.com.fasterxml.jackson.core.io.NumberInput-131,discard,NEGATE_CONDITIONALS,106
2,src.main.java.com.fasterxml.jackson.core.json.UTF8StreamJsonParser-1252,latent,NEGATE_CONDITIONALS,1727
2,src.main.java.com.fasterxml.jackson.core.json.UTF8StreamJsonParser-1295,latent,NEGATE_CONDITIONALS,1595
2,src.main.java.com.fasterxml.jackson.core.json.ReaderBasedJsonParser-421,latent,CONDITIONALS_BOUNDARY,931
2,src.main.java.com.fasterxml.jackson.core.json.ReaderBasedJsonParser-490,latent,CONDITIONALS_BOUNDARY,1057
2,src.main.java.com.fasterxml.jackson.core.json.ReaderBasedJsonParser-430,latent,NEGATE_CONDITIONALS,931
2,src.main.java.com.fasterxml.jackson.core.json.UTF8StreamJsonParser-620,latent,VOID_METHOD_CALLS,1281
2,src.main.java.com.fasterxml.jackson.core.json.UTF8StreamJsonParser-1200,latent,MATH,633
2,src.main.java.com.fasterxml.jackson.core.json.UTF8StreamJsonParser-917,latent,CONDITIONALS_BOUNDARY,1300
