bid,mutK,status,mutOp,lno,debt_time,debt_nc
1,src.main.java.com.fasterxml.jackson.core.util.TextBuffer-262,non-latent,MATH,643,2064.799606481481,1432.0
1,src.main.java.com.fasterxml.jackson.core.util.TextBuffer-11,non-latent,CONDITIONALS_BOUNDARY,493,2064.799606481481,1432.0
1,src.main.java.com.fasterxml.jackson.core.util.TextBuffer-32,non-latent,CONDITIONALS_BOUNDARY,456,2064.799606481481,1432.0
1,src.main.java.com.fasterxml.jackson.core.util.TextBuffer-185,non-latent,CONDITIONALS_BOUNDARY,536,2064.799606481481,1432.0
1,src.main.java.com.fasterxml.jackson.core.util.TextBuffer-260,non-latent,CONDITIONALS_BOUNDARY,644,2064.799606481481,1432.0
1,src.main.java.com.fasterxml.jackson.core.util.TextBuffer-52,non-latent,CONDITIONALS_BOUNDARY,697,2064.799606481481,1432.0
1,src.main.java.com.fasterxml.jackson.core.util.TextBuffer-33,non-latent,CONDITIONALS_BOUNDARY,462,2064.799606481481,1432.0
1,src.main.java.com.fasterxml.jackson.core.util.TextBuffer-221,non-latent,VOID_METHOD_CALLS,167,2064.799606481481,1432.0
1,src.main.java.com.fasterxml.jackson.core.util.TextBuffer-197,non-latent,CONDITIONALS_BOUNDARY,284,2064.799606481481,1432.0
1,src.main.java.com.fasterxml.jackson.core.util.TextBuffer-51,non-latent,CONDITIONALS_BOUNDARY,684,2064.799606481481,1432.0
1,src.main.java.com.fasterxml.jackson.core.util.TextBuffer-12,non-latent,CONDITIONALS_BOUNDARY,499,2064.799606481481,1432.0
1,src.main.java.com.fasterxml.jackson.core.util.TextBuffer-0,non-latent,CONDITIONALS_BOUNDARY,436,2064.799606481481,1432.0
1,src.main.java.com.fasterxml.jackson.core.util.TextBuffer-201,non-latent,VOID_METHOD_CALLS,142,2064.799606481481,1432.0
1,src.main.java.com.fasterxml.jackson.core.util.TextBuffer-184,non-latent,CONDITIONALS_BOUNDARY,530,2064.799606481481,1432.0
