bid,k,all,killed,timed_out,no_covg,non_viable,memory_error,run_error,survived,MathMutator,ConditionalsBoundaryMutator,IncrementsMutator,InvertNegsMutator,NegateConditionalsMutator,VoidMethodCallMutator,PrimitiveReturnsMutator,EmptyObjectReturnValsMutator,BooleanFalseReturnValsMutator,BooleanTrueReturnValsMutator,NullReturnValsMutator
17,17-554f8db0,1033,459,7,321,0,0,0,246,278,180,89,0,266,204,15,0,0,0,1
21,21-96faf2ec,232,127,0,79,0,0,0,26,0,0,2,0,128,3,18,5,4,10,62
9,9-698f3a73,2900,1862,13,677,0,2,0,346,588,348,131,1,1049,359,151,120,22,36,95
11,11-be438672,523,326,0,83,0,0,0,114,223,32,38,0,127,18,24,44,3,11,3
10,10-c2823b4d,520,317,0,94,0,0,0,109,222,32,38,0,126,17,24,44,3,11,3
8,8-11f0b409,206,123,0,41,0,3,0,39,33,34,2,0,70,28,6,5,2,1,25
3,3-911cca02,1465,872,14,426,0,0,0,153,403,174,62,1,447,209,39,13,11,16,90
16,16-e052c319,29,13,2,11,0,0,0,3,2,2,1,0,13,4,1,0,1,1,4
20,20-fa64390b,163,107,0,39,0,0,0,17,8,5,3,0,39,93,2,0,1,5,7
19,19-345cad5b,2920,1964,13,568,0,3,0,372,595,350,136,1,1040,399,131,116,21,31,100
5,5-0d9cd9fa,78,44,0,28,0,0,0,6,1,12,5,0,31,2,6,2,2,6,11
1,1-b40ac81d,387,240,0,79,0,3,0,65,74,67,20,1,121,28,35,3,6,5,27
22,22-6feec20c,240,140,0,73,0,0,0,27,1,0,2,0,134,3,18,5,5,11,61
25,25-ad47c206,1243,883,1,172,0,2,0,185,157,162,63,0,503,181,66,32,10,14,55
2,2-38d6e35d,2267,1420,14,558,0,1,0,274,507,300,102,0,766,328,73,37,17,22,115
13,13-d58d420f,19,9,0,4,0,0,0,6,0,1,0,0,7,3,1,0,0,0,7
6,6-d9995147,86,50,0,28,0,0,0,8,1,14,5,0,35,2,8,2,2,6,11
4,4-3baa7d67,200,118,0,43,0,3,0,36,33,33,2,0,67,28,6,3,2,1,25
7,7-5cddffa1,44,35,0,8,0,0,0,1,3,2,0,0,17,3,6,2,0,0,11
18,18-96642978,2007,944,13,595,0,1,0,454,509,337,157,0,532,426,26,2,1,2,15
12,12-fede6c9d,2924,1966,13,569,0,3,0,373,596,350,136,1,1041,401,131,116,21,31,100
14,14-3c2c9610,50,17,0,5,0,0,0,28,0,2,0,0,11,21,0,0,1,1,14
