bid,mutK,final_chg_state,sc_cnt,rc_cnt,nc_cnt
2,src.main.java.com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream-2,nc,0,0,0
2,src.main.java.com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream-14,nc,0,0,9
2,src.main.java.com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream-15,nc,0,0,9
2,src.main.java.com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream-57,nc,0,0,9
2,src.main.java.com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream-58,nc,0,0,9
3,src.main.java.com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser-12,nc,0,0,0
3,src.main.java.com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser-20,nc,0,0,0
3,src.main.java.com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser-26,nc,0,0,0
3,src.main.java.com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser-27,nc,0,0,0
3,src.main.java.com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser-48,nc,0,0,0
3,src.main.java.com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser-49,nc,0,0,0
3,src.main.java.com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser-51,nc,0,0,0
3,src.main.java.com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser-58,nc,0,0,0
3,src.main.java.com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser-84,nc,0,0,0
4,src.main.java.com.fasterxml.jackson.dataformat.xml.ser.XmlSerializerProvider-3,nc,0,0,0
4,src.main.java.com.fasterxml.jackson.dataformat.xml.ser.XmlSerializerProvider-18,nc,0,0,0
4,src.main.java.com.fasterxml.jackson.dataformat.xml.ser.XmlSerializerProvider-31,nc,0,0,0
