bid,mutK,status,mutOp,lno
2,src.main.java.com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream-14,non-latent,NEGATE_CONDITIONALS,510
2,src.main.java.com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream-15,non-latent,NULL_RETURNS,513
2,src.main.java.com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream-57,non-latent,NULL_RETURNS,212
2,src.main.java.com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream-58,non-latent,NULL_RETURNS,215
2,src.main.java.com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream-2,discard,CONDITIONALS_BOUNDARY,523
3,src.main.java.com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser-48,discard,NULL_RETURNS,393
3,src.main.java.com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser-51,discard,TRUE_RETURNS,811
3,src.main.java.com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser-84,discard,NULL_RETURNS,585
3,src.main.java.com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser-12,discard,CONDITIONALS_BOUNDARY,955
3,src.main.java.com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser-26,discard,VOID_METHOD_CALLS,357
3,src.main.java.com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser-27,discard,VOID_METHOD_CALLS,364
3,src.main.java.com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser-20,discard,VOID_METHOD_CALLS,308
3,src.main.java.com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser-49,discard,NULL_RETURNS,384
3,src.main.java.com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser-58,discard,EMPTY_RETURNS,649
4,src.main.java.com.fasterxml.jackson.dataformat.xml.ser.XmlSerializerProvider-31,discard,NEGATE_CONDITIONALS,179
4,src.main.java.com.fasterxml.jackson.dataformat.xml.ser.XmlSerializerProvider-3,discard,CONDITIONALS_BOUNDARY,239
4,src.main.java.com.fasterxml.jackson.dataformat.xml.ser.XmlSerializerProvider-18,discard,VOID_METHOD_CALLS,105
