bid,mutK,status,mutOp,lno,debt_time,debt_nc
2,src.main.java.com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream-14,non-latent,NEGATE_CONDITIONALS,510,1059.6097569444444,346.0
2,src.main.java.com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream-15,non-latent,NULL_RETURNS,513,1059.6097569444444,346.0
2,src.main.java.com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream-57,non-latent,NULL_RETURNS,212,1059.6097569444444,346.0
2,src.main.java.com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream-58,non-latent,NULL_RETURNS,215,1059.6097569444444,346.0
2,src.main.java.com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream-2,discard,CONDITIONALS_BOUNDARY,523,195.2455671296296,55.0
3,src.main.java.com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser-48,discard,NULL_RETURNS,393,0.0001273148148148,1.0
3,src.main.java.com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser-51,discard,TRUE_RETURNS,811,0.0001273148148148,1.0
3,src.main.java.com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser-84,discard,NULL_RETURNS,585,0.0001273148148148,1.0
3,src.main.java.com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser-12,discard,CONDITIONALS_BOUNDARY,955,0.0001273148148148,1.0
3,src.main.java.com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser-26,discard,VOID_METHOD_CALLS,357,0.0001273148148148,1.0
3,src.main.java.com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser-27,discard,VOID_METHOD_CALLS,364,0.0001273148148148,1.0
3,src.main.java.com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser-20,discard,VOID_METHOD_CALLS,308,0.0001273148148148,1.0
3,src.main.java.com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser-49,discard,NULL_RETURNS,384,0.0001273148148148,1.0
3,src.main.java.com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser-58,discard,EMPTY_RETURNS,649,0.0001273148148148,1.0
4,src.main.java.com.fasterxml.jackson.dataformat.xml.ser.XmlSerializerProvider-31,discard,NEGATE_CONDITIONALS,179,0.002824074074074,3.0
4,src.main.java.com.fasterxml.jackson.dataformat.xml.ser.XmlSerializerProvider-3,discard,CONDITIONALS_BOUNDARY,239,0.002824074074074,3.0
4,src.main.java.com.fasterxml.jackson.dataformat.xml.ser.XmlSerializerProvider-18,discard,VOID_METHOD_CALLS,105,0.002824074074074,3.0
