bid,k,mutOp,status,sourceFile,mutatedClass,lineNumber,index,block,description,full_sourceFile
2,2-37eb331a,NegateConditionalsMutator,KILLED,XmlTokenStream.java,com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream,111,20,2,negated conditional,src/main/java/com/fasterxml/jackson/dataformat/xml/deser/XmlTokenStream.java
2,2-37eb331a,ConditionalsBoundaryMutator,SURVIVED,XmlTokenStream.java,com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream,523,17,3,changed conditional boundary,src/main/java/com/fasterxml/jackson/dataformat/xml/deser/XmlTokenStream.java
2,2-37eb331a,ConditionalsBoundaryMutator,KILLED,XmlTokenStream.java,com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream,524,26,5,changed conditional boundary,src/main/java/com/fasterxml/jackson/dataformat/xml/deser/XmlTokenStream.java
2,2-37eb331a,ConditionalsBoundaryMutator,TIMED_OUT,XmlTokenStream.java,com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream,525,33,7,changed conditional boundary,src/main/java/com/fasterxml/jackson/dataformat/xml/deser/XmlTokenStream.java
2,2-37eb331a,IncrementsMutator,KILLED,XmlTokenStream.java,com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream,524,41,9,Changed increment from 1 to -1,src/main/java/com/fasterxml/jackson/dataformat/xml/deser/XmlTokenStream.java
2,2-37eb331a,NegateConditionalsMutator,KILLED,XmlTokenStream.java,com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream,522,4,0,negated conditional,src/main/java/com/fasterxml/jackson/dataformat/xml/deser/XmlTokenStream.java
2,2-37eb331a,NegateConditionalsMutator,KILLED,XmlTokenStream.java,com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream,523,17,3,negated conditional,src/main/java/com/fasterxml/jackson/dataformat/xml/deser/XmlTokenStream.java
2,2-37eb331a,NegateConditionalsMutator,KILLED,XmlTokenStream.java,com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream,524,26,5,negated conditional,src/main/java/com/fasterxml/jackson/dataformat/xml/deser/XmlTokenStream.java
2,2-37eb331a,NegateConditionalsMutator,TIMED_OUT,XmlTokenStream.java,com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream,525,33,7,negated conditional,src/main/java/com/fasterxml/jackson/dataformat/xml/deser/XmlTokenStream.java
2,2-37eb331a,BooleanFalseReturnValsMutator,TIMED_OUT,XmlTokenStream.java,com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream,530,47,10,replaced boolean return with false for com/fasterxml/jackson/dataformat/xml/deser/XmlTokenStream::_allWs,src/main/java/com/fasterxml/jackson/dataformat/xml/deser/XmlTokenStream.java
