bid,mutK,status,mutOp,lno
1,src.main.java.org.jsoup.nodes.Document-13,non-latent,NULL_RETURNS,143
1,src.main.java.org.jsoup.nodes.Document-0,non-latent,VOID_METHOD_CALLS,31
1,src.main.java.org.jsoup.nodes.Document-14,non-latent,VOID_METHOD_CALLS,72
1,src.main.java.org.jsoup.nodes.Document-3,latent,VOID_METHOD_CALLS,107
1,src.main.java.org.jsoup.nodes.Document-1,latent,VOID_METHOD_CALLS,105
1,src.main.java.org.jsoup.nodes.Document-2,latent,VOID_METHOD_CALLS,106
2,src.main.java.org.jsoup.parser.Parser-48,latent,VOID_METHOD_CALLS,96
2,src.main.java.org.jsoup.parser.Parser-62,discard,NEGATE_CONDITIONALS,242
2,src.main.java.org.jsoup.parser.Parser-50,discard,NULL_RETURNS,285
2,src.main.java.org.jsoup.parser.Parser-4,discard,NULL_RETURNS,231
2,src.main.java.org.jsoup.parser.Parser-49,discard,CONDITIONALS_BOUNDARY,269
2,src.main.java.org.jsoup.parser.Parser-1,discard,VOID_METHOD_CALLS,29
2,src.main.java.org.jsoup.parser.Parser-0,discard,VOID_METHOD_CALLS,28
2,src.main.java.org.jsoup.parser.Parser-5,discard,NULL_RETURNS,238
2,src.main.java.org.jsoup.parser.Parser-35,discard,VOID_METHOD_CALLS,122
3,src.main.java.org.jsoup.nodes.Element-128,non-latent,NULL_RETURNS,728
3,src.main.java.org.jsoup.nodes.Element-119,non-latent,NULL_RETURNS,208
3,src.main.java.org.jsoup.nodes.Element-88,non-latent,CONDITIONALS_BOUNDARY,363
3,src.main.java.org.jsoup.nodes.Element-32,non-latent,CONDITIONALS_BOUNDARY,391
3,src.main.java.org.jsoup.nodes.Element-0,non-latent,VOID_METHOD_CALLS,37
3,src.main.java.org.jsoup.nodes.Element-5,non-latent,NULL_RETURNS,275
3,src.main.java.org.jsoup.nodes.Element-44,non-latent,VOID_METHOD_CALLS,470
3,src.main.java.org.jsoup.nodes.Element-117,non-latent,VOID_METHOD_CALLS,204
3,src.main.java.org.jsoup.nodes.Element-42,non-latent,VOID_METHOD_CALLS,437
3,src.main.java.org.jsoup.nodes.Element-116,non-latent,NULL_RETURNS,294
3,src.main.java.org.jsoup.nodes.Element-3,non-latent,NULL_RETURNS,713
3,src.main.java.org.jsoup.nodes.Element-139,non-latent,VOID_METHOD_CALLS,737
