bid,mutK,status,mutOp,lno,debt_time,debt_nc
1,src.main.java.org.jsoup.nodes.Document-13,non-latent,NULL_RETURNS,143,2924.71380787037,1067.0
1,src.main.java.org.jsoup.nodes.Document-0,non-latent,VOID_METHOD_CALLS,31,2924.71380787037,1067.0
1,src.main.java.org.jsoup.nodes.Document-14,non-latent,VOID_METHOD_CALLS,72,2924.71380787037,1067.0
1,src.main.java.org.jsoup.nodes.Document-3,latent,VOID_METHOD_CALLS,107,0.0,3.0
1,src.main.java.org.jsoup.nodes.Document-1,latent,VOID_METHOD_CALLS,105,0.0,3.0
1,src.main.java.org.jsoup.nodes.Document-2,latent,VOID_METHOD_CALLS,106,0.0,3.0
2,src.main.java.org.jsoup.parser.Parser-48,latent,VOID_METHOD_CALLS,96,0.0,4.0
2,src.main.java.org.jsoup.parser.Parser-62,discard,NEGATE_CONDITIONALS,242,0.0001736111111111,202.0
2,src.main.java.org.jsoup.parser.Parser-50,discard,NULL_RETURNS,285,0.0001736111111111,202.0
2,src.main.java.org.jsoup.parser.Parser-4,discard,NULL_RETURNS,231,0.0001736111111111,202.0
2,src.main.java.org.jsoup.parser.Parser-49,discard,CONDITIONALS_BOUNDARY,269,0.0001736111111111,202.0
2,src.main.java.org.jsoup.parser.Parser-1,discard,VOID_METHOD_CALLS,29,0.0001736111111111,202.0
2,src.main.java.org.jsoup.parser.Parser-0,discard,VOID_METHOD_CALLS,28,0.0001736111111111,202.0
2,src.main.java.org.jsoup.parser.Parser-5,discard,NULL_RETURNS,238,0.0001736111111111,202.0
2,src.main.java.org.jsoup.parser.Parser-35,discard,VOID_METHOD_CALLS,122,4.629629629629629e-05,58.0
3,src.main.java.org.jsoup.nodes.Element-128,non-latent,NULL_RETURNS,728,2924.71380787037,1062.0
3,src.main.java.org.jsoup.nodes.Element-119,non-latent,NULL_RETURNS,208,2924.71380787037,1062.0
3,src.main.java.org.jsoup.nodes.Element-88,non-latent,CONDITIONALS_BOUNDARY,363,2924.71380787037,1062.0
3,src.main.java.org.jsoup.nodes.Element-32,non-latent,CONDITIONALS_BOUNDARY,391,2924.71380787037,1062.0
3,src.main.java.org.jsoup.nodes.Element-0,non-latent,VOID_METHOD_CALLS,37,2924.71380787037,1062.0
3,src.main.java.org.jsoup.nodes.Element-5,non-latent,NULL_RETURNS,275,2924.71380787037,1062.0
3,src.main.java.org.jsoup.nodes.Element-44,non-latent,VOID_METHOD_CALLS,470,2924.71380787037,1062.0
3,src.main.java.org.jsoup.nodes.Element-117,non-latent,VOID_METHOD_CALLS,204,2924.71380787037,1062.0
3,src.main.java.org.jsoup.nodes.Element-42,non-latent,VOID_METHOD_CALLS,437,2924.71380787037,1062.0
3,src.main.java.org.jsoup.nodes.Element-116,non-latent,NULL_RETURNS,294,2924.71380787037,1062.0
3,src.main.java.org.jsoup.nodes.Element-3,non-latent,NULL_RETURNS,713,2924.71380787037,1062.0
3,src.main.java.org.jsoup.nodes.Element-139,non-latent,VOID_METHOD_CALLS,737,2924.71380787037,1062.0
3,src.main.java.org.jsoup.nodes.Element-45,non-latent,VOID_METHOD_CALLS,458,2924.71380787037,1062.0
3,src.main.java.org.jsoup.nodes.Element-46,non-latent,VOID_METHOD_CALLS,421,2924.71380787037,1062.0
3,src.main.java.org.jsoup.nodes.Element-2,non-latent,VOID_METHOD_CALLS,707,2924.71380787037,1062.0
3,src.main.java.org.jsoup.nodes.Element-4,non-latent,VOID_METHOD_CALLS,268,2924.71380787037,1062.0
3,src.main.java.org.jsoup.nodes.Element-91,non-latent,VOID_METHOD_CALLS,362,2924.71380787037,1062.0
3,src.main.java.org.jsoup.nodes.Element-7,non-latent,NULL_RETURNS,194,2924.71380787037,1062.0
3,src.main.java.org.jsoup.nodes.Element-8,non-latent,NULL_RETURNS,246,2924.71380787037,1062.0
3,src.main.java.org.jsoup.nodes.Element-90,non-latent,MATH,363,2924.71380787037,1062.0
3,src.main.java.org.jsoup.nodes.Element-115,non-latent,VOID_METHOD_CALLS,285,2924.71380787037,1062.0
3,src.main.java.org.jsoup.nodes.Element-125,non-latent,VOID_METHOD_CALLS,377,2924.71380787037,1062.0
3,src.main.java.org.jsoup.nodes.Element-12,non-latent,VOID_METHOD_CALLS,687,2924.71380787037,1062.0
3,src.main.java.org.jsoup.nodes.Element-120,non-latent,NULL_RETURNS,258,2924.71380787037,1062.0
3,src.main.java.org.jsoup.nodes.Element-130,non-latent,CONDITIONALS_BOUNDARY,593,2924.71380787037,1062.0
3,src.main.java.org.jsoup.nodes.Element-21,non-latent,NULL_RETURNS,303,2924.71380787037,1062.0
3,src.main.java.org.jsoup.nodes.Element-6,non-latent,VOID_METHOD_CALLS,190,2924.71380787037,1062.0
3,src.main.java.org.jsoup.nodes.Element-127,non-latent,VOID_METHOD_CALLS,722,2924.71380787037,1062.0
3,src.main.java.org.jsoup.nodes.Element-129,non-latent,VOID_METHOD_CALLS,610,2924.71380787037,1062.0
3,src.main.java.org.jsoup.nodes.Element-142,non-latent,NULL_RETURNS,770,2924.71380787037,1062.0
3,src.main.java.org.jsoup.nodes.Element-13,non-latent,NULL_RETURNS,689,2924.71380787037,1062.0
3,src.main.java.org.jsoup.nodes.Element-79,non-latent,CONDITIONALS_BOUNDARY,410,2924.71380787037,1062.0
3,src.main.java.org.jsoup.parser.Parser-3,discard,NULL_RETURNS,245,0.0001736111111111,198.0
3,src.main.java.org.jsoup.parser.Tag-98,discard,MATH,199,5.787037037037037e-05,62.0
3,src.main.java.org.jsoup.parser.Tag-291,discard,NULL_RETURNS,356,5.787037037037037e-05,62.0
3,src.main.java.org.jsoup.nodes.Element-146,discard,VOID_METHOD_CALLS,312,0.0001504629629629,177.0
3,src.main.java.org.jsoup.parser.Parser-36,discard,VOID_METHOD_CALLS,136,4.629629629629629e-05,54.0
3,src.main.java.org.jsoup.nodes.Element-59,discard,NEGATE_CONDITIONALS,841,574.6297106481481,364.0
3,src.main.java.org.jsoup.parser.Parser-1,discard,VOID_METHOD_CALLS,30,0.0001736111111111,198.0
