bid,k,mutOp,status,sourceFile,mutatedClass,lineNumber,index,block,description,full_sourceFile
1,1-27a52f90,NullReturnValsMutator,KILLED,Document.java,org.jsoup.nodes.Document,54,7,2,replaced return value with null for org/jsoup/nodes/Document::body,src/main/java/org/jsoup/nodes/Document.java
1,1-27a52f90,NullReturnValsMutator,KILLED,Document.java,org.jsoup.nodes.Document,87,10,3,replaced return value with null for org/jsoup/nodes/Document::createElement,src/main/java/org/jsoup/nodes/Document.java
1,1-27a52f90,VoidMethodCallMutator,SURVIVED,Document.java,org.jsoup.nodes.Document,31,4,0,removed call to org/apache/commons/lang/Validate::notNull,src/main/java/org/jsoup/nodes/Document.java
1,1-27a52f90,NullReturnValsMutator,KILLED,Document.java,org.jsoup.nodes.Document,38,33,5,replaced return value with null for org/jsoup/nodes/Document::createShell,src/main/java/org/jsoup/nodes/Document.java
1,1-27a52f90,NullReturnValsMutator,KILLED,Document.java,org.jsoup.nodes.Document,46,7,2,replaced return value with null for org/jsoup/nodes/Document::head,src/main/java/org/jsoup/nodes/Document.java
1,1-27a52f90,EmptyObjectReturnValsMutator,NO_COVERAGE,Document.java,org.jsoup.nodes.Document,148,4,0,"replaced return value with """" for org/jsoup/nodes/Document::nodeName",src/main/java/org/jsoup/nodes/Document.java
1,1-27a52f90,NegateConditionalsMutator,KILLED,Document.java,org.jsoup.nodes.Document,96,7,2,negated conditional,src/main/java/org/jsoup/nodes/Document.java
1,1-27a52f90,NegateConditionalsMutator,KILLED,Document.java,org.jsoup.nodes.Document,98,18,6,negated conditional,src/main/java/org/jsoup/nodes/Document.java
1,1-27a52f90,NegateConditionalsMutator,KILLED,Document.java,org.jsoup.nodes.Document,100,32,12,negated conditional,src/main/java/org/jsoup/nodes/Document.java
1,1-27a52f90,VoidMethodCallMutator,SURVIVED,Document.java,org.jsoup.nodes.Document,105,47,18,removed call to org/jsoup/nodes/Document::normalise,src/main/java/org/jsoup/nodes/Document.java
1,1-27a52f90,VoidMethodCallMutator,SURVIVED,Document.java,org.jsoup.nodes.Document,106,55,21,removed call to org/jsoup/nodes/Document::normalise,src/main/java/org/jsoup/nodes/Document.java
1,1-27a52f90,VoidMethodCallMutator,SURVIVED,Document.java,org.jsoup.nodes.Document,107,60,22,removed call to org/jsoup/nodes/Document::normalise,src/main/java/org/jsoup/nodes/Document.java
1,1-27a52f90,NullReturnValsMutator,KILLED,Document.java,org.jsoup.nodes.Document,109,64,23,replaced return value with null for org/jsoup/nodes/Document::normalise,src/main/java/org/jsoup/nodes/Document.java
1,1-27a52f90,NegateConditionalsMutator,KILLED,Document.java,org.jsoup.nodes.Document,116,25,6,negated conditional,src/main/java/org/jsoup/nodes/Document.java
1,1-27a52f90,NegateConditionalsMutator,SURVIVED,Document.java,org.jsoup.nodes.Document,118,35,8,negated conditional,src/main/java/org/jsoup/nodes/Document.java
1,1-27a52f90,VoidMethodCallMutator,KILLED,Document.java,org.jsoup.nodes.Document,124,62,17,removed call to org/jsoup/nodes/Element::removeChild,src/main/java/org/jsoup/nodes/Document.java
1,1-27a52f90,EmptyObjectReturnValsMutator,KILLED,Document.java,org.jsoup.nodes.Document,132,5,1,"replaced return value with """" for org/jsoup/nodes/Document::outerHtml",src/main/java/org/jsoup/nodes/Document.java
1,1-27a52f90,NullReturnValsMutator,SURVIVED,Document.java,org.jsoup.nodes.Document,143,11,2,replaced return value with null for org/jsoup/nodes/Document::text,src/main/java/org/jsoup/nodes/Document.java
1,1-27a52f90,NegateConditionalsMutator,KILLED,Document.java,org.jsoup.nodes.Document,63,11,2,negated conditional,src/main/java/org/jsoup/nodes/Document.java
1,1-27a52f90,NegateConditionalsMutator,KILLED,Document.java,org.jsoup.nodes.Document,74,15,3,negated conditional,src/main/java/org/jsoup/nodes/Document.java
1,1-27a52f90,VoidMethodCallMutator,SURVIVED,Document.java,org.jsoup.nodes.Document,72,4,0,removed call to org/apache/commons/lang/Validate::notNull,src/main/java/org/jsoup/nodes/Document.java
2,2-bb4ead7c,NegateConditionalsMutator,KILLED,Parser.java,org.jsoup.parser.Parser,35,36,5,negated conditional,src/main/java/org/jsoup/parser/Parser.java
2,2-bb4ead7c,VoidMethodCallMutator,SURVIVED,Parser.java,org.jsoup.parser.Parser,28,8,1,removed call to org/apache/commons/lang/Validate::notNull,src/main/java/org/jsoup/parser/Parser.java
2,2-bb4ead7c,VoidMethodCallMutator,SURVIVED,Parser.java,org.jsoup.parser.Parser,29,12,2,removed call to org/apache/commons/lang/Validate::notNull,src/main/java/org/jsoup/parser/Parser.java
2,2-bb4ead7c,NegateConditionalsMutator,KILLED,Parser.java,org.jsoup.parser.Parser,216,22,4,negated conditional,src/main/java/org/jsoup/parser/Parser.java
2,2-bb4ead7c,NegateConditionalsMutator,KILLED,Parser.java,org.jsoup.parser.Parser,221,43,9,negated conditional,src/main/java/org/jsoup/parser/Parser.java
2,2-bb4ead7c,NegateConditionalsMutator,KILLED,Parser.java,org.jsoup.parser.Parser,229,75,15,negated conditional,src/main/java/org/jsoup/parser/Parser.java
2,2-bb4ead7c,NegateConditionalsMutator,KILLED,Parser.java,org.jsoup.parser.Parser,236,95,19,negated conditional,src/main/java/org/jsoup/parser/Parser.java
2,2-bb4ead7c,VoidMethodCallMutator,KILLED,Parser.java,org.jsoup.parser.Parser,230,81,16,removed call to java/util/LinkedList::addLast,src/main/java/org/jsoup/parser/Parser.java
2,2-bb4ead7c,VoidMethodCallMutator,KILLED,Parser.java,org.jsoup.parser.Parser,237,101,20,removed call to java/util/LinkedList::addLast,src/main/java/org/jsoup/parser/Parser.java
2,2-bb4ead7c,NullReturnValsMutator,SURVIVED,Parser.java,org.jsoup.parser.Parser,231,85,17,replaced return value with null for org/jsoup/parser/Parser::addChildToParent,src/main/java/org/jsoup/parser/Parser.java
2,2-bb4ead7c,NullReturnValsMutator,SURVIVED,Parser.java,org.jsoup.parser.Parser,238,105,21,replaced return value with null for org/jsoup/parser/Parser::addChildToParent,src/main/java/org/jsoup/parser/Parser.java
2,2-bb4ead7c,NullReturnValsMutator,KILLED,Parser.java,org.jsoup.parser.Parser,289,7,1,replaced return value with null for org/jsoup/parser/Parser::last,src/main/java/org/jsoup/parser/Parser.java
2,2-bb4ead7c,NegateConditionalsMutator,TIMED_OUT,Parser.java,org.jsoup.parser.Parser,67,6,1,negated conditional,src/main/java/org/jsoup/parser/Parser.java
2,2-bb4ead7c,NegateConditionalsMutator,KILLED,Parser.java,org.jsoup.parser.Parser,68,13,3,negated conditional,src/main/java/org/jsoup/parser/Parser.java
2,2-bb4ead7c,NegateConditionalsMutator,KILLED,Parser.java,org.jsoup.parser.Parser,70,25,7,negated conditional,src/main/java/org/jsoup/parser/Parser.java
2,2-bb4ead7c,NegateConditionalsMutator,KILLED,Parser.java,org.jsoup.parser.Parser,72,37,11,negated conditional,src/main/java/org/jsoup/parser/Parser.java
2,2-bb4ead7c,NegateConditionalsMutator,KILLED,Parser.java,org.jsoup.parser.Parser,72,42,13,negated conditional,src/main/java/org/jsoup/parser/Parser.java
2,2-bb4ead7c,NegateConditionalsMutator,KILLED,Parser.java,org.jsoup.parser.Parser,74,54,17,negated conditional,src/main/java/org/jsoup/parser/Parser.java
2,2-bb4ead7c,NegateConditionalsMutator,TIMED_OUT,Parser.java,org.jsoup.parser.Parser,76,66,21,negated conditional,src/main/java/org/jsoup/parser/Parser.java
2,2-bb4ead7c,VoidMethodCallMutator,TIMED_OUT,Parser.java,org.jsoup.parser.Parser,69,17,4,removed call to org/jsoup/parser/Parser::parseComment,src/main/java/org/jsoup/parser/Parser.java
2,2-bb4ead7c,VoidMethodCallMutator,TIMED_OUT,Parser.java,org.jsoup.parser.Parser,71,29,8,removed call to org/jsoup/parser/Parser::parseCdata,src/main/java/org/jsoup/parser/Parser.java
2,2-bb4ead7c,VoidMethodCallMutator,TIMED_OUT,Parser.java,org.jsoup.parser.Parser,73,46,14,removed call to org/jsoup/parser/Parser::parseXmlDecl,src/main/java/org/jsoup/parser/Parser.java
2,2-bb4ead7c,VoidMethodCallMutator,TIMED_OUT,Parser.java,org.jsoup.parser.Parser,75,58,18,removed call to org/jsoup/parser/Parser::parseEndTag,src/main/java/org/jsoup/parser/Parser.java
2,2-bb4ead7c,VoidMethodCallMutator,TIMED_OUT,Parser.java,org.jsoup.parser.Parser,77,70,22,removed call to org/jsoup/parser/Parser::parseStartTag,src/main/java/org/jsoup/parser/Parser.java
2,2-bb4ead7c,VoidMethodCallMutator,TIMED_OUT,Parser.java,org.jsoup.parser.Parser,79,75,24,removed call to org/jsoup/parser/Parser::parseTextNode,src/main/java/org/jsoup/parser/Parser.java
2,2-bb4ead7c,NullReturnValsMutator,KILLED,Parser.java,org.jsoup.parser.Parser,82,82,27,replaced return value with null for org/jsoup/parser/Parser::parse,src/main/java/org/jsoup/parser/Parser.java
2,2-bb4ead7c,NullReturnValsMutator,KILLED,Parser.java,org.jsoup.parser.Parser,52,14,2,replaced return value with null for org/jsoup/parser/Parser::parse,src/main/java/org/jsoup/parser/Parser.java
2,2-bb4ead7c,NegateConditionalsMutator,KILLED,Parser.java,org.jsoup.parser.Parser,173,29,4,negated conditional,src/main/java/org/jsoup/parser/Parser.java
2,2-bb4ead7c,NegateConditionalsMutator,KILLED,Parser.java,org.jsoup.parser.Parser,176,42,7,negated conditional,src/main/java/org/jsoup/parser/Parser.java
2,2-bb4ead7c,NegateConditionalsMutator,KILLED,Parser.java,org.jsoup.parser.Parser,178,57,11,negated conditional,src/main/java/org/jsoup/parser/Parser.java
2,2-bb4ead7c,NegateConditionalsMutator,KILLED,Parser.java,org.jsoup.parser.Parser,183,91,17,negated conditional,src/main/java/org/jsoup/parser/Parser.java
2,2-bb4ead7c,NegateConditionalsMutator,KILLED,Parser.java,org.jsoup.parser.Parser,183,95,19,negated conditional,src/main/java/org/jsoup/parser/Parser.java
2,2-bb4ead7c,NegateConditionalsMutator,KILLED,Parser.java,org.jsoup.parser.Parser,183,99,21,negated conditional,src/main/java/org/jsoup/parser/Parser.java
2,2-bb4ead7c,NegateConditionalsMutator,KILLED,Parser.java,org.jsoup.parser.Parser,190,124,30,negated conditional,src/main/java/org/jsoup/parser/Parser.java
2,2-bb4ead7c,NullReturnValsMutator,KILLED,Parser.java,org.jsoup.parser.Parser,191,130,32,replaced return value with null for org/jsoup/parser/Parser::parseAttribute,src/main/java/org/jsoup/parser/Parser.java
2,2-bb4ead7c,NullReturnValsMutator,KILLED,Parser.java,org.jsoup.parser.Parser,63,14,2,replaced return value with null for org/jsoup/parser/Parser::parseBodyFragment,src/main/java/org/jsoup/parser/Parser.java
2,2-bb4ead7c,VoidMethodCallMutator,KILLED,Parser.java,org.jsoup.parser.Parser,205,6,0,removed call to org/jsoup/parser/TokenQueue::consume,src/main/java/org/jsoup/parser/Parser.java
2,2-bb4ead7c,MathMutator,KILLED,Parser.java,org.jsoup.parser.Parser,90,27,5,Replaced integer subtraction with addition,src/main/java/org/jsoup/parser/Parser.java
2,2-bb4ead7c,NegateConditionalsMutator,KILLED,Parser.java,org.jsoup.parser.Parser,89,19,3,negated conditional,src/main/java/org/jsoup/parser/Parser.java
2,2-bb4ead7c,VoidMethodCallMutator,KILLED,Parser.java,org.jsoup.parser.Parser,86,6,0,removed call to org/jsoup/parser/TokenQueue::consume,src/main/java/org/jsoup/parser/Parser.java
2,2-bb4ead7c,NegateConditionalsMutator,KILLED,Parser.java,org.jsoup.parser.Parser,110,24,4,negated conditional,src/main/java/org/jsoup/parser/Parser.java
2,2-bb4ead7c,VoidMethodCallMutator,KILLED,Parser.java,org.jsoup.parser.Parser,106,6,0,removed call to org/jsoup/parser/TokenQueue::consume,src/main/java/org/jsoup/parser/Parser.java
2,2-bb4ead7c,NegateConditionalsMutator,KILLED,Parser.java,org.jsoup.parser.Parser,120,17,3,negated conditional,src/main/java/org/jsoup/parser/Parser.java
2,2-bb4ead7c,NegateConditionalsMutator,KILLED,Parser.java,org.jsoup.parser.Parser,127,56,10,negated conditional,src/main/java/org/jsoup/parser/Parser.java
2,2-bb4ead7c,NegateConditionalsMutator,KILLED,Parser.java,org.jsoup.parser.Parser,127,60,12,negated conditional,src/main/java/org/jsoup/parser/Parser.java
2,2-bb4ead7c,NegateConditionalsMutator,KILLED,Parser.java,org.jsoup.parser.Parser,129,69,14,negated conditional,src/main/java/org/jsoup/parser/Parser.java
2,2-bb4ead7c,NegateConditionalsMutator,KILLED,Parser.java,org.jsoup.parser.Parser,137,104,21,negated conditional,src/main/java/org/jsoup/parser/Parser.java
2,2-bb4ead7c,NegateConditionalsMutator,KILLED,Parser.java,org.jsoup.parser.Parser,145,128,27,negated conditional,src/main/java/org/jsoup/parser/Parser.java
2,2-bb4ead7c,NegateConditionalsMutator,KILLED,Parser.java,org.jsoup.parser.Parser,151,161,36,negated conditional,src/main/java/org/jsoup/parser/Parser.java
2,2-bb4ead7c,NegateConditionalsMutator,KILLED,Parser.java,org.jsoup.parser.Parser,151,165,38,negated conditional,src/main/java/org/jsoup/parser/Parser.java
2,2-bb4ead7c,NegateConditionalsMutator,KILLED,Parser.java,org.jsoup.parser.Parser,159,196,47,negated conditional,src/main/java/org/jsoup/parser/Parser.java
2,2-bb4ead7c,NegateConditionalsMutator,KILLED,Parser.java,org.jsoup.parser.Parser,161,207,50,negated conditional,src/main/java/org/jsoup/parser/Parser.java
2,2-bb4ead7c,VoidMethodCallMutator,TIMED_OUT,Parser.java,org.jsoup.parser.Parser,117,6,0,removed call to org/jsoup/parser/TokenQueue::consume,src/main/java/org/jsoup/parser/Parser.java
2,2-bb4ead7c,VoidMethodCallMutator,KILLED,Parser.java,org.jsoup.parser.Parser,121,23,4,removed call to org/jsoup/parser/TokenQueue::addFirst,src/main/java/org/jsoup/parser/Parser.java
2,2-bb4ead7c,VoidMethodCallMutator,SURVIVED,Parser.java,org.jsoup.parser.Parser,122,27,5,removed call to org/jsoup/parser/Parser::parseTextNode,src/main/java/org/jsoup/parser/Parser.java
2,2-bb4ead7c,VoidMethodCallMutator,KILLED,Parser.java,org.jsoup.parser.Parser,130,74,15,removed call to org/jsoup/nodes/Attributes::put,src/main/java/org/jsoup/parser/Parser.java
2,2-bb4ead7c,VoidMethodCallMutator,KILLED,Parser.java,org.jsoup.parser.Parser,163,218,51,removed call to org/jsoup/nodes/Document::setBaseUri,src/main/java/org/jsoup/parser/Parser.java
2,2-bb4ead7c,VoidMethodCallMutator,SURVIVED,Parser.java,org.jsoup.parser.Parser,96,6,0,removed call to org/jsoup/parser/TokenQueue::consume,src/main/java/org/jsoup/parser/Parser.java
2,2-bb4ead7c,ConditionalsBoundaryMutator,SURVIVED,Parser.java,org.jsoup.parser.Parser,269,19,2,changed conditional boundary,src/main/java/org/jsoup/parser/Parser.java
2,2-bb4ead7c,ConditionalsBoundaryMutator,KILLED,Parser.java,org.jsoup.parser.Parser,281,77,16,changed conditional boundary,src/main/java/org/jsoup/parser/Parser.java
2,2-bb4ead7c,IncrementsMutator,KILLED,Parser.java,org.jsoup.parser.Parser,270,22,3,Changed increment from 1 to -1,src/main/java/org/jsoup/parser/Parser.java
2,2-bb4ead7c,IncrementsMutator,KILLED,Parser.java,org.jsoup.parser.Parser,269,64,13,Changed increment from -1 to 1,src/main/java/org/jsoup/parser/Parser.java
2,2-bb4ead7c,IncrementsMutator,KILLED,Parser.java,org.jsoup.parser.Parser,281,86,18,Changed increment from 1 to -1,src/main/java/org/jsoup/parser/Parser.java
