bid,k,all,killed,timed_out,no_covg,non_viable,memory_error,run_error,survived,MathMutator,ConditionalsBoundaryMutator,IncrementsMutator,InvertNegsMutator,NegateConditionalsMutator,VoidMethodCallMutator,PrimitiveReturnsMutator,EmptyObjectReturnValsMutator,BooleanFalseReturnValsMutator,BooleanTrueReturnValsMutator,NullReturnValsMutator
25,25-94002db5,72,29,0,17,0,0,0,26,14,0,0,0,23,2,1,2,9,19,2
64,64-195566fa,16,16,0,0,0,0,0,0,0,1,1,0,3,6,0,0,2,3,0
39,39-3f9f33d8,45,32,0,7,0,0,0,6,1,4,0,0,23,5,0,6,0,0,6
32,32-0e37cba8,208,143,0,18,0,0,0,47,9,11,0,0,60,43,1,18,4,5,57
53,53-a229d735,118,81,4,26,0,0,0,7,18,6,2,0,56,2,3,14,6,11,0
12,12-d0a7e3a0,124,107,1,0,0,0,0,16,0,1,0,0,55,24,1,1,0,0,42
92,92-0fc3d672,465,356,2,40,0,0,0,67,38,33,27,0,164,80,7,18,25,39,34
41,41-8391b723,231,163,1,19,0,0,0,48,11,14,0,0,71,42,1,21,6,8,57
35,35-76399e5b,14,14,0,0,0,0,0,0,0,1,1,0,3,6,0,0,1,2,0
21,21-249e5a8a,84,64,9,0,0,0,0,11,0,0,0,0,43,36,1,1,0,0,3
79,79-1028b37a,24,12,0,7,0,0,0,5,0,0,0,0,7,6,0,4,2,2,3
28,28-a31ec08e,110,78,4,12,0,0,0,16,1,6,0,0,44,18,0,19,4,5,13
22,22-4b0dde41,435,272,2,53,0,0,0,108,19,18,1,0,105,100,7,34,20,21,110
76,76-02668f75,16,16,0,0,0,0,0,0,0,1,1,0,3,6,0,0,2,3,0
43,43-11f7c1bd,234,166,1,19,0,0,0,48,11,15,0,0,72,42,1,21,6,9,57
11,11-f462438f,119,103,0,0,0,0,0,16,0,1,0,0,51,24,1,0,0,0,42
88,88-8b837a43,57,28,0,25,0,0,0,4,2,3,0,0,25,7,1,5,3,9,2
89,89-1d663eeb,57,29,0,25,0,0,0,3,2,3,0,0,25,7,1,5,3,9,2
16,16-f36b950d,4,3,0,0,0,0,0,1,0,0,0,0,2,1,0,1,0,0,0
54,54-f148f88d,9,5,0,0,0,0,0,4,0,0,0,0,1,6,0,1,0,0,1
13,13-411c01ff,135,85,2,12,0,0,0,36,10,7,1,0,32,49,2,9,3,2,20
62,62-b934c5d3,16,16,0,0,0,0,0,0,0,1,1,0,3,6,0,0,2,3,0
3,3-0081d162,367,264,9,16,0,0,0,78,20,13,5,0,144,56,2,13,20,33,61
30,30-dfac9ce4,14,10,0,0,0,0,0,4,0,0,1,0,3,6,1,0,0,1,2
44,44-3a7f39c5,25,10,0,2,0,0,0,13,1,1,0,0,5,4,0,0,6,6,2
78,78-2c4e79b1,75,66,0,8,0,0,0,1,0,4,0,0,43,8,0,8,0,0,12
17,17-3d6f1e47,14,14,0,0,0,0,0,0,0,1,1,0,3,6,0,0,1,2,0
87,87-7ff7c43e,657,489,2,88,0,0,0,78,51,39,22,0,219,105,4,30,40,58,89
91,91-247c5d05,287,242,20,4,0,0,0,21,37,62,19,0,96,24,7,13,7,21,1
90,90-7de614ff,65,42,0,19,0,0,0,4,2,1,0,0,5,13,0,4,1,1,38
31,31-caf61a4a,45,38,0,1,0,0,0,6,0,1,0,0,17,13,0,1,1,6,6
4,4-5e52f1b2,18,16,0,0,0,0,0,2,1,2,0,0,11,0,0,4,0,0,0
65,65-4fa93397,280,205,1,30,0,0,0,44,21,17,18,0,100,55,0,5,21,26,17
47,47-a025d87d,34,28,0,1,0,0,0,5,2,3,0,0,16,1,0,4,4,4,0
57,57-2c58e975,58,50,0,3,0,0,0,5,0,0,0,0,28,12,1,6,2,5,4
80,80-e9feec90,42,34,0,2,0,0,0,6,3,4,2,0,13,14,0,1,1,0,4
51,51-25e0e1e9,245,196,11,6,0,0,0,32,40,55,12,0,92,1,7,14,6,18,0
33,33-2518e92a,231,158,0,36,0,0,0,37,4,0,3,0,98,63,0,5,19,23,16
10,10-adce18ec,97,60,6,9,0,0,0,22,8,4,1,0,22,34,1,10,2,2,13
55,55-f0f0e41e,33,21,6,4,0,0,0,2,0,0,0,0,8,25,0,0,0,0,0
19,19-c98349a7,47,31,0,3,0,0,0,13,0,0,0,0,15,13,0,0,3,5,11
84,84-a810d2e3,9,7,0,0,0,0,0,2,0,0,0,0,1,6,0,1,0,0,1
58,58-f44d6e64,59,46,1,5,0,0,0,7,1,2,2,0,9,7,1,8,1,4,24
14,14-437d8eca,80,37,4,13,0,1,0,25,1,6,0,0,35,19,0,10,3,2,4
82,82-6be19a6f,77,73,0,3,0,0,0,1,0,4,0,0,48,7,0,8,0,0,10
69,69-f75f4739,19,17,0,1,0,0,0,1,0,1,0,0,12,2,0,1,0,0,3
20,20-1d31086a,23,19,0,1,0,0,0,3,0,0,0,0,12,3,0,3,0,0,5
48,48-65553582,52,14,0,24,0,0,0,14,2,1,0,0,4,11,0,4,0,0,30
81,81-e38dfd44,80,71,0,8,0,0,0,1,0,4,0,0,48,8,0,8,0,0,12
74,74-c3f8caa7,82,80,0,0,0,0,0,2,1,9,4,0,43,2,0,9,4,8,2
42,42-c01fcd33,20,16,0,3,0,0,0,1,0,1,0,0,12,1,0,1,1,1,3
67,67-fb8b60b4,266,203,0,30,0,0,0,33,21,17,17,0,98,49,0,5,19,23,17
15,15-7fe86808,14,13,0,0,0,0,0,1,0,1,1,0,3,6,0,0,1,2,0
60,60-8fecf72d,241,176,20,26,0,0,0,19,18,7,2,0,127,47,4,16,6,11,3
36,36-f052908e,45,32,0,7,0,0,0,6,1,4,0,0,23,5,0,6,0,0,6
38,38-9e9e1585,14,14,0,0,0,0,0,0,0,1,1,0,3,6,0,0,1,2,0
40,40-b033535f,4,3,0,0,0,0,0,1,0,0,0,0,3,0,0,1,0,0,0
18,18-128b3f82,105,62,9,8,0,0,0,26,12,22,0,0,39,1,3,10,5,13,0
83,83-bdf1df7e,316,250,22,8,0,1,0,35,41,58,12,0,109,49,7,13,7,20,0
71,71-1d7e6fa1,120,89,19,0,0,0,0,12,0,0,0,0,71,44,1,1,0,0,3
2,2-bb4ead7c,84,66,9,0,0,0,0,9,3,3,4,0,43,19,0,0,2,1,9
37,37-c07ba8a3,209,143,0,19,0,0,0,47,9,11,0,0,62,41,1,18,4,6,57
73,73-3475dc84,9,7,0,0,0,0,0,2,0,0,0,0,1,6,0,1,0,0,1
68,68-adb7a15a,266,205,1,28,0,0,0,32,22,17,17,0,98,48,0,5,19,23,17
77,77-df272b77,40,32,0,2,0,0,0,6,3,3,2,0,12,14,0,1,1,0,4
29,29-05ae9786,43,13,0,22,0,0,0,8,1,3,1,0,13,10,0,2,0,0,13
61,61-83f01fd8,251,187,1,20,0,0,0,43,11,16,1,0,77,48,0,21,8,10,59
8,8-da9b977e,92,55,6,9,0,0,0,22,8,4,1,0,19,34,1,10,2,2,11
34,34-88730bf9,185,156,3,6,0,0,0,20,30,44,7,0,65,1,7,11,5,15,0
52,52-4eb4f2b2,115,92,0,10,0,0,0,13,4,8,2,0,54,23,0,14,1,0,9
72,72-b8411990,277,230,11,4,0,0,0,32,41,57,12,0,98,23,7,13,7,19,0
26,26-d7b5d5b2,20,12,0,0,0,0,0,8,3,0,2,0,6,5,1,0,0,1,2
93,93-a9439f0c,20,18,0,1,0,0,0,1,0,1,0,0,13,2,0,1,0,0,3
86,86-38c13b5a,15,11,0,1,0,0,0,3,1,2,0,0,5,2,0,3,0,1,1
75,75-f627193c,108,89,0,8,0,0,0,11,13,11,5,0,33,18,6,8,2,6,6
7,7-82855b07,38,31,0,0,0,0,0,7,1,3,1,0,13,9,0,2,0,0,9
66,66-c324fabe,279,209,1,19,0,0,0,50,13,20,2,0,88,49,3,21,8,11,64
1,1-27a52f90,21,13,0,1,0,0,0,7,0,0,0,0,7,6,0,2,0,0,6
5,5-62afbdf6,92,79,7,0,0,1,0,5,3,3,4,0,47,20,0,0,3,2,10
46,46-3ba88d8c,33,27,0,1,0,0,0,5,2,3,0,0,15,1,0,4,4,4,0
70,70-aeaf3c1a,284,221,1,18,0,0,0,44,13,21,3,0,89,50,3,21,9,10,65
9,9-2e496949,17,15,0,0,0,0,0,2,1,2,0,0,10,0,0,4,0,0,0
63,63-35bceca3,351,255,5,38,0,1,0,52,21,20,17,0,143,71,0,8,20,24,27
50,50-c3cbe1b6,65,53,0,8,0,0,0,4,1,4,0,0,38,7,0,7,0,0,8
45,45-3b4f9dfa,265,189,0,30,0,0,0,46,21,16,17,0,98,49,0,5,19,23,17
49,49-b2e37fca,162,113,2,9,0,1,0,37,10,9,1,0,46,54,3,9,3,4,23
27,27-8963e2ac,26,21,0,2,0,0,0,3,0,0,0,0,14,3,0,4,0,0,5
56,56-c28e5bf5,118,97,6,5,0,0,0,10,3,4,3,0,39,45,0,3,3,10,8
85,85-25ba713e,57,28,0,25,0,0,0,4,2,3,0,0,25,7,1,5,3,9,2
59,59-a623db77,19,19,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,6,5
23,23-1d37cef1,200,128,10,16,0,0,0,46,15,34,0,0,82,20,3,21,7,14,4
6,6-20ed24ce,18,16,0,0,0,0,0,2,1,2,0,0,11,0,0,4,0,0,0
