bid,mutK,final_chg_state,sc_cnt,rc_cnt,nc_cnt
14,src.java.org.apache.commons.jxpath.ri.compiler.CoreFunction-0,nc,0,0,12
14,src.java.org.apache.commons.jxpath.ri.compiler.CoreFunction-19,nc,0,0,12
14,src.java.org.apache.commons.jxpath.ri.compiler.CoreFunction-20,nc,0,0,12
14,src.java.org.apache.commons.jxpath.ri.compiler.CoreFunction-22,nc,0,0,12
14,src.java.org.apache.commons.jxpath.ri.compiler.CoreFunction-27,nc,0,0,12
14,src.java.org.apache.commons.jxpath.ri.compiler.CoreFunction-38,nc,0,0,12
14,src.java.org.apache.commons.jxpath.ri.compiler.CoreFunction-44,nc,0,0,12
14,src.java.org.apache.commons.jxpath.ri.compiler.CoreFunction-45,nc,0,0,12
14,src.java.org.apache.commons.jxpath.ri.compiler.CoreFunction-52,nc,0,0,7
14,src.java.org.apache.commons.jxpath.ri.compiler.CoreFunction-53,nc,0,0,12
14,src.java.org.apache.commons.jxpath.ri.compiler.CoreFunction-69,nc,0,0,12
14,src.java.org.apache.commons.jxpath.ri.compiler.CoreFunction-70,nc,0,0,12
14,src.java.org.apache.commons.jxpath.ri.compiler.CoreFunction-77,nc,0,0,12
14,src.java.org.apache.commons.jxpath.ri.compiler.CoreFunction-79,nc,0,0,12
14,src.java.org.apache.commons.jxpath.ri.compiler.CoreFunction-80,nc,0,0,12
14,src.java.org.apache.commons.jxpath.ri.compiler.CoreFunction-87,nc,0,0,12
14,src.java.org.apache.commons.jxpath.ri.compiler.CoreFunction-94,nc,0,0,12
14,src.java.org.apache.commons.jxpath.ri.compiler.CoreFunction-100,nc,0,0,12
14,src.java.org.apache.commons.jxpath.ri.compiler.CoreFunction-107,nc,0,0,12
14,src.java.org.apache.commons.jxpath.ri.compiler.CoreFunction-115,nc,0,0,12
14,src.java.org.apache.commons.jxpath.ri.compiler.CoreFunction-117,nc,0,0,12
14,src.java.org.apache.commons.jxpath.ri.compiler.CoreFunction-118,nc,0,0,12
14,src.java.org.apache.commons.jxpath.ri.compiler.CoreFunction-121,nc,0,0,12
14,src.java.org.apache.commons.jxpath.ri.compiler.CoreFunction-122,nc,0,0,12
14,src.java.org.apache.commons.jxpath.ri.compiler.CoreFunction-125,nc,0,0,12
14,src.java.org.apache.commons.jxpath.ri.compiler.CoreFunction-127,nc,0,0,12
14,src.java.org.apache.commons.jxpath.ri.compiler.CoreFunction-130,nc,0,0,12
14,src.java.org.apache.commons.jxpath.ri.compiler.CoreFunction-132,nc,0,0,12
14,src.java.org.apache.commons.jxpath.ri.compiler.CoreFunction-133,nc,0,0,12
14,src.java.org.apache.commons.jxpath.ri.compiler.CoreFunction-134,nc,0,0,12
14,src.java.org.apache.commons.jxpath.ri.compiler.CoreFunction-135,nc,0,0,12
