bid,mutK,status,mutOp,lno
14,src.java.org.apache.commons.jxpath.ri.compiler.CoreFunction-20,non-latent,VOID_METHOD_CALLS,598
14,src.java.org.apache.commons.jxpath.ri.compiler.CoreFunction-121,non-latent,VOID_METHOD_CALLS,300
14,src.java.org.apache.commons.jxpath.ri.compiler.CoreFunction-130,non-latent,VOID_METHOD_CALLS,538
14,src.java.org.apache.commons.jxpath.ri.compiler.CoreFunction-27,non-latent,CONDITIONALS_BOUNDARY,438
14,src.java.org.apache.commons.jxpath.ri.compiler.CoreFunction-122,non-latent,VOID_METHOD_CALLS,672
14,src.java.org.apache.commons.jxpath.ri.compiler.CoreFunction-214,non-latent,VOID_METHOD_CALLS,464
14,src.java.org.apache.commons.jxpath.ri.compiler.CoreFunction-94,non-latent,VOID_METHOD_CALLS,417
14,src.java.org.apache.commons.jxpath.ri.compiler.CoreFunction-19,non-latent,NULL_RETURNS,262
14,src.java.org.apache.commons.jxpath.ri.compiler.CoreFunction-147,non-latent,MATH,498
14,src.java.org.apache.commons.jxpath.ri.compiler.CoreFunction-237,non-latent,VOID_METHOD_CALLS,612
14,src.java.org.apache.commons.jxpath.ri.compiler.CoreFunction-115,non-latent,VOID_METHOD_CALLS,605
14,src.java.org.apache.commons.jxpath.ri.compiler.CoreFunction-79,non-latent,NEGATE_CONDITIONALS,293
14,src.java.org.apache.commons.jxpath.ri.compiler.CoreFunction-0,non-latent,VOID_METHOD_CALLS,717
14,src.java.org.apache.commons.jxpath.ri.compiler.CoreFunction-127,non-latent,VOID_METHOD_CALLS,433
14,src.java.org.apache.commons.jxpath.ri.compiler.CoreFunction-22,non-latent,VOID_METHOD_CALLS,663
14,src.java.org.apache.commons.jxpath.ri.compiler.CoreFunction-135,non-latent,CONDITIONALS_BOUNDARY,515
14,src.java.org.apache.commons.jxpath.ri.compiler.CoreFunction-134,non-latent,CONDITIONALS_BOUNDARY,510
14,src.java.org.apache.commons.jxpath.ri.compiler.CoreFunction-222,non-latent,VOID_METHOD_CALLS,635
14,src.java.org.apache.commons.jxpath.ri.compiler.CoreFunction-136,non-latent,CONDITIONALS_BOUNDARY,519
14,src.java.org.apache.commons.jxpath.ri.compiler.CoreFunction-125,non-latent,VOID_METHOD_CALLS,450
14,src.java.org.apache.commons.jxpath.ri.compiler.CoreFunction-118,non-latent,VOID_METHOD_CALLS,630
14,src.java.org.apache.commons.jxpath.ri.compiler.CoreFunction-38,non-latent,VOID_METHOD_CALLS,305
14,src.java.org.apache.commons.jxpath.ri.compiler.CoreFunction-100,non-latent,VOID_METHOD_CALLS,382
14,src.java.org.apache.commons.jxpath.ri.compiler.CoreFunction-205,non-latent,VOID_METHOD_CALLS,475
14,src.java.org.apache.commons.jxpath.ri.compiler.CoreFunction-53,non-latent,NEGATE_CONDITIONALS,701
14,src.java.org.apache.commons.jxpath.ri.compiler.CoreFunction-138,non-latent,CONDITIONALS_BOUNDARY,526
14,src.java.org.apache.commons.jxpath.ri.compiler.CoreFunction-87,non-latent,VOID_METHOD_CALLS,400
14,src.java.org.apache.commons.jxpath.ri.compiler.CoreFunction-69,non-latent,VOID_METHOD_CALLS,342
14,src.java.org.apache.commons.jxpath.ri.compiler.CoreFunction-70,non-latent,VOID_METHOD_CALLS,350
14,src.java.org.apache.commons.jxpath.ri.compiler.CoreFunction-80,non-latent,VOID_METHOD_CALLS,282
14,src.java.org.apache.commons.jxpath.ri.compiler.CoreFunction-45,non-latent,VOID_METHOD_CALLS,654
14,src.java.org.apache.commons.jxpath.ri.compiler.CoreFunction-117,non-latent,VOID_METHOD_CALLS,622
14,src.java.org.apache.commons.jxpath.ri.compiler.CoreFunction-77,non-latent,VOID_METHOD_CALLS,332
14,src.java.org.apache.commons.jxpath.ri.compiler.CoreFunction-133,non-latent,CONDITIONALS_BOUNDARY,502
14,src.java.org.apache.commons.jxpath.ri.compiler.CoreFunction-132,non-latent,CONDITIONALS_BOUNDARY,498
14,src.java.org.apache.commons.jxpath.ri.compiler.CoreFunction-44,non-latent,VOID_METHOD_CALLS,617
14,src.java.org.apache.commons.jxpath.ri.compiler.CoreFunction-137,non-latent,CONDITIONALS_BOUNDARY,520
14,src.java.org.apache.commons.jxpath.ri.compiler.CoreFunction-107,non-latent,VOID_METHOD_CALLS,545
14,src.java.org.apache.commons.jxpath.ri.compiler.CoreFunction-52,discard,NEGATE_CONDITIONALS,682
14,src.java.org.apache.commons.jxpath.ri.compiler.CoreFunction-148,discard,NEGATE_CONDITIONALS,487
14,src.java.org.apache.commons.jxpath.ri.compiler.CoreFunction-227,discard,VOID_METHOD_CALLS,576
15,src.java.org.apache.commons.jxpath.ri.axes.UnionContext-0,non-latent,CONDITIONALS_BOUNDARY,44
16,src.java.org.apache.commons.jxpath.ri.model.jdom.JDOMNodePointer-98,non-latent,NEGATE_CONDITIONALS,725
16,src.java.org.apache.commons.jxpath.ri.model.jdom.JDOMNodePointer-154,non-latent,NULL_RETURNS,480
16,src.java.org.apache.commons.jxpath.ri.model.jdom.JDOMNodePointer-183,non-latent,NEGATE_CONDITIONALS,383
16,src.java.org.apache.commons.jxpath.ri.model.dom.DOMNodePointer-7,non-latent,NEGATE_CONDITIONALS,889
16,src.java.org.apache.commons.jxpath.ri.model.dom.DOMNodePointer-122,non-latent,EMPTY_RETURNS,297
16,src.java.org.apache.commons.jxpath.ri.model.dom.DOMNodePointer-135,non-latent,NEGATE_CONDITIONALS,791
16,src.java.org.apache.commons.jxpath.ri.model.dom.DOMNodePointer-114,non-latent,CONDITIONALS_BOUNDARY,767
16,src.java.org.apache.commons.jxpath.ri.model.dom.DOMNodePointer-134,non-latent,NEGATE_CONDITIONALS,788
16,src.java.org.apache.commons.jxpath.ri.model.dom.DOMNodePointer-136,non-latent,EMPTY_RETURNS,795
16,src.java.org.apache.commons.jxpath.ri.model.dom.DOMNodePointer-155,non-latent,NEGATE_CONDITIONALS,714
16,src.java.org.apache.commons.jxpath.ri.model.jdom.JDOMNodePointer-69,non-latent,EMPTY_RETURNS,128
16,src.java.org.apache.commons.jxpath.ri.model.jdom.JDOMNodePointer-76,non-latent,EMPTY_RETURNS,421
16,src.java.org.apache.commons.jxpath.ri.model.jdom.JDOMNodePointer-74,non-latent,NEGATE_CONDITIONALS,421
16,src.java.org.apache.commons.jxpath.ri.model.dom.DOMNodePointer-151,non-latent,CONDITIONALS_BOUNDARY,751
16,src.java.org.apache.commons.jxpath.ri.model.jdom.JDOMNodePointer-96,non-latent,CONDITIONALS_BOUNDARY,730
16,src.java.org.apache.commons.jxpath.ri.model.jdom.JDOMNodePointer-136,non-latent,FALSE_RETURNS,222
16,src.java.org.apache.commons.jxpath.ri.model.dom.DOMNodePointer-8,non-latent,NEGATE_CONDITIONALS,892
16,src.java.org.apache.commons.jxpath.ri.model.jdom.JDOMNodePointer-10,non-latent,CONDITIONALS_BOUNDARY,186
16,src.java.org.apache.commons.jxpath.ri.model.jdom.JDOMNodePointer-109,non-latent,CONDITIONALS_BOUNDARY,711
16,src.java.org.apache.commons.jxpath.ri.model.jdom.JDOMNodePointer-88,non-latent,CONDITIONALS_BOUNDARY,658
16,src.java.org.apache.commons.jxpath.ri.model.dom.DOMNodePointer-121,non-latent,EMPTY_RETURNS,259
16,src.java.org.apache.commons.jxpath.ri.model.jdom.JDOMNodePointer-110,non-latent,NEGATE_CONDITIONALS,706
16,src.java.org.apache.commons.jxpath.ri.model.jdom.JDOMNodePointer-111,non-latent,NEGATE_CONDITIONALS,716
16,src.java.org.apache.commons.jxpath.ri.model.jdom.JDOMNodePointer-48,non-latent,FALSE_RETURNS,415
