bid,mutK,final_chg_state,sc_cnt,rc_cnt,nc_cnt
1,src.main.java.org.apache.commons.lang3.math.NumberUtils-18,nc,0,0,0
1,src.main.java.org.apache.commons.lang3.math.NumberUtils-19,nc,0,0,0
1,src.main.java.org.apache.commons.lang3.math.NumberUtils-20,nc,0,0,0
1,src.main.java.org.apache.commons.lang3.math.NumberUtils-36,nc,0,0,0
1,src.main.java.org.apache.commons.lang3.math.NumberUtils-37,nc,0,0,0
1,src.main.java.org.apache.commons.lang3.math.NumberUtils-38,nc,0,0,0
1,src.main.java.org.apache.commons.lang3.math.NumberUtils-171,nc,0,0,0
1,src.main.java.org.apache.commons.lang3.math.NumberUtils-172,nc,0,0,0
1,src.main.java.org.apache.commons.lang3.math.NumberUtils-175,nc,0,0,0
1,src.main.java.org.apache.commons.lang3.math.NumberUtils-176,nc,0,0,0
1,src.main.java.org.apache.commons.lang3.math.NumberUtils-177,nc,0,0,0
1,src.main.java.org.apache.commons.lang3.math.NumberUtils-211,nc,0,0,0
1,src.main.java.org.apache.commons.lang3.math.NumberUtils-212,nc,0,0,0
1,src.main.java.org.apache.commons.lang3.math.NumberUtils-213,nc,0,0,0
1,src.main.java.org.apache.commons.lang3.math.NumberUtils-214,nc,0,0,0
1,src.main.java.org.apache.commons.lang3.math.NumberUtils-224,nc,0,0,0
1,src.main.java.org.apache.commons.lang3.math.NumberUtils-361,nc,0,0,0
1,src.main.java.org.apache.commons.lang3.math.NumberUtils-362,nc,0,0,0
1,src.main.java.org.apache.commons.lang3.math.NumberUtils-366,nc,0,0,0
1,src.main.java.org.apache.commons.lang3.math.NumberUtils-367,nc,0,0,0
1,src.main.java.org.apache.commons.lang3.math.NumberUtils-370,nc,0,0,0
1,src.main.java.org.apache.commons.lang3.math.NumberUtils-371,nc,0,0,0
1,src.main.java.org.apache.commons.lang3.math.NumberUtils-374,nc,0,0,0
1,src.main.java.org.apache.commons.lang3.math.NumberUtils-375,nc,0,0,0
1,src.main.java.org.apache.commons.lang3.math.NumberUtils-379,nc,0,0,0
1,src.main.java.org.apache.commons.lang3.math.NumberUtils-385,nc,0,0,0
1,src.main.java.org.apache.commons.lang3.math.NumberUtils-393,nc,0,0,0
1,src.main.java.org.apache.commons.lang3.math.NumberUtils-401,nc,0,0,0
1,src.main.java.org.apache.commons.lang3.math.NumberUtils-407,nc,0,0,0
1,src.main.java.org.apache.commons.lang3.math.NumberUtils-413,nc,0,0,0
