bid,mutK,status,mutOp,lno
1,src.main.java.org.apache.commons.lang3.math.NumberUtils-18,non-latent,CONDITIONALS_BOUNDARY,498
1,src.main.java.org.apache.commons.lang3.math.NumberUtils-393,non-latent,CONDITIONALS_BOUNDARY,1064
1,src.main.java.org.apache.commons.lang3.math.NumberUtils-176,non-latent,NEGATE_CONDITIONALS,642
1,src.main.java.org.apache.commons.lang3.math.NumberUtils-385,non-latent,CONDITIONALS_BOUNDARY,1037
1,src.main.java.org.apache.commons.lang3.math.NumberUtils-407,non-latent,CONDITIONALS_BOUNDARY,941
1,src.main.java.org.apache.commons.lang3.math.NumberUtils-370,non-latent,CONDITIONALS_BOUNDARY,1203
1,src.main.java.org.apache.commons.lang3.math.NumberUtils-361,non-latent,CONDITIONALS_BOUNDARY,1257
1,src.main.java.org.apache.commons.lang3.math.NumberUtils-467,non-latent,CONDITIONALS_BOUNDARY,793
1,src.main.java.org.apache.commons.lang3.math.NumberUtils-371,non-latent,CONDITIONALS_BOUNDARY,1206
1,src.main.java.org.apache.commons.lang3.math.NumberUtils-420,non-latent,CONDITIONALS_BOUNDARY,1154
1,src.main.java.org.apache.commons.lang3.math.NumberUtils-37,non-latent,MATH,579
1,src.main.java.org.apache.commons.lang3.math.NumberUtils-483,non-latent,PRIMITIVE_RETURNS,223
1,src.main.java.org.apache.commons.lang3.math.NumberUtils-481,non-latent,PRIMITIVE_RETURNS,325
1,src.main.java.org.apache.commons.lang3.math.NumberUtils-212,non-latent,CONDITIONALS_BOUNDARY,1367
1,src.main.java.org.apache.commons.lang3.math.NumberUtils-427,non-latent,CONDITIONALS_BOUNDARY,1097
1,src.main.java.org.apache.commons.lang3.math.NumberUtils-413,non-latent,CONDITIONALS_BOUNDARY,987
1,src.main.java.org.apache.commons.lang3.math.NumberUtils-36,non-latent,MATH,520
1,src.main.java.org.apache.commons.lang3.math.NumberUtils-366,non-latent,CONDITIONALS_BOUNDARY,1221
1,src.main.java.org.apache.commons.lang3.math.NumberUtils-423,non-latent,CONDITIONALS_BOUNDARY,1115
1,src.main.java.org.apache.commons.lang3.math.NumberUtils-375,non-latent,CONDITIONALS_BOUNDARY,1242
1,src.main.java.org.apache.commons.lang3.math.NumberUtils-451,non-latent,CONDITIONALS_BOUNDARY,916
1,src.main.java.org.apache.commons.lang3.math.NumberUtils-442,non-latent,CONDITIONALS_BOUNDARY,889
1,src.main.java.org.apache.commons.lang3.math.NumberUtils-214,non-latent,CONDITIONALS_BOUNDARY,1400
1,src.main.java.org.apache.commons.lang3.math.NumberUtils-435,non-latent,CONDITIONALS_BOUNDARY,862
1,src.main.java.org.apache.commons.lang3.math.NumberUtils-428,non-latent,CONDITIONALS_BOUNDARY,1100
1,src.main.java.org.apache.commons.lang3.math.NumberUtils-20,non-latent,CONDITIONALS_BOUNDARY,509
1,src.main.java.org.apache.commons.lang3.math.NumberUtils-379,non-latent,CONDITIONALS_BOUNDARY,1010
1,src.main.java.org.apache.commons.lang3.math.NumberUtils-175,non-latent,NEGATE_CONDITIONALS,638
1,src.main.java.org.apache.commons.lang3.math.NumberUtils-482,non-latent,PRIMITIVE_RETURNS,275
1,src.main.java.org.apache.commons.lang3.math.NumberUtils-172,non-latent,CONDITIONALS_BOUNDARY,642
1,src.main.java.org.apache.commons.lang3.math.NumberUtils-177,non-latent,TRUE_RETURNS,642
1,src.main.java.org.apache.commons.lang3.math.NumberUtils-171,non-latent,CONDITIONALS_BOUNDARY,637
1,src.main.java.org.apache.commons.lang3.math.NumberUtils-419,non-latent,CONDITIONALS_BOUNDARY,1151
1,src.main.java.org.apache.commons.lang3.math.NumberUtils-211,non-latent,CONDITIONALS_BOUNDARY,1366
1,src.main.java.org.apache.commons.lang3.math.NumberUtils-213,non-latent,CONDITIONALS_BOUNDARY,1399
1,src.main.java.org.apache.commons.lang3.math.NumberUtils-374,non-latent,CONDITIONALS_BOUNDARY,1239
1,src.main.java.org.apache.commons.lang3.math.NumberUtils-431,non-latent,CONDITIONALS_BOUNDARY,1133
1,src.main.java.org.apache.commons.lang3.math.NumberUtils-38,non-latent,MATH,580
1,src.main.java.org.apache.commons.lang3.math.NumberUtils-19,non-latent,CONDITIONALS_BOUNDARY,498
1,src.main.java.org.apache.commons.lang3.math.NumberUtils-432,non-latent,CONDITIONALS_BOUNDARY,1136
1,src.main.java.org.apache.commons.lang3.math.NumberUtils-485,non-latent,PRIMITIVE_RETURNS,171
1,src.main.java.org.apache.commons.lang3.math.NumberUtils-367,non-latent,CONDITIONALS_BOUNDARY,1224
1,src.main.java.org.apache.commons.lang3.math.NumberUtils-474,non-latent,CONDITIONALS_BOUNDARY,839
