bid,k,mutOp,status,sourceFile,mutatedClass,lineNumber,index,block,description,full_sourceFile
1,1-687b2e62,NegateConditionalsMutator,KILLED,NumberUtils.java,org.apache.commons.lang3.math.NumberUtils,759,4,0,negated conditional,src/main/java/org/apache/commons/lang3/math/NumberUtils.java
1,1-687b2e62,NegateConditionalsMutator,KILLED,NumberUtils.java,org.apache.commons.lang3.math.NumberUtils,763,14,3,negated conditional,src/main/java/org/apache/commons/lang3/math/NumberUtils.java
1,1-687b2e62,NegateConditionalsMutator,KILLED,NumberUtils.java,org.apache.commons.lang3.math.NumberUtils,766,29,8,negated conditional,src/main/java/org/apache/commons/lang3/math/NumberUtils.java
1,1-687b2e62,NullReturnValsMutator,KILLED,NumberUtils.java,org.apache.commons.lang3.math.NumberUtils,773,51,16,replaced return value with null for org/apache/commons/lang3/math/NumberUtils::createBigDecimal,src/main/java/org/apache/commons/lang3/math/NumberUtils.java
1,1-687b2e62,ConditionalsBoundaryMutator,KILLED,NumberUtils.java,org.apache.commons.lang3.math.NumberUtils,740,87,16,changed conditional boundary,src/main/java/org/apache/commons/lang3/math/NumberUtils.java
1,1-687b2e62,IncrementsMutator,KILLED,NumberUtils.java,org.apache.commons.lang3.math.NumberUtils,736,56,9,Changed increment from 2 to -2,src/main/java/org/apache/commons/lang3/math/NumberUtils.java
1,1-687b2e62,IncrementsMutator,KILLED,NumberUtils.java,org.apache.commons.lang3.math.NumberUtils,739,72,12,Changed increment from 1 to -1,src/main/java/org/apache/commons/lang3/math/NumberUtils.java
1,1-687b2e62,IncrementsMutator,KILLED,NumberUtils.java,org.apache.commons.lang3.math.NumberUtils,742,94,17,Changed increment from 1 to -1,src/main/java/org/apache/commons/lang3/math/NumberUtils.java
1,1-687b2e62,MathMutator,KILLED,NumberUtils.java,org.apache.commons.lang3.math.NumberUtils,740,86,16,Replaced integer addition with subtraction,src/main/java/org/apache/commons/lang3/math/NumberUtils.java
1,1-687b2e62,NegateConditionalsMutator,KILLED,NumberUtils.java,org.apache.commons.lang3.math.NumberUtils,724,4,0,negated conditional,src/main/java/org/apache/commons/lang3/math/NumberUtils.java
1,1-687b2e62,NegateConditionalsMutator,KILLED,NumberUtils.java,org.apache.commons.lang3.math.NumberUtils,730,27,3,negated conditional,src/main/java/org/apache/commons/lang3/math/NumberUtils.java
1,1-687b2e62,NegateConditionalsMutator,KILLED,NumberUtils.java,org.apache.commons.lang3.math.NumberUtils,734,43,6,negated conditional,src/main/java/org/apache/commons/lang3/math/NumberUtils.java
1,1-687b2e62,NegateConditionalsMutator,KILLED,NumberUtils.java,org.apache.commons.lang3.math.NumberUtils,734,48,8,negated conditional,src/main/java/org/apache/commons/lang3/math/NumberUtils.java
1,1-687b2e62,NegateConditionalsMutator,KILLED,NumberUtils.java,org.apache.commons.lang3.math.NumberUtils,737,65,11,negated conditional,src/main/java/org/apache/commons/lang3/math/NumberUtils.java
1,1-687b2e62,NegateConditionalsMutator,KILLED,NumberUtils.java,org.apache.commons.lang3.math.NumberUtils,740,81,14,negated conditional,src/main/java/org/apache/commons/lang3/math/NumberUtils.java
1,1-687b2e62,NegateConditionalsMutator,KILLED,NumberUtils.java,org.apache.commons.lang3.math.NumberUtils,740,87,16,negated conditional,src/main/java/org/apache/commons/lang3/math/NumberUtils.java
1,1-687b2e62,NegateConditionalsMutator,KILLED,NumberUtils.java,org.apache.commons.lang3.math.NumberUtils,746,109,20,negated conditional,src/main/java/org/apache/commons/lang3/math/NumberUtils.java
1,1-687b2e62,NullReturnValsMutator,KILLED,NumberUtils.java,org.apache.commons.lang3.math.NumberUtils,746,118,24,replaced return value with null for org/apache/commons/lang3/math/NumberUtils::createBigInteger,src/main/java/org/apache/commons/lang3/math/NumberUtils.java
1,1-687b2e62,NegateConditionalsMutator,KILLED,NumberUtils.java,org.apache.commons.lang3.math.NumberUtils,672,4,0,negated conditional,src/main/java/org/apache/commons/lang3/math/NumberUtils.java
1,1-687b2e62,EmptyObjectReturnValsMutator,KILLED,NumberUtils.java,org.apache.commons.lang3.math.NumberUtils,673,8,1,replaced Double return value with 0 for org/apache/commons/lang3/math/NumberUtils::createDouble,src/main/java/org/apache/commons/lang3/math/NumberUtils.java
1,1-687b2e62,EmptyObjectReturnValsMutator,KILLED,NumberUtils.java,org.apache.commons.lang3.math.NumberUtils,675,14,3,replaced Double return value with 0 for org/apache/commons/lang3/math/NumberUtils::createDouble,src/main/java/org/apache/commons/lang3/math/NumberUtils.java
1,1-687b2e62,NegateConditionalsMutator,KILLED,NumberUtils.java,org.apache.commons.lang3.math.NumberUtils,656,4,0,negated conditional,src/main/java/org/apache/commons/lang3/math/NumberUtils.java
1,1-687b2e62,EmptyObjectReturnValsMutator,KILLED,NumberUtils.java,org.apache.commons.lang3.math.NumberUtils,657,8,1,replaced Float return value with 0 for org/apache/commons/lang3/math/NumberUtils::createFloat,src/main/java/org/apache/commons/lang3/math/NumberUtils.java
1,1-687b2e62,EmptyObjectReturnValsMutator,KILLED,NumberUtils.java,org.apache.commons.lang3.math.NumberUtils,659,14,3,replaced Float return value with 0 for org/apache/commons/lang3/math/NumberUtils::createFloat,src/main/java/org/apache/commons/lang3/math/NumberUtils.java
1,1-687b2e62,NegateConditionalsMutator,KILLED,NumberUtils.java,org.apache.commons.lang3.math.NumberUtils,689,4,0,negated conditional,src/main/java/org/apache/commons/lang3/math/NumberUtils.java
1,1-687b2e62,EmptyObjectReturnValsMutator,KILLED,NumberUtils.java,org.apache.commons.lang3.math.NumberUtils,690,8,1,replaced Integer return value with 0 for org/apache/commons/lang3/math/NumberUtils::createInteger,src/main/java/org/apache/commons/lang3/math/NumberUtils.java
1,1-687b2e62,EmptyObjectReturnValsMutator,KILLED,NumberUtils.java,org.apache.commons.lang3.math.NumberUtils,693,14,3,replaced Integer return value with 0 for org/apache/commons/lang3/math/NumberUtils::createInteger,src/main/java/org/apache/commons/lang3/math/NumberUtils.java
1,1-687b2e62,NegateConditionalsMutator,KILLED,NumberUtils.java,org.apache.commons.lang3.math.NumberUtils,707,4,0,negated conditional,src/main/java/org/apache/commons/lang3/math/NumberUtils.java
1,1-687b2e62,EmptyObjectReturnValsMutator,KILLED,NumberUtils.java,org.apache.commons.lang3.math.NumberUtils,708,8,1,replaced Long return value with 0L for org/apache/commons/lang3/math/NumberUtils::createLong,src/main/java/org/apache/commons/lang3/math/NumberUtils.java
1,1-687b2e62,EmptyObjectReturnValsMutator,KILLED,NumberUtils.java,org.apache.commons.lang3.math.NumberUtils,710,14,3,replaced Long return value with 0L for org/apache/commons/lang3/math/NumberUtils::createLong,src/main/java/org/apache/commons/lang3/math/NumberUtils.java
1,1-687b2e62,ConditionalsBoundaryMutator,KILLED,NumberUtils.java,org.apache.commons.lang3.math.NumberUtils,466,99,13,changed conditional boundary,src/main/java/org/apache/commons/lang3/math/NumberUtils.java
1,1-687b2e62,ConditionalsBoundaryMutator,KILLED,NumberUtils.java,org.apache.commons.lang3.math.NumberUtils,468,113,16,changed conditional boundary,src/main/java/org/apache/commons/lang3/math/NumberUtils.java
1,1-687b2e62,ConditionalsBoundaryMutator,KILLED,NumberUtils.java,org.apache.commons.lang3.math.NumberUtils,477,144,21,changed conditional boundary,src/main/java/org/apache/commons/lang3/math/NumberUtils.java
1,1-687b2e62,ConditionalsBoundaryMutator,KILLED,NumberUtils.java,org.apache.commons.lang3.math.NumberUtils,477,150,23,changed conditional boundary,src/main/java/org/apache/commons/lang3/math/NumberUtils.java
1,1-687b2e62,ConditionalsBoundaryMutator,KILLED,NumberUtils.java,org.apache.commons.lang3.math.NumberUtils,480,162,26,changed conditional boundary,src/main/java/org/apache/commons/lang3/math/NumberUtils.java
1,1-687b2e62,ConditionalsBoundaryMutator,KILLED,NumberUtils.java,org.apache.commons.lang3.math.NumberUtils,480,168,28,changed conditional boundary,src/main/java/org/apache/commons/lang3/math/NumberUtils.java
1,1-687b2e62,ConditionalsBoundaryMutator,KILLED,NumberUtils.java,org.apache.commons.lang3.math.NumberUtils,495,217,38,changed conditional boundary,src/main/java/org/apache/commons/lang3/math/NumberUtils.java
1,1-687b2e62,ConditionalsBoundaryMutator,KILLED,NumberUtils.java,org.apache.commons.lang3.math.NumberUtils,497,222,39,changed conditional boundary,src/main/java/org/apache/commons/lang3/math/NumberUtils.java
1,1-687b2e62,ConditionalsBoundaryMutator,SURVIVED,NumberUtils.java,org.apache.commons.lang3.math.NumberUtils,498,227,40,changed conditional boundary,src/main/java/org/apache/commons/lang3/math/NumberUtils.java
1,1-687b2e62,ConditionalsBoundaryMutator,SURVIVED,NumberUtils.java,org.apache.commons.lang3.math.NumberUtils,498,231,42,changed conditional boundary,src/main/java/org/apache/commons/lang3/math/NumberUtils.java
1,1-687b2e62,ConditionalsBoundaryMutator,KILLED,NumberUtils.java,org.apache.commons.lang3.math.NumberUtils,508,287,56,changed conditional boundary,src/main/java/org/apache/commons/lang3/math/NumberUtils.java
1,1-687b2e62,ConditionalsBoundaryMutator,SURVIVED,NumberUtils.java,org.apache.commons.lang3.math.NumberUtils,509,293,58,changed conditional boundary,src/main/java/org/apache/commons/lang3/math/NumberUtils.java
1,1-687b2e62,ConditionalsBoundaryMutator,KILLED,NumberUtils.java,org.apache.commons.lang3.math.NumberUtils,519,341,72,changed conditional boundary,src/main/java/org/apache/commons/lang3/math/NumberUtils.java
1,1-687b2e62,ConditionalsBoundaryMutator,KILLED,NumberUtils.java,org.apache.commons.lang3.math.NumberUtils,519,347,74,changed conditional boundary,src/main/java/org/apache/commons/lang3/math/NumberUtils.java
1,1-687b2e62,ConditionalsBoundaryMutator,KILLED,NumberUtils.java,org.apache.commons.lang3.math.NumberUtils,579,549,134,changed conditional boundary,src/main/java/org/apache/commons/lang3/math/NumberUtils.java
1,1-687b2e62,ConditionalsBoundaryMutator,SURVIVED,NumberUtils.java,org.apache.commons.lang3.math.NumberUtils,579,555,136,changed conditional boundary,src/main/java/org/apache/commons/lang3/math/NumberUtils.java
1,1-687b2e62,ConditionalsBoundaryMutator,KILLED,NumberUtils.java,org.apache.commons.lang3.math.NumberUtils,602,626,155,changed conditional boundary,src/main/java/org/apache/commons/lang3/math/NumberUtils.java
1,1-687b2e62,ConditionalsBoundaryMutator,KILLED,NumberUtils.java,org.apache.commons.lang3.math.NumberUtils,612,663,165,changed conditional boundary,src/main/java/org/apache/commons/lang3/math/NumberUtils.java
1,1-687b2e62,IncrementsMutator,KILLED,NumberUtils.java,org.apache.commons.lang3.math.NumberUtils,471,127,19,Changed increment from 1 to -1,src/main/java/org/apache/commons/lang3/math/NumberUtils.java
1,1-687b2e62,IncrementsMutator,KILLED,NumberUtils.java,org.apache.commons.lang3.math.NumberUtils,468,130,19,Changed increment from 1 to -1,src/main/java/org/apache/commons/lang3/math/NumberUtils.java
1,1-687b2e62,MathMutator,KILLED,NumberUtils.java,org.apache.commons.lang3.math.NumberUtils,462,85,11,Replaced integer addition with subtraction,src/main/java/org/apache/commons/lang3/math/NumberUtils.java
1,1-687b2e62,MathMutator,KILLED,NumberUtils.java,org.apache.commons.lang3.math.NumberUtils,476,138,21,Replaced integer subtraction with addition,src/main/java/org/apache/commons/lang3/math/NumberUtils.java
1,1-687b2e62,MathMutator,KILLED,NumberUtils.java,org.apache.commons.lang3.math.NumberUtils,485,188,34,Replaced integer subtraction with addition,src/main/java/org/apache/commons/lang3/math/NumberUtils.java
1,1-687b2e62,MathMutator,KILLED,NumberUtils.java,org.apache.commons.lang3.math.NumberUtils,490,205,38,Replaced integer addition with subtraction,src/main/java/org/apache/commons/lang3/math/NumberUtils.java
1,1-687b2e62,MathMutator,KILLED,NumberUtils.java,org.apache.commons.lang3.math.NumberUtils,490,207,38,Replaced integer addition with subtraction,src/main/java/org/apache/commons/lang3/math/NumberUtils.java
1,1-687b2e62,MathMutator,KILLED,NumberUtils.java,org.apache.commons.lang3.math.NumberUtils,501,253,49,Replaced integer addition with subtraction,src/main/java/org/apache/commons/lang3/math/NumberUtils.java
1,1-687b2e62,MathMutator,KILLED,NumberUtils.java,org.apache.commons.lang3.math.NumberUtils,503,265,51,Replaced integer addition with subtraction,src/main/java/org/apache/commons/lang3/math/NumberUtils.java
1,1-687b2e62,MathMutator,KILLED,NumberUtils.java,org.apache.commons.lang3.math.NumberUtils,519,346,74,Replaced integer subtraction with addition,src/main/java/org/apache/commons/lang3/math/NumberUtils.java
1,1-687b2e62,MathMutator,SURVIVED,NumberUtils.java,org.apache.commons.lang3.math.NumberUtils,520,353,75,Replaced integer addition with subtraction,src/main/java/org/apache/commons/lang3/math/NumberUtils.java
1,1-687b2e62,MathMutator,KILLED,NumberUtils.java,org.apache.commons.lang3.math.NumberUtils,520,357,76,Replaced integer subtraction with addition,src/main/java/org/apache/commons/lang3/math/NumberUtils.java
1,1-687b2e62,MathMutator,KILLED,NumberUtils.java,org.apache.commons.lang3.math.NumberUtils,525,375,80,Replaced integer subtraction with addition,src/main/java/org/apache/commons/lang3/math/NumberUtils.java
1,1-687b2e62,MathMutator,SURVIVED,NumberUtils.java,org.apache.commons.lang3.math.NumberUtils,579,554,136,Replaced integer subtraction with addition,src/main/java/org/apache/commons/lang3/math/NumberUtils.java
1,1-687b2e62,MathMutator,SURVIVED,NumberUtils.java,org.apache.commons.lang3.math.NumberUtils,580,561,137,Replaced integer addition with subtraction,src/main/java/org/apache/commons/lang3/math/NumberUtils.java
1,1-687b2e62,NegateConditionalsMutator,KILLED,NumberUtils.java,org.apache.commons.lang3.math.NumberUtils,451,4,0,negated conditional,src/main/java/org/apache/commons/lang3/math/NumberUtils.java
1,1-687b2e62,NegateConditionalsMutator,KILLED,NumberUtils.java,org.apache.commons.lang3.math.NumberUtils,454,14,3,negated conditional,src/main/java/org/apache/commons/lang3/math/NumberUtils.java
1,1-687b2e62,NegateConditionalsMutator,KILLED,NumberUtils.java,org.apache.commons.lang3.math.NumberUtils,461,79,9,negated conditional,src/main/java/org/apache/commons/lang3/math/NumberUtils.java
1,1-687b2e62,NegateConditionalsMutator,KILLED,NumberUtils.java,org.apache.commons.lang3.math.NumberUtils,466,99,13,negated conditional,src/main/java/org/apache/commons/lang3/math/NumberUtils.java
1,1-687b2e62,NegateConditionalsMutator,KILLED,NumberUtils.java,org.apache.commons.lang3.math.NumberUtils,468,113,16,negated conditional,src/main/java/org/apache/commons/lang3/math/NumberUtils.java
1,1-687b2e62,NegateConditionalsMutator,KILLED,NumberUtils.java,org.apache.commons.lang3.math.NumberUtils,470,124,18,negated conditional,src/main/java/org/apache/commons/lang3/math/NumberUtils.java
1,1-687b2e62,NegateConditionalsMutator,KILLED,NumberUtils.java,org.apache.commons.lang3.math.NumberUtils,477,144,21,negated conditional,src/main/java/org/apache/commons/lang3/math/NumberUtils.java
1,1-687b2e62,NegateConditionalsMutator,KILLED,NumberUtils.java,org.apache.commons.lang3.math.NumberUtils,477,147,22,negated conditional,src/main/java/org/apache/commons/lang3/math/NumberUtils.java
1,1-687b2e62,NegateConditionalsMutator,KILLED,NumberUtils.java,org.apache.commons.lang3.math.NumberUtils,477,150,23,negated conditional,src/main/java/org/apache/commons/lang3/math/NumberUtils.java
1,1-687b2e62,NegateConditionalsMutator,KILLED,NumberUtils.java,org.apache.commons.lang3.math.NumberUtils,480,162,26,negated conditional,src/main/java/org/apache/commons/lang3/math/NumberUtils.java
1,1-687b2e62,NegateConditionalsMutator,KILLED,NumberUtils.java,org.apache.commons.lang3.math.NumberUtils,480,165,27,negated conditional,src/main/java/org/apache/commons/lang3/math/NumberUtils.java
1,1-687b2e62,NegateConditionalsMutator,KILLED,NumberUtils.java,org.apache.commons.lang3.math.NumberUtils,480,168,28,negated conditional,src/main/java/org/apache/commons/lang3/math/NumberUtils.java
1,1-687b2e62,NegateConditionalsMutator,KILLED,NumberUtils.java,org.apache.commons.lang3.math.NumberUtils,495,217,38,negated conditional,src/main/java/org/apache/commons/lang3/math/NumberUtils.java
1,1-687b2e62,NegateConditionalsMutator,KILLED,NumberUtils.java,org.apache.commons.lang3.math.NumberUtils,497,222,39,negated conditional,src/main/java/org/apache/commons/lang3/math/NumberUtils.java
1,1-687b2e62,NegateConditionalsMutator,KILLED,NumberUtils.java,org.apache.commons.lang3.math.NumberUtils,498,227,40,negated conditional,src/main/java/org/apache/commons/lang3/math/NumberUtils.java
