bid,k,all,killed,timed_out,no_covg,non_viable,memory_error,run_error,survived,MathMutator,ConditionalsBoundaryMutator,IncrementsMutator,InvertNegsMutator,NegateConditionalsMutator,VoidMethodCallMutator,PrimitiveReturnsMutator,EmptyObjectReturnValsMutator,BooleanFalseReturnValsMutator,BooleanTrueReturnValsMutator,NullReturnValsMutator
49,49-0ac772a4,271,0,0,271,0,0,0,0,68,37,2,16,94,0,17,2,1,2,32
8,8-a4a45505,100,69,12,7,0,0,0,12,9,17,6,0,38,6,2,8,0,2,12
36,36-da0612b3,365,291,0,16,0,0,0,58,16,66,10,0,174,0,52,8,6,19,14
16,16-13c7f19a,372,296,0,16,0,0,0,60,16,68,10,0,179,0,52,8,6,19,14
11,11-c821fafc,61,41,5,3,0,0,0,12,5,8,7,0,28,0,0,13,0,0,0
3,3-2c9c8753,385,311,0,15,0,0,0,59,19,74,13,0,166,12,52,8,6,19,16
4,4-fb47b96a,16,13,0,0,0,0,0,3,3,4,1,0,6,1,1,0,0,0,0
39,39-cb40e35f,1140,6,0,1133,0,0,0,1,92,137,68,0,503,1,47,179,30,55,28
51,51-a5589b39,200,3,0,197,0,0,0,0,0,2,1,0,104,0,3,15,30,45,0
34,34-496525b0,316,240,0,39,0,0,0,37,6,26,2,0,109,138,0,14,10,11,0
14,14-cf7211f9,1323,1188,12,7,0,2,0,114,131,160,78,0,569,3,68,184,36,64,30
20,20-f08213cc,1325,1190,13,7,0,2,0,113,132,162,78,0,571,3,68,185,34,62,30
30,30-19b63720,1255,1129,12,4,0,2,0,108,122,152,74,0,542,1,63,183,32,57,29
33,33-0603aef5,193,182,0,5,0,1,0,5,7,8,2,0,105,2,0,28,6,21,14
10,10-afe5dff7,107,89,0,6,0,0,0,12,12,9,5,0,31,7,6,2,0,3,32
9,9-c45d5bff,108,90,0,6,0,0,0,12,12,9,5,0,32,7,6,2,0,3,32
46,46-916639bd,153,0,0,153,0,0,0,0,5,9,3,0,44,64,0,28,0,0,0
35,35-80bd78ea,969,878,0,26,0,0,0,65,60,142,29,0,403,34,93,5,20,30,153
27,27-c2560c02,369,293,0,16,0,0,0,60,16,68,10,0,176,0,52,8,6,19,14
29,29-982e2950,59,53,0,1,0,0,0,5,4,9,2,0,21,0,5,0,2,9,7
21,21-55f64272,247,220,11,8,0,0,0,8,32,16,8,0,95,36,15,0,1,7,37
28,28-3e1afecc,21,20,1,0,0,0,0,0,6,1,2,0,8,3,1,0,0,0,0
43,43-eb3e2ae1,95,0,0,95,0,0,0,0,7,9,8,0,43,16,1,4,1,2,4
25,25-2bae6878,13,13,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,11
1,1-687b2e62,396,322,0,15,0,0,0,59,19,77,15,0,172,12,52,8,6,19,16
23,23-46356183,113,67,4,20,0,0,0,22,11,9,8,0,49,16,2,4,3,7,4
22,22-0b2b82ad,275,222,10,5,0,0,0,38,69,35,2,16,98,0,18,2,1,2,32
13,13-bd59a190,16,12,0,0,0,0,0,4,0,0,0,0,7,5,0,0,0,0,4
18,18-2aa9dca9,119,85,0,34,0,0,0,0,9,17,6,0,38,8,2,8,0,2,29
19,19-0b3a8a31,42,38,1,0,0,0,0,3,7,9,2,0,19,4,1,0,0,0,0
17,17-b4255e6d,20,20,0,0,0,0,0,0,4,2,1,0,6,3,0,3,0,0,1
53,53-d3b11630,170,0,0,170,0,0,0,0,13,16,8,0,81,24,0,0,1,5,22
38,38-a95e76ee,151,0,0,77,0,0,0,74,10,18,7,0,62,9,2,9,2,3,29
24,24-81903abb,370,294,0,16,0,0,0,60,16,68,10,0,177,0,52,8,6,19,14
52,52-868f6976,118,0,0,118,0,0,0,0,3,7,2,0,32,52,0,22,0,0,0
37,37-ea140fb5,969,154,0,813,0,0,0,2,60,142,29,0,403,34,93,5,20,30,153
47,47-d5e34304,760,0,0,760,0,0,0,0,123,140,37,0,234,45,35,11,10,16,109
45,45-d95fcd8e,105,0,0,105,0,0,0,0,10,13,7,0,52,0,0,19,2,2,0
40,40-8b1a8e17,1134,6,0,1127,0,0,0,1,92,137,68,0,499,1,47,177,30,55,28
7,7-e71f6dd3,378,296,0,17,0,0,0,65,17,69,11,0,181,0,52,8,6,19,15
50,50-659ef247,151,0,0,151,0,0,0,0,10,18,7,0,62,9,2,9,2,3,29
48,48-eb8f74ef,239,0,0,239,0,0,0,0,0,10,10,0,111,23,0,0,8,10,67
32,32-006fca88,126,119,0,4,0,0,0,3,32,9,0,0,47,7,10,1,0,1,19
31,31-38bf7048,1213,1090,13,5,0,1,0,104,108,148,71,0,526,1,61,183,31,55,29
44,44-81f10d7f,223,0,0,223,0,0,0,0,16,40,4,0,108,0,15,4,5,17,14
12,12-c9d786a4,59,37,7,3,0,0,0,12,5,7,7,0,27,0,0,13,0,0,0
6,6-cff0f1ae,20,20,0,0,0,0,0,0,4,2,1,0,6,3,0,3,0,0,1
26,26-75d5b74a,151,104,0,32,0,0,0,15,10,18,7,0,62,9,2,9,2,3,29
41,41-4d3629f3,192,10,0,179,0,0,0,3,7,8,2,0,104,2,0,28,6,21,14
