bid,mutK,final_chg_state,sc_cnt,rc_cnt,nc_cnt
1,src.main.java.org.apache.commons.math3.fraction.BigFraction-0,nc,0,0,0
1,src.main.java.org.apache.commons.math3.fraction.BigFraction-18,nc,0,0,0
1,src.main.java.org.apache.commons.math3.fraction.BigFraction-19,nc,0,0,0
1,src.main.java.org.apache.commons.math3.fraction.BigFraction-20,nc,0,0,0
1,src.main.java.org.apache.commons.math3.fraction.BigFraction-21,nc,0,0,0
1,src.main.java.org.apache.commons.math3.fraction.BigFraction-22,nc,0,0,0
1,src.main.java.org.apache.commons.math3.fraction.BigFraction-25,nc,0,0,0
1,src.main.java.org.apache.commons.math3.fraction.BigFraction-71,nc,0,0,0
1,src.main.java.org.apache.commons.math3.fraction.BigFraction-72,nc,0,0,0
1,src.main.java.org.apache.commons.math3.fraction.BigFraction-87,nc,0,0,0
1,src.main.java.org.apache.commons.math3.fraction.BigFraction-89,nc,0,0,0
1,src.main.java.org.apache.commons.math3.fraction.BigFraction-125,nc,0,0,0
1,src.main.java.org.apache.commons.math3.fraction.BigFraction-127,nc,0,0,0
1,src.main.java.org.apache.commons.math3.fraction.BigFraction-128,nc,0,0,0
1,src.main.java.org.apache.commons.math3.fraction.BigFraction-162,nc,0,0,0
1,src.main.java.org.apache.commons.math3.fraction.BigFraction-164,nc,0,0,0
1,src.main.java.org.apache.commons.math3.fraction.BigFraction-171,nc,0,0,0
2,src.main.java.org.apache.commons.math3.distribution.HypergeometricDistribution-0,nc,0,0,0
3,src.main.java.org.apache.commons.math3.util.MathArrays-0,nc,0,0,7
3,src.main.java.org.apache.commons.math3.util.MathArrays-39,nc,0,0,14
3,src.main.java.org.apache.commons.math3.util.MathArrays-50,nc,0,0,14
3,src.main.java.org.apache.commons.math3.util.MathArrays-105,nc,0,0,14
3,src.main.java.org.apache.commons.math3.util.MathArrays-106,nc,0,0,0
3,src.main.java.org.apache.commons.math3.util.MathArrays-133,nc,0,0,14
3,src.main.java.org.apache.commons.math3.util.MathArrays-166,nc,0,0,14
3,src.main.java.org.apache.commons.math3.util.MathArrays-168,nc,0,0,14
3,src.main.java.org.apache.commons.math3.util.MathArrays-171,nc,0,0,7
3,src.main.java.org.apache.commons.math3.util.MathArrays-172,nc,0,0,7
3,src.main.java.org.apache.commons.math3.util.MathArrays-173,nc,0,0,7
3,src.main.java.org.apache.commons.math3.util.MathArrays-176,nc,0,0,14
3,src.main.java.org.apache.commons.math3.util.MathArrays-178,nc,0,0,7
3,src.main.java.org.apache.commons.math3.util.MathArrays-180,nc,0,0,7
3,src.main.java.org.apache.commons.math3.util.MathArrays-182,nc,0,0,8
3,src.main.java.org.apache.commons.math3.util.MathArrays-185,nc,0,0,14
3,src.main.java.org.apache.commons.math3.util.MathArrays-186,nc,0,0,14
3,src.main.java.org.apache.commons.math3.util.MathArrays-187,nc,0,0,14
3,src.main.java.org.apache.commons.math3.util.MathArrays-188,nc,0,0,14
3,src.main.java.org.apache.commons.math3.util.MathArrays-189,nc,0,0,14
3,src.main.java.org.apache.commons.math3.util.MathArrays-190,nc,0,0,14
3,src.main.java.org.apache.commons.math3.util.MathArrays-191,nc,0,0,7
3,src.main.java.org.apache.commons.math3.util.MathArrays-199,nc,0,0,14
4,src.main.java.org.apache.commons.math3.geometry.euclidean.twod.SubLine-1,nc,0,0,1
4,src.main.java.org.apache.commons.math3.geometry.euclidean.twod.SubLine-2,nc,0,0,1
4,src.main.java.org.apache.commons.math3.geometry.euclidean.twod.SubLine-3,nc,0,0,1
4,src.main.java.org.apache.commons.math3.geometry.euclidean.twod.SubLine-11,nc,0,0,1
4,src.main.java.org.apache.commons.math3.geometry.euclidean.twod.SubLine-12,nc,0,0,1
5,src.main.java.org.apache.commons.math3.complex.Complex-11,nc,0,0,0
5,src.main.java.org.apache.commons.math3.complex.Complex-12,nc,0,0,0
5,src.main.java.org.apache.commons.math3.complex.Complex-13,nc,0,0,0
5,src.main.java.org.apache.commons.math3.complex.Complex-31,nc,0,0,0
5,src.main.java.org.apache.commons.math3.complex.Complex-53,nc,0,0,0
5,src.main.java.org.apache.commons.math3.complex.Complex-55,nc,0,0,0
5,src.main.java.org.apache.commons.math3.complex.Complex-69,nc,0,0,0
5,src.main.java.org.apache.commons.math3.complex.Complex-83,nc,0,0,0
5,src.main.java.org.apache.commons.math3.complex.Complex-84,nc,0,0,0
5,src.main.java.org.apache.commons.math3.complex.Complex-124,nc,0,0,0
5,src.main.java.org.apache.commons.math3.complex.Complex-136,nc,0,0,0
5,src.main.java.org.apache.commons.math3.complex.Complex-142,nc,0,0,0
5,src.main.java.org.apache.commons.math3.complex.Complex-143,nc,0,0,0
