bid,mutK,status,mutOp,lno
1,src.main.java.org.apache.commons.math3.fraction.BigFraction-22,non-latent,CONDITIONALS_BOUNDARY,313
1,src.main.java.org.apache.commons.math3.fraction.BigFraction-125,non-latent,MATH,828
1,src.main.java.org.apache.commons.math3.fraction.BigFraction-71,non-latent,CONDITIONALS_BOUNDARY,133
1,src.main.java.org.apache.commons.math3.fraction.BigFraction-25,non-latent,CONDITIONALS_BOUNDARY,331
1,src.main.java.org.apache.commons.math3.fraction.BigFraction-128,non-latent,PRIMITIVE_RETURNS,828
1,src.main.java.org.apache.commons.math3.fraction.BigFraction-0,non-latent,CONDITIONALS_BOUNDARY,198
1,src.main.java.org.apache.commons.math3.fraction.BigFraction-18,non-latent,CONDITIONALS_BOUNDARY,281
1,src.main.java.org.apache.commons.math3.fraction.BigFraction-19,non-latent,CONDITIONALS_BOUNDARY,303
1,src.main.java.org.apache.commons.math3.fraction.BigFraction-171,non-latent,CONDITIONALS_BOUNDARY,998
1,src.main.java.org.apache.commons.math3.fraction.BigFraction-72,non-latent,CONDITIONALS_BOUNDARY,139
1,src.main.java.org.apache.commons.math3.fraction.BigFraction-164,non-latent,CONDITIONALS_BOUNDARY,979
1,src.main.java.org.apache.commons.math3.fraction.BigFraction-21,non-latent,CONDITIONALS_BOUNDARY,306
1,src.main.java.org.apache.commons.math3.fraction.BigFraction-127,non-latent,MATH,828
1,src.main.java.org.apache.commons.math3.fraction.BigFraction-162,non-latent,CONDITIONALS_BOUNDARY,962
1,src.main.java.org.apache.commons.math3.fraction.BigFraction-87,non-latent,CONDITIONALS_BOUNDARY,453
1,src.main.java.org.apache.commons.math3.fraction.BigFraction-89,non-latent,VOID_METHOD_CALLS,469
1,src.main.java.org.apache.commons.math3.fraction.BigFraction-20,non-latent,CONDITIONALS_BOUNDARY,303
2,src.main.java.org.apache.commons.math3.distribution.HypergeometricDistribution-0,non-latent,CONDITIONALS_BOUNDARY,94
3,src.main.java.org.apache.commons.math3.util.MathArrays-191,non-latent,MATH,1155
3,src.main.java.org.apache.commons.math3.util.MathArrays-50,non-latent,MATH,284
3,src.main.java.org.apache.commons.math3.util.MathArrays-172,non-latent,MATH,1108
3,src.main.java.org.apache.commons.math3.util.MathArrays-168,non-latent,MATH,1098
3,src.main.java.org.apache.commons.math3.util.MathArrays-173,non-latent,MATH,1110
3,src.main.java.org.apache.commons.math3.util.MathArrays-133,non-latent,MATH,1045
3,src.main.java.org.apache.commons.math3.util.MathArrays-171,non-latent,MATH,1107
3,src.main.java.org.apache.commons.math3.util.MathArrays-178,non-latent,MATH,1127
3,src.main.java.org.apache.commons.math3.util.MathArrays-180,non-latent,MATH,1131
3,src.main.java.org.apache.commons.math3.util.MathArrays-186,non-latent,MATH,1144
3,src.main.java.org.apache.commons.math3.util.MathArrays-190,non-latent,MATH,1154
3,src.main.java.org.apache.commons.math3.util.MathArrays-185,non-latent,MATH,1143
3,src.main.java.org.apache.commons.math3.util.MathArrays-187,non-latent,MATH,1145
3,src.main.java.org.apache.commons.math3.util.MathArrays-189,non-latent,MATH,1149
3,src.main.java.org.apache.commons.math3.util.MathArrays-176,non-latent,MATH,1119
3,src.main.java.org.apache.commons.math3.util.MathArrays-0,non-latent,CONDITIONALS_BOUNDARY,1358
3,src.main.java.org.apache.commons.math3.util.MathArrays-39,non-latent,MATH,222
3,src.main.java.org.apache.commons.math3.util.MathArrays-166,non-latent,MATH,1095
3,src.main.java.org.apache.commons.math3.util.MathArrays-188,non-latent,MATH,1148
3,src.main.java.org.apache.commons.math3.util.MathArrays-105,non-latent,MATH,939
3,src.main.java.org.apache.commons.math3.util.MathArrays-199,non-latent,MATH,1164
3,src.main.java.org.apache.commons.math3.util.MathArrays-182,latent,MATH,1134
3,src.main.java.org.apache.commons.math3.util.MathArrays-106,discard,MATH,943
4,src.main.java.org.apache.commons.math3.geometry.euclidean.twod.SubLine-12,non-latent,CONDITIONALS_BOUNDARY,192
4,src.main.java.org.apache.commons.math3.geometry.euclidean.twod.SubLine-11,non-latent,CONDITIONALS_BOUNDARY,186
4,src.main.java.org.apache.commons.math3.geometry.euclidean.twod.SubLine-3,non-latent,CONDITIONALS_BOUNDARY,169
4,src.main.java.org.apache.commons.math3.geometry.euclidean.twod.SubLine-1,non-latent,CONDITIONALS_BOUNDARY,165
4,src.main.java.org.apache.commons.math3.geometry.euclidean.twod.SubLine-2,non-latent,CONDITIONALS_BOUNDARY,165
5,src.main.java.org.apache.commons.math3.complex.Complex-203,non-latent,CONDITIONALS_BOUNDARY,1070
5,src.main.java.org.apache.commons.math3.complex.Complex-124,non-latent,VOID_METHOD_CALLS,438
5,src.main.java.org.apache.commons.math3.complex.Complex-186,non-latent,VOID_METHOD_CALLS,528
5,src.main.java.org.apache.commons.math3.complex.Complex-204,non-latent,CONDITIONALS_BOUNDARY,1073
