bid,k,all,killed,timed_out,no_covg,non_viable,memory_error,run_error,survived,MathMutator,ConditionalsBoundaryMutator,IncrementsMutator,InvertNegsMutator,NegateConditionalsMutator,VoidMethodCallMutator,PrimitiveReturnsMutator,EmptyObjectReturnValsMutator,BooleanFalseReturnValsMutator,BooleanTrueReturnValsMutator,NullReturnValsMutator
52,52-3c319db4,594,523,1,0,0,0,0,70,439,38,1,25,61,0,8,0,0,0,22
67,67-fc505bba,69,40,0,10,0,0,0,19,19,6,6,0,17,9,10,0,0,0,2
84,84-317793ee,24,18,1,0,0,0,0,5,5,6,3,0,7,2,0,0,0,0,1
92,92-85a8ab2d,383,143,12,206,0,0,0,22,102,69,11,8,123,0,65,0,1,4,0
79,79-138baec1,507,145,21,311,0,0,0,30,141,86,15,8,165,3,78,0,1,6,4
103,103-4ce05bcd,39,28,0,0,0,0,0,11,11,7,0,0,9,2,10,0,0,0,0
55,55-0c38504f,255,175,1,17,0,0,0,62,171,8,0,12,25,0,19,1,2,5,12
90,90-0c84b28c,56,0,0,56,0,0,0,0,5,3,0,0,16,6,24,1,0,0,1
25,25-996dd998,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
36,36-1a15d5f4,155,19,0,6,129,0,0,1,28,16,2,6,48,3,12,1,1,1,37
86,86-bd8f05c4,38,29,0,6,0,0,0,3,10,8,5,0,11,0,1,0,0,0,3
88,88-24a6a269,149,129,0,16,0,0,0,4,47,11,9,0,43,12,15,3,1,3,5
32,32-f81847d8,90,56,1,26,0,0,0,7,24,9,10,0,28,13,0,3,0,0,3
12,12-cc82d38a,53,10,0,43,0,0,0,0,31,4,2,1,7,0,7,0,0,1,0
48,48-13d22f45,55,38,0,0,0,0,0,17,15,7,0,0,16,1,16,0,0,0,0
85,85-9be86f67,35,23,2,0,0,0,0,10,6,9,1,0,11,3,3,0,0,0,2
9,9-de98c0f0,39,30,0,2,0,0,0,7,8,5,0,2,8,1,4,0,0,2,9
35,35-a5d8d115,14,11,0,0,0,0,0,3,2,3,0,0,3,4,1,0,0,0,1
100,100-876d1333,63,55,1,0,0,0,0,7,25,11,6,1,11,3,4,0,0,0,2
18,18-7c7d7e8f,455,269,21,26,0,0,0,139,175,84,28,4,117,16,4,4,1,1,21
21,21-468ed855,49,45,0,0,0,0,0,4,11,11,9,1,14,1,1,0,0,0,1
51,51-2f066a5b,59,41,0,0,0,0,0,18,19,7,0,0,16,1,16,0,0,0,0
77,77-d6555de7,643,57,0,577,0,0,0,9,107,79,15,2,165,116,42,1,9,17,90
98,98-a0f3e043,796,184,0,589,0,0,0,23,81,179,126,2,277,26,13,2,6,14,70
1,1-0da657a6,302,132,2,8,140,0,0,20,65,35,3,13,100,3,20,2,2,3,56
74,74-d06e7b7c,103,65,22,0,0,0,0,16,31,12,5,0,27,24,4,0,0,0,0
41,41-882556ea,92,66,0,8,0,0,0,18,35,7,3,0,23,9,12,0,1,1,1
39,39-74e00296,109,54,40,0,0,0,0,15,35,16,5,0,27,23,3,0,0,0,0
27,27-5f2077bb,140,1,0,2,137,0,0,0,37,17,1,7,47,0,8,1,1,2,19
81,81-7d903ca5,1271,0,0,1271,0,0,0,0,849,137,46,11,181,25,8,1,2,2,9
80,80-3ced4f2a,1271,0,0,1271,0,0,0,0,849,137,46,11,181,25,8,1,2,2,9
26,26-1566dd33,140,1,0,2,137,0,0,0,37,17,1,7,47,0,8,1,1,2,19
93,93-7cd3d822,316,101,10,196,0,0,0,9,78,56,4,8,107,0,58,0,1,4,0
58,58-45add3a0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
45,45-bc4e9db0,70,53,1,9,0,0,0,7,21,3,2,0,12,19,4,0,0,0,9
42,42-e98a5000,182,157,2,13,0,0,0,10,41,20,12,0,60,22,14,3,2,3,5
72,72-aa09ac7c,117,76,0,4,0,0,0,37,41,24,1,2,27,11,11,0,0,0,0
96,96-e6449ccc,189,174,0,8,0,0,0,7,70,3,0,5,51,0,10,0,1,3,46
15,15-b221a734,2402,1884,155,48,0,0,0,315,1462,158,10,133,393,14,232,0,0,0,0
