bid,mutK,final_chg_state,sc_cnt,rc_cnt,nc_cnt
1,src.main.java.org.joda.time.Partial-12,nc,0,0,1
1,src.main.java.org.joda.time.Partial-13,nc,0,0,1
1,src.main.java.org.joda.time.Partial-114,nc,0,0,1
1,src.main.java.org.joda.time.Partial-115,nc,0,0,1
1,src.main.java.org.joda.time.Partial-124,nc,0,0,1
1,src.main.java.org.joda.time.Partial-130,nc,0,0,1
2,src.main.java.org.joda.time.Partial-68,nc,0,0,2
2,src.main.java.org.joda.time.Partial-69,nc,0,0,2
2,src.main.java.org.joda.time.Partial-78,nc,0,0,2
2,src.main.java.org.joda.time.Partial-84,nc,0,0,2
2,src.main.java.org.joda.time.field.UnsupportedDurationField-2,nc,0,0,1
4,src.main.java.org.joda.time.Partial-8,nc,0,0,3
4,src.main.java.org.joda.time.Partial-75,nc,0,0,3
4,src.main.java.org.joda.time.Partial-76,nc,0,0,3
4,src.main.java.org.joda.time.Partial-84,nc,0,0,3
4,src.main.java.org.joda.time.Partial-90,nc,0,0,3
5,src.main.java.org.joda.time.Period-102,nc,0,0,0
5,src.main.java.org.joda.time.Period-103,nc,0,0,0
5,src.main.java.org.joda.time.Period-104,nc,0,0,0
5,src.main.java.org.joda.time.Period-105,nc,0,0,0
5,src.main.java.org.joda.time.Period-106,nc,0,0,0
5,src.main.java.org.joda.time.Period-107,nc,0,0,0
5,src.main.java.org.joda.time.Period-168,nc,0,0,0
5,src.main.java.org.joda.time.Period-169,nc,0,0,0
5,src.main.java.org.joda.time.Period-234,nc,0,0,0
5,src.main.java.org.joda.time.Period-235,nc,0,0,0
5,src.main.java.org.joda.time.Period-236,nc,0,0,0
5,src.main.java.org.joda.time.Period-237,nc,0,0,0
5,src.main.java.org.joda.time.Period-238,nc,0,0,0
5,src.main.java.org.joda.time.Period-239,nc,0,0,0
5,src.main.java.org.joda.time.Period-274,nc,0,0,0
5,src.main.java.org.joda.time.Period-286,nc,0,0,0
5,src.main.java.org.joda.time.Period-287,nc,0,0,0
5,src.main.java.org.joda.time.Period-309,nc,0,0,0
5,src.main.java.org.joda.time.Period-310,nc,0,0,0
5,src.main.java.org.joda.time.Period-311,nc,0,0,0
6,src.main.java.org.joda.time.chrono.GJChronology-48,nc,0,0,4
6,src.main.java.org.joda.time.chrono.GJChronology-70,nc,0,0,2
6,src.main.java.org.joda.time.chrono.GJChronology-71,nc,0,0,2
6,src.main.java.org.joda.time.chrono.GJChronology-75,nc,0,0,2
6,src.main.java.org.joda.time.chrono.GJChronology-86,nc,0,0,2
6,src.main.java.org.joda.time.chrono.GJChronology-99,nc,0,0,4
6,src.main.java.org.joda.time.chrono.GJChronology-101,nc,0,0,8
6,src.main.java.org.joda.time.chrono.GJChronology-103,nc,0,0,2
