bid,mutK,status,mutOp,lno
1,src.main.java.org.joda.time.Partial-13,non-latent,MATH,238
1,src.main.java.org.joda.time.Partial-115,non-latent,VOID_METHOD_CALLS,479
1,src.main.java.org.joda.time.Partial-130,non-latent,VOID_METHOD_CALLS,508
1,src.main.java.org.joda.time.Partial-124,non-latent,VOID_METHOD_CALLS,417
1,src.main.java.org.joda.time.Partial-12,non-latent,MATH,222
1,src.main.java.org.joda.time.Partial-114,non-latent,CONDITIONALS_BOUNDARY,463
2,src.main.java.org.joda.time.Partial-69,non-latent,VOID_METHOD_CALLS,470
2,src.main.java.org.joda.time.Partial-84,non-latent,VOID_METHOD_CALLS,499
2,src.main.java.org.joda.time.Partial-68,non-latent,CONDITIONALS_BOUNDARY,454
2,src.main.java.org.joda.time.Partial-78,non-latent,VOID_METHOD_CALLS,408
2,src.main.java.org.joda.time.field.UnsupportedDurationField-2,latent,NEGATE_CONDITIONALS,241
4,src.main.java.org.joda.time.Partial-84,non-latent,VOID_METHOD_CALLS,406
4,src.main.java.org.joda.time.Partial-90,non-latent,VOID_METHOD_CALLS,494
4,src.main.java.org.joda.time.Partial-76,non-latent,VOID_METHOD_CALLS,465
4,src.main.java.org.joda.time.Partial-8,non-latent,MATH,228
4,src.main.java.org.joda.time.Partial-75,non-latent,CONDITIONALS_BOUNDARY,449
5,src.main.java.org.joda.time.Period-311,non-latent,MATH,1505
5,src.main.java.org.joda.time.Period-274,non-latent,MATH,1444
5,src.main.java.org.joda.time.Period-103,non-latent,INVERT_NEGS,1209
5,src.main.java.org.joda.time.Period-102,non-latent,INVERT_NEGS,1208
5,src.main.java.org.joda.time.Period-234,non-latent,MATH,1533
5,src.main.java.org.joda.time.Period-106,non-latent,INVERT_NEGS,1213
5,src.main.java.org.joda.time.Period-309,non-latent,MATH,1503
5,src.main.java.org.joda.time.Period-286,non-latent,MATH,1474
5,src.main.java.org.joda.time.Period-238,non-latent,MATH,1535
5,src.main.java.org.joda.time.Period-236,non-latent,MATH,1534
5,src.main.java.org.joda.time.Period-235,non-latent,MATH,1533
5,src.main.java.org.joda.time.Period-168,non-latent,MATH,1619
5,src.main.java.org.joda.time.Period-237,non-latent,MATH,1534
5,src.main.java.org.joda.time.Period-287,non-latent,MATH,1475
5,src.main.java.org.joda.time.Period-104,non-latent,INVERT_NEGS,1211
5,src.main.java.org.joda.time.Period-169,non-latent,MATH,1619
5,src.main.java.org.joda.time.Period-310,non-latent,MATH,1504
5,src.main.java.org.joda.time.Period-239,non-latent,MATH,1535
5,src.main.java.org.joda.time.Period-105,non-latent,INVERT_NEGS,1212
5,src.main.java.org.joda.time.Period-107,non-latent,INVERT_NEGS,1214
6,src.main.java.org.joda.time.chrono.GJChronology-99,non-latent,MATH,440
6,src.main.java.org.joda.time.chrono.GJChronology-70,non-latent,CONDITIONALS_BOUNDARY,341
6,src.main.java.org.joda.time.chrono.GJChronology-71,non-latent,CONDITIONALS_BOUNDARY,345
6,src.main.java.org.joda.time.chrono.GJChronology-103,non-latent,PRIMITIVE_RETURNS,440
6,src.main.java.org.joda.time.chrono.GJChronology-86,non-latent,CONDITIONALS_BOUNDARY,209
6,src.main.java.org.joda.time.chrono.GJChronology-101,non-latent,MATH,441
6,src.main.java.org.joda.time.chrono.GJChronology-75,non-latent,CONDITIONALS_BOUNDARY,378
6,src.main.java.org.joda.time.chrono.GJChronology-48,non-latent,MATH,498
7,src.main.java.org.joda.time.format.DateTimeFormatter-98,non-latent,MATH,627
7,src.main.java.org.joda.time.format.DateTimeFormatter-11,non-latent,CONDITIONALS_BOUNDARY,855
7,src.main.java.org.joda.time.format.DateTimeFormatter-33,non-latent,CONDITIONALS_BOUNDARY,814
7,src.main.java.org.joda.time.format.DateTimeFormatter-65,non-latent,NEGATE_CONDITIONALS,907
7,src.main.java.org.joda.time.format.DateTimeFormatter-87,non-latent,CONDITIONALS_BOUNDARY,644
7,src.main.java.org.joda.time.format.DateTimeFormatter-89,non-latent,MATH,644
7,src.main.java.org.joda.time.format.DateTimeFormatter-60,non-latent,CONDITIONALS_BOUNDARY,900
7,src.main.java.org.joda.time.format.DateTimeFormatter-66,non-latent,VOID_METHOD_CALLS,912
7,src.main.java.org.joda.time.format.DateTimeFormatter-46,non-latent,CONDITIONALS_BOUNDARY,748
7,src.main.java.org.joda.time.format.DateTimeFormatter-30,non-latent,VOID_METHOD_CALLS,725
7,src.main.java.org.joda.time.format.DateTimeFormatter-96,non-latent,CONDITIONALS_BOUNDARY,627
7,src.main.java.org.joda.time.format.DateTimeFormatter-29,non-latent,NEGATE_CONDITIONALS,720
8,src.main.java.org.joda.time.DateTimeZone-49,non-latent,CONDITIONALS_BOUNDARY,918
8,src.main.java.org.joda.time.DateTimeZone-42,non-latent,NEGATE_CONDITIONALS,143
8,src.main.java.org.joda.time.DateTimeZone-1,non-latent,CONDITIONALS_BOUNDARY,1206
8,src.main.java.org.joda.time.DateTimeZone-43,non-latent,NEGATE_CONDITIONALS,149
8,src.main.java.org.joda.time.DateTimeZone-82,non-latent,VOID_METHOD_CALLS,688
8,src.main.java.org.joda.time.DateTimeZone-52,non-latent,NEGATE_CONDITIONALS,772
8,src.main.java.org.joda.time.DateTimeZone-9,non-latent,MATH,1017
8,src.main.java.org.joda.time.DateTimeZone-83,non-latent,EMPTY_RETURNS,689
8,src.main.java.org.joda.time.DateTimeZone-0,non-latent,CONDITIONALS_BOUNDARY,1206
9,src.main.java.org.joda.time.DateTimeZone-49,non-latent,NEGATE_CONDITIONALS,751
9,src.main.java.org.joda.time.DateTimeZone-80,non-latent,EMPTY_RETURNS,668
9,src.main.java.org.joda.time.DateTimeZone-41,non-latent,NEGATE_CONDITIONALS,149
9,src.main.java.org.joda.time.DateTimeZone-79,non-latent,VOID_METHOD_CALLS,667
9,src.main.java.org.joda.time.DateTimeZone-1,non-latent,CONDITIONALS_BOUNDARY,1185
9,src.main.java.org.joda.time.DateTimeZone-9,non-latent,MATH,996
9,src.main.java.org.joda.time.DateTimeZone-0,non-latent,CONDITIONALS_BOUNDARY,1185
9,src.main.java.org.joda.time.DateTimeZone-47,non-latent,CONDITIONALS_BOUNDARY,897
9,src.main.java.org.joda.time.DateTimeZone-40,non-latent,NEGATE_CONDITIONALS,143
10,src.main.java.org.joda.time.base.BaseSingleFieldPeriod-18,non-latent,MATH,318
10,src.main.java.org.joda.time.base.BaseSingleFieldPeriod-17,non-latent,MATH,318
10,src.main.java.org.joda.time.base.BaseSingleFieldPeriod-19,non-latent,MATH,319
11,src.main.java.org.joda.time.tz.ZoneInfoCompiler-11,non-latent,VOID_METHOD_CALLS,389
11,src.main.java.org.joda.time.tz.ZoneInfoCompiler-8,non-latent,NEGATE_CONDITIONALS,426
11,src.main.java.org.joda.time.tz.ZoneInfoCompiler-156,non-latent,NEGATE_CONDITIONALS,322
11,src.main.java.org.joda.time.tz.ZoneInfoCompiler-153,non-latent,NEGATE_CONDITIONALS,286
11,src.main.java.org.joda.time.tz.ZoneInfoCompiler-145,non-latent,CONDITIONALS_BOUNDARY,324
11,src.main.java.org.joda.time.tz.ZoneInfoCompiler-71,non-latent,CONDITIONALS_BOUNDARY,105
11,src.main.java.org.joda.time.tz.ZoneInfoCompiler-157,non-latent,NEGATE_CONDITIONALS,324
11,src.main.java.org.joda.time.tz.ZoneInfoCompiler-154,non-latent,NEGATE_CONDITIONALS,286
11,src.main.java.org.joda.time.tz.ZoneInfoCompiler-10,non-latent,VOID_METHOD_CALLS,372
11,src.main.java.org.joda.time.tz.ZoneInfoCompiler-144,non-latent,CONDITIONALS_BOUNDARY,322
11,src.main.java.org.joda.time.tz.ZoneInfoCompiler-158,non-latent,NEGATE_CONDITIONALS,324
11,src.main.java.org.joda.time.tz.ZoneInfoCompiler-238,non-latent,FALSE_RETURNS,79
11,src.main.java.org.joda.time.tz.ZoneInfoCompiler-143,non-latent,CONDITIONALS_BOUNDARY,286
11,src.main.java.org.joda.time.tz.ZoneInfoCompiler-15,non-latent,VOID_METHOD_CALLS,457
11,src.main.java.org.joda.time.tz.ZoneInfoCompiler-75,non-latent,VOID_METHOD_CALLS,135
11,src.main.java.org.joda.time.tz.ZoneInfoCompiler-66,non-latent,NULL_RETURNS,159
11,src.main.java.org.joda.time.tz.ZoneInfoCompiler-72,non-latent,CONDITIONALS_BOUNDARY,125
11,src.main.java.org.joda.time.tz.ZoneInfoCompiler-5,non-latent,NEGATE_CONDITIONALS,376
11,src.main.java.org.joda.time.tz.ZoneInfoCompiler-65,non-latent,NEGATE_CONDITIONALS,156
11,src.main.java.org.joda.time.tz.ZoneInfoCompiler-13,non-latent,VOID_METHOD_CALLS,416
11,src.main.java.org.joda.time.tz.ZoneInfoCompiler-155,non-latent,NEGATE_CONDITIONALS,295
11,src.main.java.org.joda.time.tz.ZoneInfoCompiler-0,non-latent,CONDITIONALS_BOUNDARY,426
11,src.main.java.org.joda.time.tz.ZoneInfoCompiler-12,non-latent,VOID_METHOD_CALLS,410
11,src.main.java.org.joda.time.tz.ZoneInfoCompiler-96,non-latent,CONDITIONALS_BOUNDARY,474
11,src.main.java.org.joda.time.tz.ZoneInfoCompiler-239,non-latent,TRUE_RETURNS,79
11,src.main.java.org.joda.time.tz.ZoneInfoCompiler-14,non-latent,VOID_METHOD_CALLS,443
12,src.main.java.org.joda.time.LocalDateTime-36,non-latent,TRUE_RETURNS,621
12,src.main.java.org.joda.time.LocalDate-41,non-latent,CONDITIONALS_BOUNDARY,591
12,src.main.java.org.joda.time.LocalDate-37,non-latent,TRUE_RETURNS,573
12,src.main.java.org.joda.time.LocalDate-25,non-latent,CONDITIONALS_BOUNDARY,244
12,src.main.java.org.joda.time.LocalDateTime-6,non-latent,TRUE_RETURNS,675
12,src.main.java.org.joda.time.LocalDateTime-71,non-latent,NEGATE_CONDITIONALS,521
12,src.main.java.org.joda.time.LocalDate-63,non-latent,NEGATE_CONDITIONALS,466
12,src.main.java.org.joda.time.LocalDateTime-22,non-latent,CONDITIONALS_BOUNDARY,237
13,src.main.java.org.joda.time.format.PeriodFormatterBuilder-32,non-latent,VOID_METHOD_CALLS,734
13,src.main.java.org.joda.time.format.PeriodFormatterBuilder-49,non-latent,VOID_METHOD_CALLS,605
13,src.main.java.org.joda.time.format.PeriodFormatterBuilder-6,non-latent,VOID_METHOD_CALLS,231
13,src.main.java.org.joda.time.format.PeriodFormatterBuilder-1,non-latent,VOID_METHOD_CALLS,215
13,src.main.java.org.joda.time.format.PeriodFormatterBuilder-59,non-latent,VOID_METHOD_CALLS,179
13,src.main.java.org.joda.time.format.PeriodFormatterBuilder-28,non-latent,CONDITIONALS_BOUNDARY,751
13,src.main.java.org.joda.time.format.PeriodFormatterBuilder-0,non-latent,VOID_METHOD_CALLS,195
13,src.main.java.org.joda.time.format.PeriodFormatterBuilder-31,non-latent,NEGATE_CONDITIONALS,761
14,src.main.java.org.joda.time.chrono.BasicMonthOfYearDateTimeField-0,non-latent,CONDITIONALS_BOUNDARY,138
14,src.main.java.org.joda.time.chrono.BasicMonthOfYearDateTimeField-4,non-latent,NEGATE_CONDITIONALS,152
14,src.main.java.org.joda.time.chrono.BasicMonthOfYearDateTimeField-10,non-latent,CONDITIONALS_BOUNDARY,209
14,src.main.java.org.joda.time.chrono.BasicMonthOfYearDateTimeField-32,non-latent,CONDITIONALS_BOUNDARY,262
15,src.main.java.org.joda.time.field.FieldUtils-47,non-latent,CONDITIONALS_BOUNDARY,252
15,src.main.java.org.joda.time.field.FieldUtils-2,non-latent,CONDITIONALS_BOUNDARY,292
15,src.main.java.org.joda.time.field.FieldUtils-9,non-latent,CONDITIONALS_BOUNDARY,120
15,src.main.java.org.joda.time.field.FieldUtils-3,non-latent,CONDITIONALS_BOUNDARY,299
15,src.main.java.org.joda.time.field.FieldUtils-10,non-latent,CONDITIONALS_BOUNDARY,120
16,src.main.java.org.joda.time.format.DateTimeFormatter-98,non-latent,MATH,625
16,src.main.java.org.joda.time.format.DateTimeFormatter-11,non-latent,CONDITIONALS_BOUNDARY,851
