bid,mutK,status,mutOp,lno,debt_time,debt_nc
1,src.main.java.org.joda.time.Partial-13,non-latent,MATH,238,1.7082407407407407,1.0
1,src.main.java.org.joda.time.Partial-115,non-latent,VOID_METHOD_CALLS,479,1.7082407407407407,1.0
1,src.main.java.org.joda.time.Partial-130,non-latent,VOID_METHOD_CALLS,508,1.7082407407407407,1.0
1,src.main.java.org.joda.time.Partial-124,non-latent,VOID_METHOD_CALLS,417,1.7082407407407407,1.0
1,src.main.java.org.joda.time.Partial-12,non-latent,MATH,222,1.7082407407407407,1.0
1,src.main.java.org.joda.time.Partial-114,non-latent,CONDITIONALS_BOUNDARY,463,1.7082407407407407,1.0
2,src.main.java.org.joda.time.Partial-69,non-latent,VOID_METHOD_CALLS,470,1.7895601851851852,2.0
2,src.main.java.org.joda.time.Partial-84,non-latent,VOID_METHOD_CALLS,499,1.7895601851851852,2.0
2,src.main.java.org.joda.time.Partial-68,non-latent,CONDITIONALS_BOUNDARY,454,1.7895601851851852,2.0
2,src.main.java.org.joda.time.Partial-78,non-latent,VOID_METHOD_CALLS,408,1.7895601851851852,2.0
2,src.main.java.org.joda.time.field.UnsupportedDurationField-2,latent,NEGATE_CONDITIONALS,241,0.0813194444444444,1.0
4,src.main.java.org.joda.time.Partial-84,non-latent,VOID_METHOD_CALLS,406,7.066018518518519,4.0
4,src.main.java.org.joda.time.Partial-90,non-latent,VOID_METHOD_CALLS,494,7.066018518518519,4.0
4,src.main.java.org.joda.time.Partial-76,non-latent,VOID_METHOD_CALLS,465,7.066018518518519,4.0
4,src.main.java.org.joda.time.Partial-8,non-latent,MATH,228,7.066018518518519,4.0
4,src.main.java.org.joda.time.Partial-75,non-latent,CONDITIONALS_BOUNDARY,449,7.066018518518519,4.0
5,src.main.java.org.joda.time.Period-311,non-latent,MATH,1505,33.00324074074074,17.0
5,src.main.java.org.joda.time.Period-274,non-latent,MATH,1444,33.00324074074074,17.0
5,src.main.java.org.joda.time.Period-103,non-latent,INVERT_NEGS,1209,33.00324074074074,17.0
5,src.main.java.org.joda.time.Period-102,non-latent,INVERT_NEGS,1208,33.00324074074074,17.0
5,src.main.java.org.joda.time.Period-234,non-latent,MATH,1533,33.00324074074074,17.0
5,src.main.java.org.joda.time.Period-106,non-latent,INVERT_NEGS,1213,33.00324074074074,17.0
5,src.main.java.org.joda.time.Period-309,non-latent,MATH,1503,33.00324074074074,17.0
5,src.main.java.org.joda.time.Period-286,non-latent,MATH,1474,33.00324074074074,17.0
5,src.main.java.org.joda.time.Period-238,non-latent,MATH,1535,33.00324074074074,17.0
5,src.main.java.org.joda.time.Period-236,non-latent,MATH,1534,33.00324074074074,17.0
5,src.main.java.org.joda.time.Period-235,non-latent,MATH,1533,33.00324074074074,17.0
5,src.main.java.org.joda.time.Period-168,non-latent,MATH,1619,33.00324074074074,17.0
5,src.main.java.org.joda.time.Period-237,non-latent,MATH,1534,33.00324074074074,17.0
5,src.main.java.org.joda.time.Period-287,non-latent,MATH,1475,33.00324074074074,17.0
5,src.main.java.org.joda.time.Period-104,non-latent,INVERT_NEGS,1211,33.00324074074074,17.0
5,src.main.java.org.joda.time.Period-169,non-latent,MATH,1619,33.00324074074074,17.0
5,src.main.java.org.joda.time.Period-310,non-latent,MATH,1504,33.00324074074074,17.0
5,src.main.java.org.joda.time.Period-239,non-latent,MATH,1535,33.00324074074074,17.0
5,src.main.java.org.joda.time.Period-105,non-latent,INVERT_NEGS,1212,33.00324074074074,17.0
5,src.main.java.org.joda.time.Period-107,non-latent,INVERT_NEGS,1214,33.00324074074074,17.0
6,src.main.java.org.joda.time.chrono.GJChronology-99,non-latent,MATH,440,110.02107638888889,54.0
6,src.main.java.org.joda.time.chrono.GJChronology-70,non-latent,CONDITIONALS_BOUNDARY,341,110.02107638888889,54.0
6,src.main.java.org.joda.time.chrono.GJChronology-71,non-latent,CONDITIONALS_BOUNDARY,345,110.02107638888889,54.0
6,src.main.java.org.joda.time.chrono.GJChronology-103,non-latent,PRIMITIVE_RETURNS,440,110.02107638888889,54.0
6,src.main.java.org.joda.time.chrono.GJChronology-86,non-latent,CONDITIONALS_BOUNDARY,209,110.02107638888889,54.0
6,src.main.java.org.joda.time.chrono.GJChronology-101,non-latent,MATH,441,110.02107638888889,54.0
6,src.main.java.org.joda.time.chrono.GJChronology-75,non-latent,CONDITIONALS_BOUNDARY,378,110.02107638888889,54.0
6,src.main.java.org.joda.time.chrono.GJChronology-48,non-latent,MATH,498,110.02107638888889,54.0
7,src.main.java.org.joda.time.format.DateTimeFormatter-98,non-latent,MATH,627,136.58243055555556,63.0
7,src.main.java.org.joda.time.format.DateTimeFormatter-11,non-latent,CONDITIONALS_BOUNDARY,855,136.58243055555556,63.0
