bid,k,mutOp,status,sourceFile,mutatedClass,lineNumber,index,block,description,full_sourceFile
1,1-9a62b06b,NegateConditionalsMutator,KILLED,Partial.java,org.joda.time.Partial,156,19,3,negated conditional,src/main/java/org/joda/time/Partial.java
1,1-9a62b06b,VoidMethodCallMutator,KILLED,Partial.java,org.joda.time.Partial,161,53,6,removed call to org/joda/time/Chronology::validate,src/main/java/org/joda/time/Partial.java
1,1-9a62b06b,ConditionalsBoundaryMutator,KILLED,Partial.java,org.joda.time.Partial,276,46,11,changed conditional boundary,src/main/java/org/joda/time/Partial.java
1,1-9a62b06b,NegateConditionalsMutator,KILLED,Partial.java,org.joda.time.Partial,270,8,1,negated conditional,src/main/java/org/joda/time/Partial.java
1,1-9a62b06b,NegateConditionalsMutator,KILLED,Partial.java,org.joda.time.Partial,276,46,11,negated conditional,src/main/java/org/joda/time/Partial.java
1,1-9a62b06b,ConditionalsBoundaryMutator,KILLED,Partial.java,org.joda.time.Partial,207,78,15,changed conditional boundary,src/main/java/org/joda/time/Partial.java
1,1-9a62b06b,ConditionalsBoundaryMutator,KILLED,Partial.java,org.joda.time.Partial,213,115,25,changed conditional boundary,src/main/java/org/joda/time/Partial.java
1,1-9a62b06b,ConditionalsBoundaryMutator,KILLED,Partial.java,org.joda.time.Partial,216,133,28,changed conditional boundary,src/main/java/org/joda/time/Partial.java
1,1-9a62b06b,ConditionalsBoundaryMutator,KILLED,Partial.java,org.joda.time.Partial,227,205,54,changed conditional boundary,src/main/java/org/joda/time/Partial.java
1,1-9a62b06b,ConditionalsBoundaryMutator,KILLED,Partial.java,org.joda.time.Partial,243,336,99,changed conditional boundary,src/main/java/org/joda/time/Partial.java
1,1-9a62b06b,IncrementsMutator,KILLED,Partial.java,org.joda.time.Partial,213,401,122,Changed increment from 1 to -1,src/main/java/org/joda/time/Partial.java
1,1-9a62b06b,MathMutator,KILLED,Partial.java,org.joda.time.Partial,219,156,35,Replaced integer subtraction with addition,src/main/java/org/joda/time/Partial.java
