bid,k,all,killed,timed_out,no_covg,non_viable,memory_error,run_error,survived,MathMutator,ConditionalsBoundaryMutator,IncrementsMutator,InvertNegsMutator,NegateConditionalsMutator,VoidMethodCallMutator,PrimitiveReturnsMutator,EmptyObjectReturnValsMutator,BooleanFalseReturnValsMutator,BooleanTrueReturnValsMutator,NullReturnValsMutator
3,3-8d109fe1,104,104,0,0,0,0,0,0,0,2,0,0,28,45,1,1,0,0,27
9,9-96f586cb,217,194,0,10,0,0,0,13,38,21,0,2,83,12,17,15,1,3,25
5,5-a6cb59ed,198,177,0,0,0,0,0,21,64,3,1,16,32,8,8,0,0,0,66
20,20-a92450e8,162,83,0,23,0,1,0,55,1,16,3,0,50,9,0,0,7,8,68
11,11-57eb4cbb,152,81,2,32,0,0,0,37,7,13,7,1,68,35,10,2,3,4,2
2,2-8612f9e5,167,148,0,14,0,0,0,5,21,15,6,0,59,13,4,10,5,6,28
18,18-b609d7d6,68,53,0,1,0,0,0,14,5,6,1,0,25,2,12,1,1,1,14
6,6-28aeba95,76,61,0,5,0,0,0,10,5,7,1,0,31,2,12,1,1,2,14
13,13-5d08a1cd,118,102,1,6,0,0,0,9,7,3,2,0,40,20,0,0,0,0,46
16,16-706513d5,120,95,0,9,0,0,0,16,11,12,0,0,44,15,3,4,1,3,27
7,7-1adb1e69,120,95,0,9,0,0,0,16,11,12,0,0,44,15,3,4,1,3,27
17,17-a8913f5a,207,182,0,10,0,0,0,15,35,17,0,3,79,12,17,15,1,3,25
12,12-77a6b3a4,412,376,9,16,0,0,0,11,26,7,0,0,113,9,45,10,8,14,180
8,8-362ed178,221,198,0,10,0,0,0,13,38,23,0,2,85,12,17,15,1,3,25
4,4-3ba9ba79,144,139,0,0,0,0,0,5,19,15,6,0,53,13,2,8,2,2,24
14,14-2ea85632,107,74,1,27,0,0,0,5,42,12,2,1,26,1,13,0,0,3,7
19,19-82c5e4f9,191,167,0,11,0,0,0,13,29,13,0,3,75,12,15,15,1,3,25
1,1-9a62b06b,150,144,0,0,0,0,0,6,23,15,6,0,55,13,2,8,2,2,24
15,15-0cefc4c2,100,87,0,7,0,0,0,6,24,18,0,3,34,0,17,0,2,2,0
10,10-3a413d78,52,49,0,0,0,0,0,3,5,4,2,0,23,1,10,0,1,3,3
